"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Aldridge","F","San Antonio Spurs","2018-10-17","MIN",21,NA
"2","Aldridge","F","San Antonio Spurs","2018-10-20","POR",12,23.9084629304749
"3","Aldridge","F","San Antonio Spurs","2018-10-22","LAL",37,26.5472014620835
"4","Aldridge","F","San Antonio Spurs","2018-10-24","IND",15,26.3557353739276
"5","Aldridge","F","San Antonio Spurs","2018-10-27","LAL",15,22.1712450614199
"6","Aldridge","F","San Antonio Spurs","2018-10-29","DAL",20,26.7949490939788
"7","Aldridge","F","San Antonio Spurs","2018-10-31","PHO",24,25.0756867836899
"8","Aldridge","F","San Antonio Spurs","2018-11-03","NOP",22,22.1788567180951
"9","Aldridge","F","San Antonio Spurs","2018-11-04","ORL",14,24.7936155254232
"10","Aldridge","F","San Antonio Spurs","2018-11-07","MIA",6,26.4669496686281
"11","Aldridge","F","San Antonio Spurs","2018-11-10","HOU",27,23.9356381428914
"12","Aldridge","F","San Antonio Spurs","2018-11-12","SAC",14,22.5593172273119
"13","Aldridge","F","San Antonio Spurs","2018-11-14","PHO",6,24.5686240193551
"14","Aldridge","F","San Antonio Spurs","2018-11-15","LAC",10,24.967803624551
"15","Aldridge","F","San Antonio Spurs","2018-11-18","GSW",24,25.3693666359239
"16","Aldridge","F","San Antonio Spurs","2018-11-19","NOP",7,22.1791049412841
"17","Aldridge","F","San Antonio Spurs","2018-11-21","MEM",19,27.166657802713
"18","Aldridge","F","San Antonio Spurs","2018-11-23","IND",33,24.0032306761378
"19","Aldridge","F","San Antonio Spurs","2018-11-24","MIL",15,23.5820659446453
"20","Aldridge","F","San Antonio Spurs","2018-11-26","CHI",20,24.6026262581096
"21","Aldridge","F","San Antonio Spurs","2018-11-28","MIN",10,26.5609678510252
"22","Aldridge","F","San Antonio Spurs","2018-11-30","HOU",20,26.6614556587054
"23","Aldridge","F","San Antonio Spurs","2018-12-02","POR",29,25.7734746140184
"24","Aldridge","F","San Antonio Spurs","2018-12-04","UTA",16,26.050255956026
"25","Aldridge","F","San Antonio Spurs","2018-12-05","LAL",21,25.4982364117674
"26","Aldridge","F","San Antonio Spurs","2018-12-07","LAL",14,24.2475972137276
"27","Aldridge","F","San Antonio Spurs","2018-12-09","UTA",20,27.1526602843529
"28","Aldridge","F","San Antonio Spurs","2018-12-11","PHO",18,24.5740486079432
"29","Aldridge","F","San Antonio Spurs","2018-12-13","LAC",29,25.6918556298171
"30","Aldridge","F","San Antonio Spurs","2018-12-15","CHI",29,24.1968386089312
"31","Aldridge","F","San Antonio Spurs","2018-12-17","PHI",20,20.8526283900368
"32","Aldridge","F","San Antonio Spurs","2018-12-19","ORL",20,24.8806440379311
"33","Aldridge","F","San Antonio Spurs","2018-12-21","MIN",12,24.8751127424645
"34","Aldridge","F","San Antonio Spurs","2018-12-22","HOU",18,27.0559088270027
"35","Aldridge","F","San Antonio Spurs","2018-12-26","DEN",27,25.8469005355878
"36","Aldridge","F","San Antonio Spurs","2018-12-28","DEN",24,25.2775544778509
"37","Aldridge","F","San Antonio Spurs","2018-12-29","LAC",38,27.1403257774041
"38","Aldridge","F","San Antonio Spurs","2018-12-31","BOS",32,24.0679368868744
"39","Aldridge","F","San Antonio Spurs","2019-01-03","TOR",23,27.3887643991888
"40","Aldridge","F","San Antonio Spurs","2019-01-05","MEM",18,25.4913977023136
"41","Aldridge","F","San Antonio Spurs","2019-01-07","DET",25,24.1936537796306
"42","Aldridge","F","San Antonio Spurs","2019-01-09","MEM",13,26.014617039286
"43","Aldridge","F","San Antonio Spurs","2019-01-10","OKC",56,25.7425455375393
"44","Aldridge","F","San Antonio Spurs","2019-01-12","OKC",17,27.5473421963128
"45","Aldridge","F","San Antonio Spurs","2019-01-14","CHO",28,25.9101852364721
"46","Aldridge","F","San Antonio Spurs","2019-01-16","DAL",8,28.1934723116475
"47","Aldridge","F","San Antonio Spurs","2019-01-18","MIN",25,25.8229614740702
"48","Aldridge","F","San Antonio Spurs","2019-01-20","LAC",32,24.2629981948212
"49","Aldridge","F","San Antonio Spurs","2019-01-23","PHI",15,24.1030430849886
"50","Aldridge","F","San Antonio Spurs","2019-01-26","NOP",28,25.4934415419129
"51","Aldridge","F","San Antonio Spurs","2019-01-27","WAS",30,21.6551495708018
"52","Aldridge","F","San Antonio Spurs","2019-01-29","PHO",29,28.9853150325339
"53","Aldridge","F","San Antonio Spurs","2019-01-31","BRK",20,24.335524978785
"54","Aldridge","F","San Antonio Spurs","2019-02-02","NOP",25,21.0200649783689
"55","Aldridge","F","San Antonio Spurs","2019-02-04","SAC",22,23.4179430180664
"57","Aldridge","F","San Antonio Spurs","2019-02-07","POR",17,23.9641116818033
"58","Aldridge","F","San Antonio Spurs","2019-02-09","UTA",17,25.023358944338
"59","Aldridge","F","San Antonio Spurs","2019-02-12","MEM",22,26.9187452597821
"60","Aldridge","F","San Antonio Spurs","2019-02-22","TOR",6,24.4896588258563
"61","Aldridge","F","San Antonio Spurs","2019-02-24","NYK",18,28.5036856337228
"62","Aldridge","F","San Antonio Spurs","2019-02-25","BRK",26,23.1636829772025
"63","Aldridge","F","San Antonio Spurs","2019-02-27","DET",24,24.5750991527874
"64","Aldridge","F","San Antonio Spurs","2019-03-02","OKC",27,26.6683207524905
"65","Aldridge","F","San Antonio Spurs","2019-03-04","DEN",24,25.7859968603831
"66","Aldridge","F","San Antonio Spurs","2019-03-06","ATL",34,22.9592518415906
"67","Aldridge","F","San Antonio Spurs","2019-03-10","MIL",31,22.7759112692163
"68","Aldridge","F","San Antonio Spurs","2019-03-12","DAL",28,22.2491090070227
"69","Aldridge","F","San Antonio Spurs","2019-03-15","NYK",18,24.5799204010861
"70","Aldridge","F","San Antonio Spurs","2019-03-16","POR",12,24.4135929632948
"71","Aldridge","F","San Antonio Spurs","2019-03-18","GSW",25,27.1618735456868
"72","Aldridge","F","San Antonio Spurs","2019-03-20","MIA",17,25.4583836473784
"73","Aldridge","F","San Antonio Spurs","2019-03-22","HOU",10,24.7352941944515
"74","Aldridge","F","San Antonio Spurs","2019-03-24","BOS",50,27.5282320050071
"75","Aldridge","F","San Antonio Spurs","2019-03-26","CHO",20,25.1261950950001
"76","Aldridge","F","San Antonio Spurs","2019-03-28","CLE",14,25.4241223451033
"77","Aldridge","F","San Antonio Spurs","2019-03-31","SAC",27,23.1890430538649
"78","Aldridge","F","San Antonio Spurs","2019-04-02","ATL",16,26.6365345097112
"79","Aldridge","F","San Antonio Spurs","2019-04-03","DEN",16,23.13998019156
"80","Aldridge","F","San Antonio Spurs","2019-04-05","WAS",24,23.1833235417393
"81","Aldridge","F","San Antonio Spurs","2019-04-07","CLE",18,25.3695643598689
