"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Allen","C","Brooklyn Nets","2018-10-17","DET",21,NA
"2","Allen","C","Brooklyn Nets","2018-10-19","NYK",15,8.6933209129779
"3","Allen","C","Brooklyn Nets","2018-10-20","IND",8,9.65279468266997
"4","Allen","C","Brooklyn Nets","2018-10-24","CLE",10,7.58027933515367
"5","Allen","C","Brooklyn Nets","2018-10-26","NOP",7,9.91883655181877
"6","Allen","C","Brooklyn Nets","2018-10-28","GSW",11,8.26020462686953
"7","Allen","C","Brooklyn Nets","2018-10-29","NYK",7,8.59950531912616
"8","Allen","C","Brooklyn Nets","2018-10-31","DET",14,8.56237449208172
"9","Allen","C","Brooklyn Nets","2018-11-02","HOU",10,8.77265822594013
"10","Allen","C","Brooklyn Nets","2018-11-04","PHI",15,8.68946527308743
"11","Allen","C","Brooklyn Nets","2018-11-06","PHO",10,9.91381279663669
"12","Allen","C","Brooklyn Nets","2018-11-09","DEN",18,9.38375942057244
"13","Allen","C","Brooklyn Nets","2018-11-10","GSW",6,7.49058163195604
"16","Allen","C","Brooklyn Nets","2018-11-16","WAS",16,7.31978156191801
"17","Allen","C","Brooklyn Nets","2018-11-17","LAC",24,8.35699246427371
"18","Allen","C","Brooklyn Nets","2018-11-20","MIA",13,9.1420262987831
"19","Allen","C","Brooklyn Nets","2018-11-21","DAL",6,10.0091936623352
"20","Allen","C","Brooklyn Nets","2018-11-23","MIN",12,7.75413840244
"21","Allen","C","Brooklyn Nets","2018-11-25","PHI",17,8.110727842382
"22","Allen","C","Brooklyn Nets","2018-11-28","UTA",14,9.52165521147976
"23","Allen","C","Brooklyn Nets","2018-11-30","MEM",15,8.5572393472002
"24","Allen","C","Brooklyn Nets","2018-12-01","WAS",6,10.5428511013931
"25","Allen","C","Brooklyn Nets","2018-12-03","CLE",11,8.28016612842542
"26","Allen","C","Brooklyn Nets","2018-12-05","OKC",15,8.46638638807594
"27","Allen","C","Brooklyn Nets","2018-12-07","TOR",12,9.26407926103997
"28","Allen","C","Brooklyn Nets","2018-12-08","NYK",14,9.16162714707115
"29","Allen","C","Brooklyn Nets","2018-12-12","PHI",8,9.95952353106692
"30","Allen","C","Brooklyn Nets","2018-12-14","WAS",12,7.87311093914768
"31","Allen","C","Brooklyn Nets","2018-12-16","ATL",11,8.94696309397844
"32","Allen","C","Brooklyn Nets","2018-12-18","LAL",6,9.33875015140431
"33","Allen","C","Brooklyn Nets","2018-12-19","CHI",16,8.04305753360721
"34","Allen","C","Brooklyn Nets","2018-12-21","IND",10,8.05910571481141
"35","Allen","C","Brooklyn Nets","2018-12-23","PHO",13,8.31723423493815
"36","Allen","C","Brooklyn Nets","2018-12-26","CHO",7,9.44793837552552
"37","Allen","C","Brooklyn Nets","2018-12-28","CHO",8,8.17930412415877
"38","Allen","C","Brooklyn Nets","2018-12-29","MIL",8,9.09447283582176
"39","Allen","C","Brooklyn Nets","2019-01-02","NOP",10,7.38984043182177
"40","Allen","C","Brooklyn Nets","2019-01-04","MEM",12,9.53283623288675
"41","Allen","C","Brooklyn Nets","2019-01-06","CHI",19,8.83526467963791
"42","Allen","C","Brooklyn Nets","2019-01-07","BOS",6,8.53078817789527
"43","Allen","C","Brooklyn Nets","2019-01-09","ATL",11,7.76396696343606
"44","Allen","C","Brooklyn Nets","2019-01-11","TOR",9,9.0499565873135
"45","Allen","C","Brooklyn Nets","2019-01-14","BOS",19,7.30773116665475
"46","Allen","C","Brooklyn Nets","2019-01-16","HOU",20,9.50544437707922
"47","Allen","C","Brooklyn Nets","2019-01-18","ORL",6,6.36736668716358
"48","Allen","C","Brooklyn Nets","2019-01-21","SAC",8,8.52839963060922
"49","Allen","C","Brooklyn Nets","2019-01-23","ORL",6,7.55607970587078
"50","Allen","C","Brooklyn Nets","2019-01-25","NYK",2,8.31411214840762
"51","Allen","C","Brooklyn Nets","2019-01-28","BOS",6,7.54269972660651
"52","Allen","C","Brooklyn Nets","2019-01-29","CHI",7,8.67878137915638
"53","Allen","C","Brooklyn Nets","2019-01-31","SAS",16,8.35622724842117
"54","Allen","C","Brooklyn Nets","2019-02-02","ORL",6,9.4469013409426
"55","Allen","C","Brooklyn Nets","2019-02-04","MIL",8,9.66184991045837
"56","Allen","C","Brooklyn Nets","2019-02-06","DEN",15,8.92557394293432
