,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Andrew Wiggins,Minnesota Timberwolves,F,17/10/2018,SAS,24,NA
2,Andrew Wiggins,Minnesota Timberwolves,F,19/10/2018,CLE,24,20.28609552
3,Andrew Wiggins,Minnesota Timberwolves,F,20/10/2018,DAL,23,21.90265504
4,Andrew Wiggins,Minnesota Timberwolves,F,22/10/2018,IND,2,21.11375449
8,Andrew Wiggins,Minnesota Timberwolves,F,31/10/2018,UTA,25,19.68650128
9,Andrew Wiggins,Minnesota Timberwolves,F,02/11/2018,GSW,30,19.05752857
10,Andrew Wiggins,Minnesota Timberwolves,F,04/11/2018,POR,21,19.08469048
11,Andrew Wiggins,Minnesota Timberwolves,F,05/11/2018,LAC,17,21.27795925
12,Andrew Wiggins,Minnesota Timberwolves,F,07/11/2018,LAL,25,19.47080504
14,Andrew Wiggins,Minnesota Timberwolves,F,12/11/2018,BRK,17,19.5872619
15,Andrew Wiggins,Minnesota Timberwolves,F,14/11/2018,NOP,31,20.36983838
16,Andrew Wiggins,Minnesota Timberwolves,F,16/11/2018,POR,29,22.27967171
17,Andrew Wiggins,Minnesota Timberwolves,F,18/11/2018,MEM,16,19.35720504
18,Andrew Wiggins,Minnesota Timberwolves,F,21/11/2018,DEN,15,21.43568838
19,Andrew Wiggins,Minnesota Timberwolves,F,23/11/2018,BRK,11,19.5611619
20,Andrew Wiggins,Minnesota Timberwolves,F,24/11/2018,CHI,0,19.01329652
21,Andrew Wiggins,Minnesota Timberwolves,F,26/11/2018,CLE,13,19.09670972
22,Andrew Wiggins,Minnesota Timberwolves,F,28/11/2018,SAS,12,19.30958783
23,Andrew Wiggins,Minnesota Timberwolves,F,01/12/2018,BOS,21,20.52973755
24,Andrew Wiggins,Minnesota Timberwolves,F,03/12/2018,HOU,20,21.56270449
25,Andrew Wiggins,Minnesota Timberwolves,F,05/12/2018,CHO,32,19.91737171
26,Andrew Wiggins,Minnesota Timberwolves,F,08/12/2018,POR,20,20.59762857
27,Andrew Wiggins,Minnesota Timberwolves,F,10/12/2018,GSW,26,20.35730504
28,Andrew Wiggins,Minnesota Timberwolves,F,12/12/2018,SAC,29,20.67147171
29,Andrew Wiggins,Minnesota Timberwolves,F,15/12/2018,PHO,16,21.02563755
30,Andrew Wiggins,Minnesota Timberwolves,F,17/12/2018,SAC,19,21.02117171
31,Andrew Wiggins,Minnesota Timberwolves,F,19/12/2018,DET,18,18.91642885
32,Andrew Wiggins,Minnesota Timberwolves,F,21/12/2018,SAS,15,20.04650504
33,Andrew Wiggins,Minnesota Timberwolves,F,23/12/2018,OKC,34,20.50490952
34,Andrew Wiggins,Minnesota Timberwolves,F,26/12/2018,CHI,18,21.51669524
