"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Antetokounmpo","F","Milwaukee Bucks","2018-10-17","CHO",25,NA
"2","Antetokounmpo","F","Milwaukee Bucks","2018-10-19","IND",26,27.4568931617858
"3","Antetokounmpo","F","Milwaukee Bucks","2018-10-22","NYK",33,29.2515528335844
"4","Antetokounmpo","F","Milwaukee Bucks","2018-10-24","PHI",32,28.4597154567848
"5","Antetokounmpo","F","Milwaukee Bucks","2018-10-26","MIN",15,27.0636316253807
"6","Antetokounmpo","F","Milwaukee Bucks","2018-10-27","ORL",21,27.4461359480593
"8","Antetokounmpo","F","Milwaukee Bucks","2018-11-01","BOS",33,26.3783107749837
"9","Antetokounmpo","F","Milwaukee Bucks","2018-11-04","SAC",28,27.106552859236
"10","Antetokounmpo","F","Milwaukee Bucks","2018-11-06","POR",23,28.5870006904509
"11","Antetokounmpo","F","Milwaukee Bucks","2018-11-08","GSW",24,28.6548935887497
"12","Antetokounmpo","F","Milwaukee Bucks","2018-11-10","LAC",27,25.314919015205
"13","Antetokounmpo","F","Milwaukee Bucks","2018-11-11","DEN",22,27.8118894002375
"14","Antetokounmpo","F","Milwaukee Bucks","2018-11-14","MEM",31,27.093502343904
"15","Antetokounmpo","F","Milwaukee Bucks","2018-11-16","CHI",27,26.6753490953038
"16","Antetokounmpo","F","Milwaukee Bucks","2018-11-19","DEN",29,29.3235421994367
"17","Antetokounmpo","F","Milwaukee Bucks","2018-11-21","POR",35,30.0860100166908
"18","Antetokounmpo","F","Milwaukee Bucks","2018-11-23","PHO",35,29.9579439576143
"19","Antetokounmpo","F","Milwaukee Bucks","2018-11-24","SAS",34,26.63911895869
"20","Antetokounmpo","F","Milwaukee Bucks","2018-11-26","CHO",22,29.0166683769952
"21","Antetokounmpo","F","Milwaukee Bucks","2018-11-28","CHI",36,29.4473764275188
"22","Antetokounmpo","F","Milwaukee Bucks","2018-12-01","NYK",33,28.0319800933541
"23","Antetokounmpo","F","Milwaukee Bucks","2018-12-05","DET",15,26.6028852319324
"24","Antetokounmpo","F","Milwaukee Bucks","2018-12-07","GSW",22,29.1165702392694
"25","Antetokounmpo","F","Milwaukee Bucks","2018-12-09","TOR",21,27.5260084119021
"27","Antetokounmpo","F","Milwaukee Bucks","2018-12-12","IND",14,28.6380643481999
"28","Antetokounmpo","F","Milwaukee Bucks","2018-12-14","CLE",44,29.4377543044605
"29","Antetokounmpo","F","Milwaukee Bucks","2018-12-17","DET",32,28.7765139806363
"30","Antetokounmpo","F","Milwaukee Bucks","2018-12-19","NOP",25,26.5916102161407
"31","Antetokounmpo","F","Milwaukee Bucks","2018-12-21","BOS",32,28.4103729857755
"32","Antetokounmpo","F","Milwaukee Bucks","2018-12-22","MIA",9,28.7250625923701
"33","Antetokounmpo","F","Milwaukee Bucks","2018-12-25","NYK",30,28.2581484713286
"34","Antetokounmpo","F","Milwaukee Bucks","2018-12-27","NYK",33,27.9841181628762
"35","Antetokounmpo","F","Milwaukee Bucks","2018-12-29","BRK",35,28.4875200653273
"36","Antetokounmpo","F","Milwaukee Bucks","2019-01-01","DET",15,26.9126874373192
"37","Antetokounmpo","F","Milwaukee Bucks","2019-01-04","ATL",16,26.7547169946321
"38","Antetokounmpo","F","Milwaukee Bucks","2019-01-05","TOR",49,27.9085288402723
"39","Antetokounmpo","F","Milwaukee Bucks","2019-01-07","UTA",30,28.2797220544619
"40","Antetokounmpo","F","Milwaukee Bucks","2019-01-09","HOU",27,29.4649030148759
"42","Antetokounmpo","F","Milwaukee Bucks","2019-01-13","ATL",35,26.0358659871654
"43","Antetokounmpo","F","Milwaukee Bucks","2019-01-15","MIA",12,29.1366425074752
"44","Antetokounmpo","F","Milwaukee Bucks","2019-01-16","MEM",27,28.2980898638953
"45","Antetokounmpo","F","Milwaukee Bucks","2019-01-19","ORL",27,27.5492293228866
"46","Antetokounmpo","F","Milwaukee Bucks","2019-01-21","DAL",33,28.167592378872
"47","Antetokounmpo","F","Milwaukee Bucks","2019-01-25","CHO",34,26.4460934838929
"48","Antetokounmpo","F","Milwaukee Bucks","2019-01-27","OKC",33,28.5919710733838
"49","Antetokounmpo","F","Milwaukee Bucks","2019-01-29","DET",23,26.348986500161
"50","Antetokounmpo","F","Milwaukee Bucks","2019-01-31","TOR",21,28.3841603829584
"51","Antetokounmpo","F","Milwaukee Bucks","2019-02-02","WAS",37,28.3716031062958
"52","Antetokounmpo","F","Milwaukee Bucks","2019-02-04","BRK",30,26.6120305125425
"53","Antetokounmpo","F","Milwaukee Bucks","2019-02-06","WAS",49,27.2768779246531
"54","Antetokounmpo","F","Milwaukee Bucks","2019-02-08","DAL",31,27.6052701123979
"56","Antetokounmpo","F","Milwaukee Bucks","2019-02-11","CHI",33,27.5497378557295
"57","Antetokounmpo","F","Milwaukee Bucks","2019-02-13","IND",33,28.0726284896125
"58","Antetokounmpo","F","Milwaukee Bucks","2019-02-21","BOS",32,26.7869475097136
"59","Antetokounmpo","F","Milwaukee Bucks","2019-02-23","MIN",33,26.0561234384324
"61","Antetokounmpo","F","Milwaukee Bucks","2019-02-27","SAC",17,27.4568972442389
"62","Antetokounmpo","F","Milwaukee Bucks","2019-03-01","LAL",16,28.3251420437076
"63","Antetokounmpo","F","Milwaukee Bucks","2019-03-02","UTA",47,28.8623043198456
"64","Antetokounmpo","F","Milwaukee Bucks","2019-03-04","PHO",21,30.3607468178808
"65","Antetokounmpo","F","Milwaukee Bucks","2019-03-07","IND",31,27.3465403727485
"66","Antetokounmpo","F","Milwaukee Bucks","2019-03-09","CHO",30,27.1524917438273
"67","Antetokounmpo","F","Milwaukee Bucks","2019-03-10","SAS",29,28.1020204701763
"68","Antetokounmpo","F","Milwaukee Bucks","2019-03-12","NOP",24,28.0149545618168
