"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Ariza","F","Washington Wizards","2018-10-17","DAL",31,NA
"2","Ariza","F","Washington Wizards","2018-10-20","DEN",7,15.0834371299328
"3","Ariza","F","Washington Wizards","2018-10-22","GSW",8,15.0439759071951
"4","Ariza","F","Washington Wizards","2018-10-24","LAL",20,13.8794691714222
"5","Ariza","F","Washington Wizards","2018-10-27","MEM",8,14.3269865880147
"6","Ariza","F","Washington Wizards","2018-10-28","OKC",5,16.1085086639166
"7","Ariza","F","Washington Wizards","2018-10-31","SAS",18,13.5154305301134
"8","Ariza","F","Washington Wizards","2018-11-02","TOR",14,15.3034454036627
"9","Ariza","F","Washington Wizards","2018-11-04","MEM",20,15.1640175277195
"10","Ariza","F","Washington Wizards","2018-11-06","BRK",12,14.3874547046923
"11","Ariza","F","Washington Wizards","2018-11-08","BOS",17,16.2053565326001
"12","Ariza","F","Washington Wizards","2018-11-10","NOP",11,12.830628413347
"13","Ariza","F","Washington Wizards","2018-11-12","OKC",12,15.6028587644185
"16","Ariza","F","Washington Wizards","2018-11-19","PHI",14,14.4470464402515
"17","Ariza","F","Washington Wizards","2018-11-21","CHI",15,15.5665333895223
"18","Ariza","F","Washington Wizards","2018-11-23","MIL",19,14.5608289580908
"19","Ariza","F","Washington Wizards","2018-11-25","DET",7,15.9355141092788
"20","Ariza","F","Washington Wizards","2018-11-27","IND",10,15.0149546318879
"21","Ariza","F","Washington Wizards","2018-11-28","LAC",10,15.914107799012
"22","Ariza","F","Washington Wizards","2018-11-30","ORL",12,15.1502390235692
"23","Ariza","F","Washington Wizards","2018-12-02","LAL",19,15.2297341680921
"24","Ariza","F","Washington Wizards","2018-12-04","SAC",20,13.6587270187386
"25","Ariza","F","Washington Wizards","2018-12-06","POR",2,15.3291970475763
"26","Ariza","F","Washington Wizards","2018-12-07","MIA",14,13.4664765338896
"27","Ariza","F","Washington Wizards","2018-12-10","LAC",14,14.2400834888578
"29","Ariza","F","Washington Wizards","2018-12-13","DAL",19,15.3623564992572
"31","Ariza","F","Washington Wizards","2018-12-18","ATL",27,13.1346473186838
"32","Ariza","F","Washington Wizards","2018-12-19","HOU",17,14.3219621798112
"33","Ariza","F","Washington Wizards","2018-12-22","PHO",16,14.8812244856885
"34","Ariza","F","Washington Wizards","2018-12-23","IND",10,14.8391091654984
"35","Ariza","F","Washington Wizards","2018-12-26","DET",26,16.1568313391164
"36","Ariza","F","Washington Wizards","2018-12-28","CHI",14,17.8363971144963
"37","Ariza","F","Washington Wizards","2018-12-29","CHO",32,14.2119845584802
"38","Ariza","F","Washington Wizards","2019-01-02","ATL",14,14.3485409021357
"39","Ariza","F","Washington Wizards","2019-01-04","MIA",31,15.2607397173762
"40","Ariza","F","Washington Wizards","2019-01-06","OKC",4,15.3365701362813
"41","Ariza","F","Washington Wizards","2019-01-08","PHI",2,12.0863230450269
"42","Ariza","F","Washington Wizards","2019-01-09","PHI",17,12.4649075339653
"43","Ariza","F","Washington Wizards","2019-01-11","MIL",32,15.4035850218491
"44","Ariza","F","Washington Wizards","2019-01-13","TOR",31,17.0114273349927
"45","Ariza","F","Washington Wizards","2019-01-17","NYK",16,15.6074938818159
"46","Ariza","F","Washington Wizards","2019-01-21","DET",24,14.9360725884702
"47","Ariza","F","Washington Wizards","2019-01-24","GSW",33,15.0266333359078
"48","Ariza","F","Washington Wizards","2019-01-25","ORL",8,14.7025724503118
"49","Ariza","F","Washington Wizards","2019-01-27","SAS",28,14.0649043593709
"50","Ariza","F","Washington Wizards","2019-01-29","CLE",19,15.1213259544476
"51","Ariza","F","Washington Wizards","2019-01-30","IND",16,16.2615188734602
"52","Ariza","F","Washington Wizards","2019-02-02","MIL",14,16.2266062632545
"53","Ariza","F","Washington Wizards","2019-02-04","ATL",31,14.7009609624715
"54","Ariza","F","Washington Wizards","2019-02-06","MIL",7,14.5451771144144
"55","Ariza","F","Washington Wizards","2019-02-08","CLE",18,15.0881161829952
"56","Ariza","F","Washington Wizards","2019-02-09","CHI",25,16.0978388452217
"57","Ariza","F","Washington Wizards","2019-02-11","DET",29,14.991110907132
"58","Ariza","F","Washington Wizards","2019-02-13","TOR",25,15.2401915461722
"59","Ariza","F","Washington Wizards","2019-02-22","CHO",14,12.7130076646844
"60","Ariza","F","Washington Wizards","2019-02-23","IND",8,17.1429104019421
"61","Ariza","F","Washington Wizards","2019-02-27","BRK",29,17.242815721789
"62","Ariza","F","Washington Wizards","2019-03-01","BOS",6,16.1388549642358
"63","Ariza","F","Washington Wizards","2019-03-03","MIN",22,14.9688959297086
"64","Ariza","F","Washington Wizards","2019-03-06","DAL",28,13.5662281667101
"65","Ariza","F","Washington Wizards","2019-03-08","CHO",8,15.0940211185334
"66","Ariza","F","Washington Wizards","2019-03-09","MIN",41,14.5550095956958
"67","Ariza","F","Washington Wizards","2019-03-11","SAC",13,14.1175716528392
"68","Ariza","F","Washington Wizards","2019-03-13","ORL",2,16.3951928621489
"69","Ariza","F","Washington Wizards","2019-03-15","CHO",14,13.5338472033326
"70","Ariza","F","Washington Wizards","2019-03-16","MEM",10,11.945933068525
"71","Ariza","F","Washington Wizards","2019-03-18","UTA",16,14.9222523493768
"72","Ariza","F","Washington Wizards","2019-03-20","CHI",10,17.6170231081983
