"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Augustin","PG","Orlando Magic","2018-10-17","MIA",13,NA
"2","Augustin","PG","Orlando Magic","2018-10-19","CHO",2,14.3453333333333
"3","Augustin","PG","Orlando Magic","2018-10-20","PHI",9,13.440125
"4","Augustin","PG","Orlando Magic","2018-10-22","BOS",16,16.9649583333333
"5","Augustin","PG","Orlando Magic","2018-10-25","POR",13,18.1149583333333
"6","Augustin","PG","Orlando Magic","2018-10-27","MIL",17,21.2780416666667
"7","Augustin","PG","Orlando Magic","2018-10-30","SAC",12,15.3623333333333
"8","Augustin","PG","Orlando Magic","2018-11-02","LAC",15,16.785375
"9","Augustin","PG","Orlando Magic","2018-11-04","SAS",20,12.5654166666667
"10","Augustin","PG","Orlando Magic","2018-11-05","CLE",9,17.5312083333333
"11","Augustin","PG","Orlando Magic","2018-11-07","DET",22,17.3099583333333
"12","Augustin","PG","Orlando Magic","2018-11-09","WAS",15,13.2469583333333
"13","Augustin","PG","Orlando Magic","2018-11-11","NYK",15,16.065
"14","Augustin","PG","Orlando Magic","2018-11-12","WAS",21,17.0883333333333
"15","Augustin","PG","Orlando Magic","2018-11-14","PHI",4,15.7973333333333
"16","Augustin","PG","Orlando Magic","2018-11-17","LAL",28,9.69975
"17","Augustin","PG","Orlando Magic","2018-11-18","NYK",16,13.8595833333333
"18","Augustin","PG","Orlando Magic","2018-11-20","TOR",7,14.9470833333333
"19","Augustin","PG","Orlando Magic","2018-11-23","DEN",6,11.1964583333333
"20","Augustin","PG","Orlando Magic","2018-11-25","LAL",14,11.4995416666667
"21","Augustin","PG","Orlando Magic","2018-11-26","GSW",11,9.68545833333334
"22","Augustin","PG","Orlando Magic","2018-11-28","POR",14,17.478375
"23","Augustin","PG","Orlando Magic","2018-11-30","PHO",18,9.97995833333333
"24","Augustin","PG","Orlando Magic","2018-12-04","MIA",15,13.257625
"25","Augustin","PG","Orlando Magic","2018-12-05","DEN",12,15.3860416666667
"26","Augustin","PG","Orlando Magic","2018-12-07","IND",7,17.3577916666667
"27","Augustin","PG","Orlando Magic","2018-12-10","DAL",6,13.9919166666667
"28","Augustin","PG","Orlando Magic","2018-12-13","CHI",21,13.3373333333333
"29","Augustin","PG","Orlando Magic","2018-12-15","UTA",15,11.2837083333333
"30","Augustin","PG","Orlando Magic","2018-12-19","SAS",23,12.8485416666667
"31","Augustin","PG","Orlando Magic","2018-12-21","CHI",8,17.648625
"32","Augustin","PG","Orlando Magic","2018-12-23","MIA",9,17.8675
"33","Augustin","PG","Orlando Magic","2018-12-26","PHO",33,17.655125
"34","Augustin","PG","Orlando Magic","2018-12-28","TOR",21,12.934
"35","Augustin","PG","Orlando Magic","2018-12-30","DET",34,12.5100833333333
"37","Augustin","PG","Orlando Magic","2019-01-02","CHI",12,12.5736666666667
"38","Augustin","PG","Orlando Magic","2019-01-04","MIN",12,14.5148333333333
"39","Augustin","PG","Orlando Magic","2019-01-06","LAC",12,18.5223333333333
"40","Augustin","PG","Orlando Magic","2019-01-07","SAC",6,10.0304583333333
"41","Augustin","PG","Orlando Magic","2019-01-09","UTA",29,11.216375
"42","Augustin","PG","Orlando Magic","2019-01-12","BOS",11,15.2544166666667
"43","Augustin","PG","Orlando Magic","2019-01-13","HOU",11,17.6253333333333
"44","Augustin","PG","Orlando Magic","2019-01-16","DET",15,15.547625
"45","Augustin","PG","Orlando Magic","2019-01-18","BRK",21,12.2961666666667
"46","Augustin","PG","Orlando Magic","2019-01-19","MIL",20,18.2005833333333
"47","Augustin","PG","Orlando Magic","2019-01-21","ATL",23,11.010875
"48","Augustin","PG","Orlando Magic","2019-01-23","BRK",23,13.2747083333333
"49","Augustin","PG","Orlando Magic","2019-01-25","WAS",7,11.9875833333333
"50","Augustin","PG","Orlando Magic","2019-01-27","HOU",14,15.7406666666667
"51","Augustin","PG","Orlando Magic","2019-01-29","OKC",15,14.0315
"52","Augustin","PG","Orlando Magic","2019-01-31","IND",24,14.71525
"53","Augustin","PG","Orlando Magic","2019-02-02","BRK",14,11.7959166666667
"54","Augustin","PG","Orlando Magic","2019-02-05","OKC",8,9.870125
"55","Augustin","PG","Orlando Magic","2019-02-07","MIN",6,14.2719166666667
"56","Augustin","PG","Orlando Magic","2019-02-09","MIL",9,14.368625
"57","Augustin","PG","Orlando Magic","2019-02-10","ATL",16,16.459875
"58","Augustin","PG","Orlando Magic","2019-02-12","NOP",2,13.8473333333333
"59","Augustin","PG","Orlando Magic","2019-02-14","CHO",12,14.853125
"60","Augustin","PG","Orlando Magic","2019-02-22","CHI",22,14.925
"61","Augustin","PG","Orlando Magic","2019-02-24","TOR",16,13.4995416666667
"62","Augustin","PG","Orlando Magic","2019-02-26","NYK",19,15.6080833333333
"63","Augustin","PG","Orlando Magic","2019-02-28","GSW",18,18.2124583333333
"64","Augustin","PG","Orlando Magic","2019-03-02","IND",3,14.3127083333333
"65","Augustin","PG","Orlando Magic","2019-03-03","CLE",23,10.964375
"66","Augustin","PG","Orlando Magic","2019-03-05","PHI",11,13.9775
"67","Augustin","PG","Orlando Magic","2019-03-08","DAL",16,12.7115416666667
"68","Augustin","PG","Orlando Magic","2019-03-10","MEM",10,12.9384166666667
"69","Augustin","PG","Orlando Magic","2019-03-13","WAS",24,17.393
"70","Augustin","PG","Orlando Magic","2019-03-14","CLE",22,14.5186666666667
"71","Augustin","PG","Orlando Magic","2019-03-17","ATL",15,12.8395833333333
"72","Augustin","PG","Orlando Magic","2019-03-20","NOP",15,11.635875
"73","Augustin","PG","Orlando Magic","2019-03-22","MEM",22,10.4297083333333
"74","Augustin","PG","Orlando Magic","2019-03-25","PHI",4,11.5017083333333
"75","Augustin","PG","Orlando Magic","2019-03-26","MIA",21,12.0394166666667
"76","Augustin","PG","Orlando Magic","2019-03-28","DET",22,16.261875
"77","Augustin","PG","Orlando Magic","2019-03-30","IND",13,13.4852916666667
"78","Augustin","PG","Orlando Magic","2019-04-01","TOR",12,14.4538333333333
"79","Augustin","PG","Orlando Magic","2019-04-03","NYK",7,19.0008333333333
"80","Augustin","PG","Orlando Magic","2019-04-05","ATL",15,13.6517916666667
"81","Augustin","PG","Orlando Magic","2019-04-07","BOS",13,10.167
