"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","B_Lopez","C","Milwaukee Bucks","2018-10-17","CHO",18,NA
"2","B_Lopez","C","Milwaukee Bucks","2018-10-19","IND",12,15.7432083333333
"3","B_Lopez","C","Milwaukee Bucks","2018-10-22","NYK",17,17.7549166666667
"4","B_Lopez","C","Milwaukee Bucks","2018-10-24","PHI",31,17.33175
"5","B_Lopez","C","Milwaukee Bucks","2018-10-26","MIN",17,14.073625
"6","B_Lopez","C","Milwaukee Bucks","2018-10-27","ORL",15,17.74725
"7","B_Lopez","C","Milwaukee Bucks","2018-10-29","TOR",11,20.6867916666667
"8","B_Lopez","C","Milwaukee Bucks","2018-11-01","BOS",2,19.3405416666667
"9","B_Lopez","C","Milwaukee Bucks","2018-11-04","SAC",12,17.1280833333333
"10","B_Lopez","C","Milwaukee Bucks","2018-11-06","POR",34,19.7943333333333
"11","B_Lopez","C","Milwaukee Bucks","2018-11-08","GSW",2,13.285125
"12","B_Lopez","C","Milwaukee Bucks","2018-11-10","LAC",32,18.0100416666667
"13","B_Lopez","C","Milwaukee Bucks","2018-11-11","DEN",44,19.1422083333333
"14","B_Lopez","C","Milwaukee Bucks","2018-11-14","MEM",10,15.55975
"15","B_Lopez","C","Milwaukee Bucks","2018-11-16","CHI",22,15.724375
"16","B_Lopez","C","Milwaukee Bucks","2018-11-19","DEN",12,17.8414166666667
"17","B_Lopez","C","Milwaukee Bucks","2018-11-21","POR",5,20.1745416666667
"18","B_Lopez","C","Milwaukee Bucks","2018-11-23","PHO",7,15.7396666666667
"19","B_Lopez","C","Milwaukee Bucks","2018-11-24","SAS",11,15.671125
"20","B_Lopez","C","Milwaukee Bucks","2018-11-26","CHO",17,18.056375
"21","B_Lopez","C","Milwaukee Bucks","2018-11-28","CHI",16,17.8197083333333
"22","B_Lopez","C","Milwaukee Bucks","2018-12-01","NYK",19,21.2402916666667
"23","B_Lopez","C","Milwaukee Bucks","2018-12-05","DET",10,18.6889583333333
"24","B_Lopez","C","Milwaukee Bucks","2018-12-07","GSW",16,20.4950833333333
"25","B_Lopez","C","Milwaukee Bucks","2018-12-09","TOR",29,20.7772083333333
"26","B_Lopez","C","Milwaukee Bucks","2018-12-10","CLE",16,17.73075
"27","B_Lopez","C","Milwaukee Bucks","2018-12-12","IND",23,17.0400416666667
"28","B_Lopez","C","Milwaukee Bucks","2018-12-14","CLE",25,17.5848333333333
"29","B_Lopez","C","Milwaukee Bucks","2018-12-17","DET",5,12.622875
"30","B_Lopez","C","Milwaukee Bucks","2018-12-19","NOP",14,21.3794166666667
"31","B_Lopez","C","Milwaukee Bucks","2018-12-21","BOS",5,20.2054583333333
"32","B_Lopez","C","Milwaukee Bucks","2018-12-22","MIA",11,15.4160416666667
"33","B_Lopez","C","Milwaukee Bucks","2018-12-25","NYK",22,20.8846666666667
"34","B_Lopez","C","Milwaukee Bucks","2018-12-27","NYK",23,18.7517083333333
"35","B_Lopez","C","Milwaukee Bucks","2018-12-29","BRK",38,15.1147916666667
"36","B_Lopez","C","Milwaukee Bucks","2019-01-01","DET",39,15.2120416666667
"37","B_Lopez","C","Milwaukee Bucks","2019-01-04","ATL",14,16.1207916666667
"38","B_Lopez","C","Milwaukee Bucks","2019-01-05","TOR",7,18.7944166666667
"39","B_Lopez","C","Milwaukee Bucks","2019-01-07","UTA",21,15.1739166666667
"40","B_Lopez","C","Milwaukee Bucks","2019-01-09","HOU",9,17.3946666666667
"41","B_Lopez","C","Milwaukee Bucks","2019-01-11","WAS",19,21.3307916666667
"42","B_Lopez","C","Milwaukee Bucks","2019-01-13","ATL",11,15.9731666666667
"43","B_Lopez","C","Milwaukee Bucks","2019-01-15","MIA",17,15.6873333333333
"44","B_Lopez","C","Milwaukee Bucks","2019-01-16","MEM",11,17.2548333333333
"45","B_Lopez","C","Milwaukee Bucks","2019-01-19","ORL",12,17.4009583333333
"46","B_Lopez","C","Milwaukee Bucks","2019-01-21","DAL",24,21.4202083333333
"47","B_Lopez","C","Milwaukee Bucks","2019-01-25","CHO",12,15.2244166666667
"48","B_Lopez","C","Milwaukee Bucks","2019-01-27","OKC",29,17.5482916666667
"49","B_Lopez","C","Milwaukee Bucks","2019-01-29","DET",18,17.2573333333333
"50","B_Lopez","C","Milwaukee Bucks","2019-01-31","TOR",13,18.84075
"51","B_Lopez","C","Milwaukee Bucks","2019-02-02","WAS",27,18.69175
"52","B_Lopez","C","Milwaukee Bucks","2019-02-04","BRK",12,19.2357083333333
"53","B_Lopez","C","Milwaukee Bucks","2019-02-06","WAS",13,17.8434583333333
"54","B_Lopez","C","Milwaukee Bucks","2019-02-08","DAL",24,16.841375
"55","B_Lopez","C","Milwaukee Bucks","2019-02-09","ORL",9,18.0913333333333
"56","B_Lopez","C","Milwaukee Bucks","2019-02-11","CHI",9,23.884625
"57","B_Lopez","C","Milwaukee Bucks","2019-02-13","IND",15,19.7985833333333
"58","B_Lopez","C","Milwaukee Bucks","2019-02-21","BOS",14,15.5179166666667
"59","B_Lopez","C","Milwaukee Bucks","2019-02-23","MIN",25,19.688
"60","B_Lopez","C","Milwaukee Bucks","2019-02-25","CHI",13,18.9100833333333
"61","B_Lopez","C","Milwaukee Bucks","2019-02-27","SAC",9,19.5137916666667
"62","B_Lopez","C","Milwaukee Bucks","2019-03-01","LAL",17,18.6846666666667
"63","B_Lopez","C","Milwaukee Bucks","2019-03-02","UTA",24,17.3795416666667
"64","B_Lopez","C","Milwaukee Bucks","2019-03-04","PHO",14,16.024375
"65","B_Lopez","C","Milwaukee Bucks","2019-03-07","IND",19,18.3365416666667
"66","B_Lopez","C","Milwaukee Bucks","2019-03-09","CHO",27,16.18175
"67","B_Lopez","C","Milwaukee Bucks","2019-03-10","SAS",13,18.6004166666667
"68","B_Lopez","C","Milwaukee Bucks","2019-03-12","NOP",15,17.3430833333333
"69","B_Lopez","C","Milwaukee Bucks","2019-03-15","MIA",2,19.1635
"70","B_Lopez","C","Milwaukee Bucks","2019-03-17","PHI",20,14.04875
"71","B_Lopez","C","Milwaukee Bucks","2019-03-19","LAL",38,20.428125
"72","B_Lopez","C","Milwaukee Bucks","2019-03-20","CLE",25,16.5843333333333
"73","B_Lopez","C","Milwaukee Bucks","2019-03-22","MIA",14,18.085875
"74","B_Lopez","C","Milwaukee Bucks","2019-03-24","CLE",22,20.3457083333333
"75","B_Lopez","C","Milwaukee Bucks","2019-03-26","HOU",19,15.3056666666667
"76","B_Lopez","C","Milwaukee Bucks","2019-03-28","LAC",16,13.7687916666667
"77","B_Lopez","C","Milwaukee Bucks","2019-03-31","ATL",25,17.53925
"78","B_Lopez","C","Milwaukee Bucks","2019-04-01","BRK",16,18.1672916666667
"79","B_Lopez","C","Milwaukee Bucks","2019-04-04","PHI",11,20.4330833333333
"80","B_Lopez","C","Milwaukee Bucks","2019-04-06","BRK",9,19.6814583333333
