"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Ball","PG","Los Angeles Lakers","2018-10-18","POR",9,NA
"2","Ball","PG","Los Angeles Lakers","2018-10-20","HOU",22,13.5859980644051
"3","Ball","PG","Los Angeles Lakers","2018-10-22","SAS",20,14.4687054120038
"4","Ball","PG","Los Angeles Lakers","2018-10-24","PHO",14,16.6890452843096
"5","Ball","PG","Los Angeles Lakers","2018-10-25","DEN",16,14.286723472701
"6","Ball","PG","Los Angeles Lakers","2018-10-27","SAS",10,14.4733568508381
"7","Ball","PG","Los Angeles Lakers","2018-10-29","MIN",4,15.5937520500813
"8","Ball","PG","Los Angeles Lakers","2018-10-31","DAL",18,12.5149965250899
"9","Ball","PG","Los Angeles Lakers","2018-11-03","POR",5,15.0140373758675
"10","Ball","PG","Los Angeles Lakers","2018-11-04","TOR",16,13.6451915845732
"11","Ball","PG","Los Angeles Lakers","2018-11-07","MIN",3,16.0210813928331
"12","Ball","PG","Los Angeles Lakers","2018-11-10","SAC",4,13.4140991205166
"13","Ball","PG","Los Angeles Lakers","2018-11-11","ATL",12,11.8402757420795
"14","Ball","PG","Los Angeles Lakers","2018-11-14","POR",17,14.3932661343129
"15","Ball","PG","Los Angeles Lakers","2018-11-17","ORL",0,12.6141937192967
"16","Ball","PG","Los Angeles Lakers","2018-11-18","MIA",2,12.2576743069955
"17","Ball","PG","Los Angeles Lakers","2018-11-21","CLE",17,11.8344828421586
"18","Ball","PG","Los Angeles Lakers","2018-11-23","UTA",11,13.796174908039
"19","Ball","PG","Los Angeles Lakers","2018-11-25","ORL",11,12.9578102556204
"20","Ball","PG","Los Angeles Lakers","2018-11-27","DEN",9,14.1464827690698
"21","Ball","PG","Los Angeles Lakers","2018-11-29","IND",2,12.1596206616667
"22","Ball","PG","Los Angeles Lakers","2018-11-30","DAL",12,12.3617548281667
"23","Ball","PG","Los Angeles Lakers","2018-12-02","PHO",7,15.3823662295135
"24","Ball","PG","Los Angeles Lakers","2018-12-05","SAS",20,13.0108480838358
"25","Ball","PG","Los Angeles Lakers","2018-12-07","SAS",17,15.4837902219105
"26","Ball","PG","Los Angeles Lakers","2018-12-08","MEM",4,13.42700698293
"27","Ball","PG","Los Angeles Lakers","2018-12-10","MIA",12,12.5847073571206
"28","Ball","PG","Los Angeles Lakers","2018-12-13","HOU",7,13.6831901708587
"29","Ball","PG","Los Angeles Lakers","2018-12-15","CHO",20,13.7045588411116
"30","Ball","PG","Los Angeles Lakers","2018-12-16","WAS",14,14.8807513794441
"31","Ball","PG","Los Angeles Lakers","2018-12-18","BRK",33,13.1767826663964
"32","Ball","PG","Los Angeles Lakers","2018-12-21","NOP",16,13.8903370150066
"33","Ball","PG","Los Angeles Lakers","2018-12-23","MEM",4,12.2915355699713
"34","Ball","PG","Los Angeles Lakers","2018-12-25","GSW",8,12.8492591761814
"35","Ball","PG","Los Angeles Lakers","2018-12-27","SAC",28,15.1105776800168
"36","Ball","PG","Los Angeles Lakers","2018-12-28","LAC",25,14.9761195374437
"37","Ball","PG","Los Angeles Lakers","2018-12-30","SAC",15,15.2211096134208
"38","Ball","PG","Los Angeles Lakers","2019-01-02","OKC",3,13.9596859137042
"39","Ball","PG","Los Angeles Lakers","2019-01-04","NYK",27,13.6406733903542
"40","Ball","PG","Los Angeles Lakers","2019-01-06","MIN",0,14.3425997989601
"41","Ball","PG","Los Angeles Lakers","2019-01-07","DAL",29,11.5372910467918
"42","Ball","PG","Los Angeles Lakers","2019-01-09","DET",7,14.4578029347383
"43","Ball","PG","Los Angeles Lakers","2019-01-11","UTA",9,13.6867977386816
"44","Ball","PG","Los Angeles Lakers","2019-01-13","CLE",17,12.2113980473003
"45","Ball","PG","Los Angeles Lakers","2019-01-15","CHI",25,14.2827623206644
"46","Ball","PG","Los Angeles Lakers","2019-01-17","OKC",26,12.2136939771545
