"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"5","Barnes","F","Dallas Mavericks","2018-10-26","TOR",16,NA
"6","Barnes","F","Dallas Mavericks","2018-10-28","UTA",7,20.1205460758503
"7","Barnes","F","Dallas Mavericks","2018-10-29","SAS",22,21.277785202094
"8","Barnes","F","Dallas Mavericks","2018-10-31","LAL",27,22.4785170466337
"9","Barnes","F","Dallas Mavericks","2018-11-02","NYK",16,21.1124117519804
"10","Barnes","F","Dallas Mavericks","2018-11-06","WAS",23,22.6450713208272
"11","Barnes","F","Dallas Mavericks","2018-11-07","UTA",18,18.909429674845
"12","Barnes","F","Dallas Mavericks","2018-11-10","OKC",13,22.7367117937466
"13","Barnes","F","Dallas Mavericks","2018-11-12","CHI",25,20.3792939118731
"14","Barnes","F","Dallas Mavericks","2018-11-14","UTA",25,19.3478989511434
"15","Barnes","F","Dallas Mavericks","2018-11-17","GSW",27,21.1143225410594
"16","Barnes","F","Dallas Mavericks","2018-11-19","MEM",12,21.2478444273391
"17","Barnes","F","Dallas Mavericks","2018-11-21","BRK",38,22.6054788520845
"18","Barnes","F","Dallas Mavericks","2018-11-24","BOS",30,21.8964508474478
"19","Barnes","F","Dallas Mavericks","2018-11-28","HOU",19,19.710838813008
"20","Barnes","F","Dallas Mavericks","2018-11-30","LAL",37,22.3370441421338
"21","Barnes","F","Dallas Mavericks","2018-12-02","LAC",36,18.1479289803734
"22","Barnes","F","Dallas Mavericks","2018-12-04","POR",11,22.9677673641922
"23","Barnes","F","Dallas Mavericks","2018-12-05","NOP",22,20.3064422125238
"24","Barnes","F","Dallas Mavericks","2018-12-08","HOU",18,21.4982195457453
"25","Barnes","F","Dallas Mavericks","2018-12-10","ORL",29,21.3590178815325
"26","Barnes","F","Dallas Mavericks","2018-12-12","ATL",35,22.7896789655105
"27","Barnes","F","Dallas Mavericks","2018-12-13","PHO",19,21.1977241337749
"28","Barnes","F","Dallas Mavericks","2018-12-16","SAC",21,22.9554276132185
"29","Barnes","F","Dallas Mavericks","2018-12-18","DEN",40,20.5236805939731
"30","Barnes","F","Dallas Mavericks","2018-12-20","LAC",22,21.220307743008
"31","Barnes","F","Dallas Mavericks","2018-12-22","GSW",17,19.9297691087894
"32","Barnes","F","Dallas Mavericks","2018-12-23","POR",37,22.2494123180659
"33","Barnes","F","Dallas Mavericks","2018-12-26","NOP",22,22.1094301687294
"34","Barnes","F","Dallas Mavericks","2018-12-28","NOP",25,22.7358233436394
"35","Barnes","F","Dallas Mavericks","2018-12-30","OKC",18,22.1907934848418
"36","Barnes","F","Dallas Mavericks","2018-12-31","OKC",39,21.6744568838243
"37","Barnes","F","Dallas Mavericks","2019-01-02","CHO",21,20.8641455787391
"38","Barnes","F","Dallas Mavericks","2019-01-04","BOS",28,23.3970004440097
"39","Barnes","F","Dallas Mavericks","2019-01-05","PHI",7,24.3004889575694
"40","Barnes","F","Dallas Mavericks","2019-01-07","LAL",15,22.0884236791013
"41","Barnes","F","Dallas Mavericks","2019-01-09","PHO",19,18.8961092474307
"42","Barnes","F","Dallas Mavericks","2019-01-11","MIN",31,22.432305556992
"43","Barnes","F","Dallas Mavericks","2019-01-13","GSW",30,22.2061608670172
"44","Barnes","F","Dallas Mavericks","2019-01-16","SAS",13,19.6598683777457
"45","Barnes","F","Dallas Mavericks","2019-01-19","IND",26,21.3850196683849
"46","Barnes","F","Dallas Mavericks","2019-01-21","MIL",8,22.0120978843006
"47","Barnes","F","Dallas Mavericks","2019-01-22","LAC",26,23.5351104491348
"48","Barnes","F","Dallas Mavericks","2019-01-25","DET",13,22.3581290622887
"49","Barnes","F","Dallas Mavericks","2019-01-27","TOR",16,22.4928685607181
"50","Barnes","F","Dallas Mavericks","2019-01-30","NYK",21,24.4498663316729
"51","Barnes","F","Dallas Mavericks","2019-01-31","DET",31,22.7542542315739
"52","Barnes","F","Dallas Mavericks","2019-02-02","CLE",23,23.2337652613114
"53","Barnes","F","Dallas Mavericks","2019-02-06","CHO",14,24.1372957015729
"54","Barnes","F","Dallas Mavericks","2019-02-08","MIA",16,23.0599215786951
"55","Barnes","F","Dallas Mavericks","2019-02-10","PHO",11,22.7878660375476
"56","Barnes","F","Dallas Mavericks","2019-02-13","DEN",25,22.311254074847
"57","Barnes","F","Dallas Mavericks","2019-02-21","GSW",15,22.0652673107582
"58","Barnes","F","Dallas Mavericks","2019-02-23","OKC",7,22.2576536281603
"59","Barnes","F","Dallas Mavericks","2019-02-25","MIN",2,22.5318053640683
"60","Barnes","F","Dallas Mavericks","2019-02-27","MIL",21,22.4162440608589
"61","Barnes","F","Dallas Mavericks","2019-03-01","LAC",17,22.4813675649199
"62","Barnes","F","Dallas Mavericks","2019-03-04","NYK",28,21.363571185187
"63","Barnes","F","Dallas Mavericks","2019-03-06","BOS",32,21.221554008175
"64","Barnes","F","Dallas Mavericks","2019-03-09","NYK",13,20.4930975702043
"65","Barnes","F","Dallas Mavericks","2019-03-11","WAS",17,22.8734559121338
"66","Barnes","F","Dallas Mavericks","2019-03-14","BOS",26,21.1665548843423
"67","Barnes","F","Dallas Mavericks","2019-03-15","PHI",24,23.5839338306787
"68","Barnes","F","Dallas Mavericks","2019-03-17","CHI",15,21.07268972985
"69","Barnes","F","Dallas Mavericks","2019-03-19","BRK",23,22.3537750525304
