"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Batum","SG","Charlotte Hornets","2018-10-17","MIL",7,NA
"2","Batum","SG","Charlotte Hornets","2018-10-19","ORL",21,13.7162090097403
"3","Batum","SG","Charlotte Hornets","2018-10-20","MIA",12,10.2828104707792
"4","Batum","SG","Charlotte Hornets","2018-10-22","TOR",19,16.3440686327561
"5","Batum","SG","Charlotte Hornets","2018-10-24","CHI",15,15.8518923611111
"6","Batum","SG","Charlotte Hornets","2018-10-26","CHI",14,11.9570066287879
"7","Batum","SG","Charlotte Hornets","2018-10-27","PHI",2,11.8683771645022
"8","Batum","SG","Charlotte Hornets","2018-10-30","MIA",26,13.7027023809524
"9","Batum","SG","Charlotte Hornets","2018-11-01","OKC",14,13.4905892857143
"10","Batum","SG","Charlotte Hornets","2018-11-03","CLE",11,14.4926578733766
"11","Batum","SG","Charlotte Hornets","2018-11-06","ATL",14,15.6302648809524
"12","Batum","SG","Charlotte Hornets","2018-11-09","PHI",7,13.659215232684
"13","Batum","SG","Charlotte Hornets","2018-11-11","DET",7,12.4237633928571
"14","Batum","SG","Charlotte Hornets","2018-11-13","CLE",13,14.3227402597403
"15","Batum","SG","Charlotte Hornets","2018-11-17","PHI",0,17.5632455357143
"16","Batum","SG","Charlotte Hornets","2018-11-19","BOS",13,15.4114330357143
"17","Batum","SG","Charlotte Hornets","2018-11-21","IND",13,21.5741443452381
"18","Batum","SG","Charlotte Hornets","2018-11-23","OKC",11,12.0156592261905
"19","Batum","SG","Charlotte Hornets","2018-11-25","ATL",14,12.6955535714286
"20","Batum","SG","Charlotte Hornets","2018-11-26","MIL",9,16.3178482142857
"21","Batum","SG","Charlotte Hornets","2018-11-28","ATL",13,13.6468333333333
"22","Batum","SG","Charlotte Hornets","2018-11-30","UTA",6,16.9746621572872
"23","Batum","SG","Charlotte Hornets","2018-12-02","NOP",2,21.4502351190476
"24","Batum","SG","Charlotte Hornets","2018-12-05","MIN",24,15.3493139880952
"25","Batum","SG","Charlotte Hornets","2018-12-07","DEN",4,10.9606055194805
"26","Batum","SG","Charlotte Hornets","2018-12-09","NYK",10,23.3895942460317
"27","Batum","SG","Charlotte Hornets","2018-12-12","DET",2,12.3050461309524
"28","Batum","SG","Charlotte Hornets","2018-12-14","NYK",31,13.9845840097403
"29","Batum","SG","Charlotte Hornets","2018-12-15","LAL",9,9.06640625000001
"30","Batum","SG","Charlotte Hornets","2018-12-19","CLE",16,14.121818452381
"31","Batum","SG","Charlotte Hornets","2018-12-21","DET",2,14.1369866071429
"32","Batum","SG","Charlotte Hornets","2018-12-23","BOS",7,15.0047023809524
"33","Batum","SG","Charlotte Hornets","2018-12-26","BRK",17,14.8165386904762
"34","Batum","SG","Charlotte Hornets","2018-12-28","BRK",7,14.2275549242424
"35","Batum","SG","Charlotte Hornets","2018-12-29","WAS",10,14.4179084145022
"36","Batum","SG","Charlotte Hornets","2018-12-31","ORL",9,17.100784767316
"37","Batum","SG","Charlotte Hornets","2019-01-02","DAL",12,10.8908794642857
"38","Batum","SG","Charlotte Hornets","2019-01-05","DEN",17,12.7966732954545
"39","Batum","SG","Charlotte Hornets","2019-01-06","PHO",8,14.3113468614719
"40","Batum","SG","Charlotte Hornets","2019-01-08","LAC",12,16.4036792478355
"41","Batum","SG","Charlotte Hornets","2019-01-11","POR",12,17.6511064664502
"42","Batum","SG","Charlotte Hornets","2019-01-12","SAC",19,13.3110416666667
"43","Batum","SG","Charlotte Hornets","2019-01-14","SAS",9,11.7005757575758
"44","Batum","SG","Charlotte Hornets","2019-01-17","SAC",7,14.8786264880952
"45","Batum","SG","Charlotte Hornets","2019-01-19","PHO",19,17.951147005772
"46","Batum","SG","Charlotte Hornets","2019-01-20","IND",6,19.5585130772006
"47","Batum","SG","Charlotte Hornets","2019-01-23","MEM",26,16.2734150432901
"48","Batum","SG","Charlotte Hornets","2019-01-25","MIL",27,12.2954613095238
"49","Batum","SG","Charlotte Hornets","2019-01-28","NYK",8,10.0018303571429
"50","Batum","SG","Charlotte Hornets","2019-01-30","BOS",15,12.2865401785714
"51","Batum","SG","Charlotte Hornets","2019-02-01","MEM",9,13.4011795634921
"52","Batum","SG","Charlotte Hornets","2019-02-02","CHI",24,14.1655110930736
"53","Batum","SG","Charlotte Hornets","2019-02-05","LAC",11,11.9206840277778
"54","Batum","SG","Charlotte Hornets","2019-02-06","DAL",18,14.6683377976191
"55","Batum","SG","Charlotte Hornets","2019-02-09","ATL",10,12.9064375
"56","Batum","SG","Charlotte Hornets","2019-02-11","IND",2,20.60559375
"57","Batum","SG","Charlotte Hornets","2019-02-14","ORL",9,12.5355631764069
"58","Batum","SG","Charlotte Hornets","2019-02-22","WAS",30,15.6608004599567
"59","Batum","SG","Charlotte Hornets","2019-02-23","BRK",22,11.4050729166667
"60","Batum","SG","Charlotte Hornets","2019-02-25","GSW",18,18.4179056186869
"61","Batum","SG","Charlotte Hornets","2019-02-27","HOU",23,12.1535249368687
"62","Batum","SG","Charlotte Hornets","2019-03-01","BRK",25,10.6178712121212
"63","Batum","SG","Charlotte Hornets","2019-03-03","POR",12,13.5761979166667
"64","Batum","SG","Charlotte Hornets","2019-03-06","MIA",15,16.2328480790043
"65","Batum","SG","Charlotte Hornets","2019-03-08","WAS",12,15.1305863095238
"66","Batum","SG","Charlotte Hornets","2019-03-09","MIL",18,19.9394690656566
"68","Batum","SG","Charlotte Hornets","2019-03-15","WAS",24,11.0033620580808
"69","Batum","SG","Charlotte Hornets","2019-03-17","MIA",14,15.1050590277778
"70","Batum","SG","Charlotte Hornets","2019-03-19","PHI",13,18.1770233134921
"71","Batum","SG","Charlotte Hornets","2019-03-21","MIN",2,13.2709092261905
"76","Batum","SG","Charlotte Hornets","2019-03-31","GSW",2,15.2385357142857
"79","Batum","SG","Charlotte Hornets","2019-04-05","TOR",5,12.9103273809524
"80","Batum","SG","Charlotte Hornets","2019-04-07","DET",0,14.3183149801587
"81","Batum","SG","Charlotte Hornets","2019-04-09","CLE",5,16.1884012445887
