"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Bazemore","SG","Atlanta Hawks","2018-10-17","NYK",18,NA
"2","Bazemore","SG","Atlanta Hawks","2018-10-19","MEM",3,14.4155372567248
"3","Bazemore","SG","Atlanta Hawks","2018-10-21","CLE",31,20.1298381202131
"4","Bazemore","SG","Atlanta Hawks","2018-10-24","DAL",38,12.8303762325637
"5","Bazemore","SG","Atlanta Hawks","2018-10-27","CHI",10,12.7138213175713
"6","Bazemore","SG","Atlanta Hawks","2018-10-29","PHI",22,16.9783354238354
"7","Bazemore","SG","Atlanta Hawks","2018-10-30","CLE",7,14.8030152717653
"8","Bazemore","SG","Atlanta Hawks","2018-11-01","SAC",18,18.7829791736042
"9","Bazemore","SG","Atlanta Hawks","2018-11-03","MIA",10,14.8166193274318
"10","Bazemore","SG","Atlanta Hawks","2018-11-06","CHO",20,18.0097031394532
"11","Bazemore","SG","Atlanta Hawks","2018-11-07","NYK",18,15.9903132677508
"12","Bazemore","SG","Atlanta Hawks","2018-11-09","DET",8,16.2719291819292
"13","Bazemore","SG","Atlanta Hawks","2018-11-11","LAL",27,18.9877861721612
"14","Bazemore","SG","Atlanta Hawks","2018-11-13","GSW",20,13.9440992364117
"15","Bazemore","SG","Atlanta Hawks","2018-11-15","DEN",16,15.8234438894439
"16","Bazemore","SG","Atlanta Hawks","2018-11-17","IND",17,13.8959298433048
"17","Bazemore","SG","Atlanta Hawks","2018-11-19","LAC",4,15.6599767709143
"18","Bazemore","SG","Atlanta Hawks","2018-11-21","TOR",8,17.2122925685426
"19","Bazemore","SG","Atlanta Hawks","2018-11-23","BOS",0,17.5865202020202
"20","Bazemore","SG","Atlanta Hawks","2018-11-25","CHO",24,19.6587619047619
"21","Bazemore","SG","Atlanta Hawks","2018-11-27","MIA",14,13.9813265785141
"22","Bazemore","SG","Atlanta Hawks","2018-11-28","CHO",8,17.8746085927961
"23","Bazemore","SG","Atlanta Hawks","2018-11-30","OKC",10,19.9967827473453
"24","Bazemore","SG","Atlanta Hawks","2018-12-03","GSW",5,17.9437256054131
"25","Bazemore","SG","Atlanta Hawks","2018-12-05","WAS",26,19.516826007326
"26","Bazemore","SG","Atlanta Hawks","2018-12-08","DEN",11,16.5847386456136
"27","Bazemore","SG","Atlanta Hawks","2018-12-12","DAL",28,16.5388117877493
"28","Bazemore","SG","Atlanta Hawks","2018-12-14","BOS",17,16.1994141113516
"29","Bazemore","SG","Atlanta Hawks","2018-12-16","BRK",26,14.2068309075184
"30","Bazemore","SG","Atlanta Hawks","2018-12-18","WAS",17,11.424139460077
"31","Bazemore","SG","Atlanta Hawks","2018-12-21","NYK",28,16.9391576178451
"32","Bazemore","SG","Atlanta Hawks","2018-12-23","DET",15,13.1783518518518
"33","Bazemore","SG","Atlanta Hawks","2018-12-26","IND",40,16.0741263620639
"34","Bazemore","SG","Atlanta Hawks","2018-12-28","MIN",29,16.7710843554594
"35","Bazemore","SG","Atlanta Hawks","2018-12-29","CLE",5,17.4963422318422
"50","Bazemore","SG","Atlanta Hawks","2019-01-30","SAC",13,17.8276466820217
"51","Bazemore","SG","Atlanta Hawks","2019-02-01","UTA",8,16.9077056369556
