"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Beal","SG","Washington Wizards","2018-10-18","MIA",24,NA
"2","Beal","SG","Washington Wizards","2018-10-20","TOR",44,27.1332913624366
"3","Beal","SG","Washington Wizards","2018-10-22","POR",35,24.3154564515346
"4","Beal","SG","Washington Wizards","2018-10-24","GSW",25,21.418813738243
"5","Beal","SG","Washington Wizards","2018-10-26","SAC",27,27.9687574657777
"6","Beal","SG","Washington Wizards","2018-10-28","LAC",22,25.2404480599058
"7","Beal","SG","Washington Wizards","2018-10-30","MEM",25,30.112330822874
"8","Beal","SG","Washington Wizards","2018-11-02","OKC",35,27.9231205429579
"9","Beal","SG","Washington Wizards","2018-11-04","NYK",24,28.5886235587329
"10","Beal","SG","Washington Wizards","2018-11-06","DAL",21,26.7056517147069
"11","Beal","SG","Washington Wizards","2018-11-09","ORL",35,27.6513177047625
"12","Beal","SG","Washington Wizards","2018-11-10","MIA",22,22.9876110347985
"13","Beal","SG","Washington Wizards","2018-11-12","ORL",25,27.0620669989733
"14","Beal","SG","Washington Wizards","2018-11-14","CLE",26,24.5597765202526
"15","Beal","SG","Washington Wizards","2018-11-16","BRK",22,25.0685717677951
"16","Beal","SG","Washington Wizards","2018-11-18","POR",16,28.36866676471
"17","Beal","SG","Washington Wizards","2018-11-20","LAC",27,27.0661181068727
"18","Beal","SG","Washington Wizards","2018-11-23","TOR",22,29.7579045141949
"19","Beal","SG","Washington Wizards","2018-11-24","NOP",20,26.4515167637713
"20","Beal","SG","Washington Wizards","2018-11-26","HOU",40,22.4392602916895
"21","Beal","SG","Washington Wizards","2018-11-28","NOP",18,31.1084256413521
"22","Beal","SG","Washington Wizards","2018-11-30","PHI",23,24.16398678762
"23","Beal","SG","Washington Wizards","2018-12-01","BRK",22,26.3022027529252
"24","Beal","SG","Washington Wizards","2018-12-03","NYK",31,30.1254831161486
"25","Beal","SG","Washington Wizards","2018-12-05","ATL",40,24.9020876354038
"26","Beal","SG","Washington Wizards","2018-12-08","CLE",31,27.6169089564439
"27","Beal","SG","Washington Wizards","2018-12-10","IND",38,25.8185527937136
"28","Beal","SG","Washington Wizards","2018-12-12","BOS",28,24.8510412417444
"29","Beal","SG","Washington Wizards","2018-12-14","BRK",35,24.0925256957095
"30","Beal","SG","Washington Wizards","2018-12-16","LAL",33,30.2536851387991
"31","Beal","SG","Washington Wizards","2018-12-18","ATL",33,23.4688011556458
"32","Beal","SG","Washington Wizards","2018-12-19","HOU",34,25.0281494529776
"33","Beal","SG","Washington Wizards","2018-12-22","PHO",48,30.6456354539047
"34","Beal","SG","Washington Wizards","2018-12-23","IND",9,26.2399075510886
"35","Beal","SG","Washington Wizards","2018-12-26","DET",23,27.9420256680615
"36","Beal","SG","Washington Wizards","2018-12-28","CHI",42,NA
"37","Beal","SG","Washington Wizards","2018-12-29","CHO",21,25.243985829938
"38","Beal","SG","Washington Wizards","2019-01-02","ATL",30,26.6520165703374
"39","Beal","SG","Washington Wizards","2019-01-04","MIA",41,25.3021418685481
"40","Beal","SG","Washington Wizards","2019-01-06","OKC",29,28.2140512988849
"41","Beal","SG","Washington Wizards","2019-01-08","PHI",36,24.5041273563038
"42","Beal","SG","Washington Wizards","2019-01-09","PHI",46,27.1097652607809
"43","Beal","SG","Washington Wizards","2019-01-11","MIL",38,25.8463778565185
"44","Beal","SG","Washington Wizards","2019-01-13","TOR",55,24.3985884303605
"45","Beal","SG","Washington Wizards","2019-01-17","NYK",30,22.8454071198409
"46","Beal","SG","Washington Wizards","2019-01-21","DET",18,23.8091555026877
"47","Beal","SG","Washington Wizards","2019-01-24","GSW",24,25.9974026320901
"48","Beal","SG","Washington Wizards","2019-01-25","ORL",37,25.9286082120494
"49","Beal","SG","Washington Wizards","2019-01-27","SAS",27,22.2026599274908
"50","Beal","SG","Washington Wizards","2019-01-29","CLE",37,26.3832042559156
"51","Beal","SG","Washington Wizards","2019-01-30","IND",29,28.1477984622608
"52","Beal","SG","Washington Wizards","2019-02-02","MIL",26,28.0640268913072
"53","Beal","SG","Washington Wizards","2019-02-04","ATL",35,27.3984777990596
"54","Beal","SG","Washington Wizards","2019-02-06","MIL",34,25.4078910335987
"55","Beal","SG","Washington Wizards","2019-02-08","CLE",29,24.5007412084443
"56","Beal","SG","Washington Wizards","2019-02-09","CHI",33,24.7785517296225
"57","Beal","SG","Washington Wizards","2019-02-11","DET",36,30.1899921832661
"58","Beal","SG","Washington Wizards","2019-02-13","TOR",32,26.605339031475
"59","Beal","SG","Washington Wizards","2019-02-22","CHO",54,28.5113860080891
"60","Beal","SG","Washington Wizards","2019-02-23","IND",41,26.701877587588
"61","Beal","SG","Washington Wizards","2019-02-27","BRK",37,27.3817223055743
"62","Beal","SG","Washington Wizards","2019-03-01","BOS",37,29.4962534427378
"63","Beal","SG","Washington Wizards","2019-03-03","MIN",26,22.3153690127275
"64","Beal","SG","Washington Wizards","2019-03-06","DAL",34,28.5126448785079
"65","Beal","SG","Washington Wizards","2019-03-08","CHO",17,27.9897499643943
"66","Beal","SG","Washington Wizards","2019-03-09","MIN",40,28.6944579206537
"67","Beal","SG","Washington Wizards","2019-03-11","SAC",33,26.0460389057429
"68","Beal","SG","Washington Wizards","2019-03-13","ORL",27,23.9113061676885
"69","Beal","SG","Washington Wizards","2019-03-15","CHO",54,25.5379421227261
"70","Beal","SG","Washington Wizards","2019-03-16","MEM",58,25.4643109009046
"71","Beal","SG","Washington Wizards","2019-03-18","UTA",15,23.6006497979145
"72","Beal","SG","Washington Wizards","2019-03-20","CHI",31,30.8698723425268
"73","Beal","SG","Washington Wizards","2019-03-21","DEN",29,26.8393153619256
"74","Beal","SG","Washington Wizards","2019-03-23","MIA",20,27.8957140759567
"75","Beal","SG","Washington Wizards","2019-03-26","LAL",36,27.138613030352
