"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"2","Bender","C","Phoenix Suns","2018-10-20","DEN",0,NA
"3","Bender","C","Phoenix Suns","2018-10-22","GSW",0,9.04804166666667
"5","Bender","C","Phoenix Suns","2018-10-27","MEM",2,6.6625
"7","Bender","C","Phoenix Suns","2018-10-31","SAS",2,9.44820833333333
"14","Bender","C","Phoenix Suns","2018-11-14","SAS",0,8.97570833333333
"15","Bender","C","Phoenix Suns","2018-11-17","OKC",0,8.362875
"23","Bender","C","Phoenix Suns","2018-12-02","LAL",7,9.67916666666667
"24","Bender","C","Phoenix Suns","2018-12-04","SAC",4,9.961625
"25","Bender","C","Phoenix Suns","2018-12-06","POR",10,10.15925
"28","Bender","C","Phoenix Suns","2018-12-11","SAS",2,9.50979166666667
"31","Bender","C","Phoenix Suns","2018-12-17","NYK",0,8.91604166666666
"38","Bender","C","Phoenix Suns","2018-12-31","GSW",3,9.14620833333333
"45","Bender","C","Phoenix Suns","2019-01-15","IND",0,8.8145
"47","Bender","C","Phoenix Suns","2019-01-19","CHO",0,8.11041666666667
"48","Bender","C","Phoenix Suns","2019-01-20","MIN",12,7.38325
"49","Bender","C","Phoenix Suns","2019-01-22","MIN",15,10.4644166666667
"50","Bender","C","Phoenix Suns","2019-01-24","POR",23,10.1006666666667
"51","Bender","C","Phoenix Suns","2019-01-25","DEN",16,11.8222083333333
"52","Bender","C","Phoenix Suns","2019-01-27","LAL",5,11.325625
"53","Bender","C","Phoenix Suns","2019-01-29","SAS",0,9.72725
"56","Bender","C","Phoenix Suns","2019-02-06","UTA",0,8.64195833333334
"57","Bender","C","Phoenix Suns","2019-02-08","GSW",2,10.0929583333333
"58","Bender","C","Phoenix Suns","2019-02-10","SAC",2,12.161125
"59","Bender","C","Phoenix Suns","2019-02-13","LAC",0,10.6577916666667
"60","Bender","C","Phoenix Suns","2019-02-21","CLE",0,8.22633333333333
"61","Bender","C","Phoenix Suns","2019-02-23","ATL",6,8.434875
"63","Bender","C","Phoenix Suns","2019-03-01","NOP",12,12.8971666666667
"64","Bender","C","Phoenix Suns","2019-03-02","LAL",7,12.041625
"65","Bender","C","Phoenix Suns","2019-03-04","MIL",0,10.4359166666667
"66","Bender","C","Phoenix Suns","2019-03-06","NYK",0,9.00333333333333
"67","Bender","C","Phoenix Suns","2019-03-09","POR",7,9.848625
"68","Bender","C","Phoenix Suns","2019-03-10","GSW",2,11.0484166666667
"69","Bender","C","Phoenix Suns","2019-03-13","UTA",5,11.1827083333333
"70","Bender","C","Phoenix Suns","2019-03-15","HOU",4,9.31345833333333
"71","Bender","C","Phoenix Suns","2019-03-16","NOP",15,13.9977916666667
"72","Bender","C","Phoenix Suns","2019-03-18","CHI",4,10.2565416666667
"73","Bender","C","Phoenix Suns","2019-03-21","DET",2,9.80025
"74","Bender","C","Phoenix Suns","2019-03-23","SAC",4,11.335
"75","Bender","C","Phoenix Suns","2019-03-25","UTA",6,10.17075
"76","Bender","C","Phoenix Suns","2019-03-27","WAS",18,9.9035
"77","Bender","C","Phoenix Suns","2019-03-30","MEM",12,12.1475833333333
"78","Bender","C","Phoenix Suns","2019-04-01","CLE",12,11.8610833333333
"79","Bender","C","Phoenix Suns","2019-04-03","UTA",7,10.6545
"80","Bender","C","Phoenix Suns","2019-04-05","NOP",11,12.0045
"81","Bender","C","Phoenix Suns","2019-04-07","HOU",21,10.776875
