"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Beverley","SG","Los Angeles Clippers","2018-10-17","DEN",0,NA
"2","Beverley","SG","Los Angeles Clippers","2018-10-19","OKC",9,17.5402666666667
"3","Beverley","SG","Los Angeles Clippers","2018-10-21","HOU",4,18.3214166666667
"4","Beverley","SG","Los Angeles Clippers","2018-10-23","NOP",14,18.2850666666667
"5","Beverley","SG","Los Angeles Clippers","2018-10-26","HOU",5,17.0672666666667
"6","Beverley","SG","Los Angeles Clippers","2018-10-28","WAS",17,18.6662166666667
"7","Beverley","SG","Los Angeles Clippers","2018-10-30","OKC",4,18.6730666666667
"8","Beverley","SG","Los Angeles Clippers","2018-11-01","PHI",4,16.9482166666667
"9","Beverley","SG","Los Angeles Clippers","2018-11-02","ORL",10,18.1475333333333
"10","Beverley","SG","Los Angeles Clippers","2018-11-05","MIN",14,19.4052833333333
"11","Beverley","SG","Los Angeles Clippers","2018-11-08","POR",4,16.9480833333333
"12","Beverley","SG","Los Angeles Clippers","2018-11-10","MIL",31,18.221
"13","Beverley","SG","Los Angeles Clippers","2018-11-12","GSW",4,17.90765
"14","Beverley","SG","Los Angeles Clippers","2018-11-15","SAS",14,19.2729833333333
"15","Beverley","SG","Los Angeles Clippers","2018-11-17","BRK",10,16.7045833333333
"16","Beverley","SG","Los Angeles Clippers","2018-11-19","ATL",4,20.0436833333334
"17","Beverley","SG","Los Angeles Clippers","2018-11-20","WAS",10,17.7798166666667
"18","Beverley","SG","Los Angeles Clippers","2018-11-23","MEM",11,19.30505
"19","Beverley","SG","Los Angeles Clippers","2018-11-25","POR",9,18.8495666666667
"20","Beverley","SG","Los Angeles Clippers","2018-11-28","PHO",2,17.5812666666667
"21","Beverley","SG","Los Angeles Clippers","2018-11-29","SAC",6,19.0847666666667
"22","Beverley","SG","Los Angeles Clippers","2018-12-02","DAL",5,18.99445
"23","Beverley","SG","Los Angeles Clippers","2018-12-03","NOP",12,18.7581166666667
"24","Beverley","SG","Los Angeles Clippers","2018-12-05","MEM",6,18.0450166666667
"25","Beverley","SG","Los Angeles Clippers","2018-12-08","MIA",11,19.5493666666667
"26","Beverley","SG","Los Angeles Clippers","2018-12-10","PHO",6,17.1745333333333
"27","Beverley","SG","Los Angeles Clippers","2018-12-11","TOR",2,19.1646333333333
"28","Beverley","SG","Los Angeles Clippers","2018-12-13","SAS",10,17.4055666666667
