"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Bjelica","F","Sacramento Kings","2018-10-17","UTA",22,NA
"2","Bjelica","F","Sacramento Kings","2018-10-19","NOP",4,8.29775
"3","Bjelica","F","Sacramento Kings","2018-10-21","OKC",16,10.6747083333333
"4","Bjelica","F","Sacramento Kings","2018-10-23","DEN",12,12.3675416666667
"5","Bjelica","F","Sacramento Kings","2018-10-24","MEM",13,9.16170833333333
"6","Bjelica","F","Sacramento Kings","2018-10-26","WAS",38,27.6233333333333
"7","Bjelica","F","Sacramento Kings","2018-10-29","MIA",25,10.3889166666667
"8","Bjelica","F","Sacramento Kings","2018-10-30","ORL",27,9.24570833333333
"9","Bjelica","F","Sacramento Kings","2018-11-01","ATL",25,10.0630833333333
"10","Bjelica","F","Sacramento Kings","2018-11-04","MIL",4,9.373125
"11","Bjelica","F","Sacramento Kings","2018-11-07","TOR",0,9.96658333333333
"12","Bjelica","F","Sacramento Kings","2018-11-09","MIN",18,7.83733333333333
"13","Bjelica","F","Sacramento Kings","2018-11-10","LAL",2,6.839875
"14","Bjelica","F","Sacramento Kings","2018-11-12","SAS",17,8.0215
"15","Bjelica","F","Sacramento Kings","2018-11-16","MEM",12,6.506125
"16","Bjelica","F","Sacramento Kings","2018-11-17","HOU",2,12.6162916666667
"17","Bjelica","F","Sacramento Kings","2018-11-19","OKC",16,4.48354166666666
"18","Bjelica","F","Sacramento Kings","2018-11-21","UTA",24,11.6277083333333
"19","Bjelica","F","Sacramento Kings","2018-11-24","GSW",1,9.60125
"20","Bjelica","F","Sacramento Kings","2018-11-25","UTA",14,8.1165
"21","Bjelica","F","Sacramento Kings","2018-11-29","LAC",13,9.78016666666667
"22","Bjelica","F","Sacramento Kings","2018-12-01","IND",15,12.5133333333333
"23","Bjelica","F","Sacramento Kings","2018-12-04","PHO",2,8.35975
"24","Bjelica","F","Sacramento Kings","2018-12-07","CLE",15,7.54416666666667
"25","Bjelica","F","Sacramento Kings","2018-12-08","IND",6,12.33075
"26","Bjelica","F","Sacramento Kings","2018-12-10","CHI",6,13.0169583333333
"27","Bjelica","F","Sacramento Kings","2018-12-12","MIN",33,12.1507916666667
"28","Bjelica","F","Sacramento Kings","2018-12-14","GSW",26,10.0634583333333
"29","Bjelica","F","Sacramento Kings","2018-12-16","DAL",23,8.6955
"30","Bjelica","F","Sacramento Kings","2018-12-17","MIN",0,7.40995833333333
"31","Bjelica","F","Sacramento Kings","2018-12-19","OKC",12,4.651
"32","Bjelica","F","Sacramento Kings","2018-12-21","MEM",15,11.69175
"33","Bjelica","F","Sacramento Kings","2018-12-23","NOP",9,8.64820833333333
"34","Bjelica","F","Sacramento Kings","2018-12-26","LAC",17,10.7565833333333
"35","Bjelica","F","Sacramento Kings","2018-12-27","LAL",18,7.190875
"36","Bjelica","F","Sacramento Kings","2018-12-30","LAL",7,26.3810416666667
"37","Bjelica","F","Sacramento Kings","2019-01-01","POR",16,10.30125
"38","Bjelica","F","Sacramento Kings","2019-01-03","DEN",23,26.155625
"39","Bjelica","F","Sacramento Kings","2019-01-05","GSW",16,8.39529166666667
"40","Bjelica","F","Sacramento Kings","2019-01-07","ORL",4,7.955375
"41","Bjelica","F","Sacramento Kings","2019-01-08","PHO",4,9.79341666666666
"42","Bjelica","F","Sacramento Kings","2019-01-10","DET",9,9.83720833333333
"43","Bjelica","F","Sacramento Kings","2019-01-12","CHO",5,11.5638333333333
"44","Bjelica","F","Sacramento Kings","2019-01-14","POR",4,6.54866666666666
"45","Bjelica","F","Sacramento Kings","2019-01-17","CHO",2,10.76075
"46","Bjelica","F","Sacramento Kings","2019-01-19","DET",7,6.91233333333334
"47","Bjelica","F","Sacramento Kings","2019-01-21","BRK",2,11.47175
"49","Bjelica","F","Sacramento Kings","2019-01-25","MEM",25,4.79770833333333
"50","Bjelica","F","Sacramento Kings","2019-01-27","LAC",5,9.21166666666667
"51","Bjelica","F","Sacramento Kings","2019-01-30","ATL",16,8.493875
"52","Bjelica","F","Sacramento Kings","2019-02-02","PHI",7,6.8855
"53","Bjelica","F","Sacramento Kings","2019-02-04","SAS",9,11.385375
"54","Bjelica","F","Sacramento Kings","2019-02-06","HOU",21,12.6050416666667
"55","Bjelica","F","Sacramento Kings","2019-02-08","MIA",4,8.59325
"56","Bjelica","F","Sacramento Kings","2019-02-10","PHO",10,10.7809583333333
"57","Bjelica","F","Sacramento Kings","2019-02-13","DEN",19,6.49479166666667
"60","Bjelica","F","Sacramento Kings","2019-02-25","MIN",5,8.19775
"62","Bjelica","F","Sacramento Kings","2019-03-01","LAC",7,8.16841666666667
"63","Bjelica","F","Sacramento Kings","2019-03-04","NYK",12,9.39783333333333
"64","Bjelica","F","Sacramento Kings","2019-03-06","BOS",7,14.2194166666667
"65","Bjelica","F","Sacramento Kings","2019-03-09","NYK",17,11.1935416666667
"66","Bjelica","F","Sacramento Kings","2019-03-11","WAS",21,7.47116666666667
"67","Bjelica","F","Sacramento Kings","2019-03-14","BOS",9,11.2375416666667
"68","Bjelica","F","Sacramento Kings","2019-03-15","PHI",4,10.9210833333333
"69","Bjelica","F","Sacramento Kings","2019-03-17","CHI",10,8.91025
"70","Bjelica","F","Sacramento Kings","2019-03-19","BRK",16,10.5997916666667
"71","Bjelica","F","Sacramento Kings","2019-03-21","DAL",6,9.2485
"72","Bjelica","F","Sacramento Kings","2019-03-23","PHO",17,11.5810416666667
"73","Bjelica","F","Sacramento Kings","2019-03-24","LAL",8,7.05691666666666
"74","Bjelica","F","Sacramento Kings","2019-03-26","DAL",8,10.6639583333333
"75","Bjelica","F","Sacramento Kings","2019-03-28","NOP",0,10.7840833333333
"77","Bjelica","F","Sacramento Kings","2019-03-31","SAS",12,4.61241666666667
"78","Bjelica","F","Sacramento Kings","2019-04-02","HOU",12,8.03304166666667
"79","Bjelica","F","Sacramento Kings","2019-04-04","CLE",12,8.54475
"80","Bjelica","F","Sacramento Kings","2019-04-05","UTA",12,6.48379166666667
"81","Bjelica","F","Sacramento Kings","2019-04-07","NOP",21,8.9465
