"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Bledsoe","PG","Milwaukee Bucks","2018-10-17","CHO",23,NA
"2","Bledsoe","PG","Milwaukee Bucks","2018-10-19","IND",16,21.5274597505669
"3","Bledsoe","PG","Milwaukee Bucks","2018-10-22","NYK",20,21.2827602040816
"4","Bledsoe","PG","Milwaukee Bucks","2018-10-24","PHI",22,20.740824829932
"5","Bledsoe","PG","Milwaukee Bucks","2018-10-26","MIN",6,24.4104285714286
"6","Bledsoe","PG","Milwaukee Bucks","2018-10-27","ORL",6,21.092593537415
"7","Bledsoe","PG","Milwaukee Bucks","2018-10-29","TOR",21,24.3492363945578
"8","Bledsoe","PG","Milwaukee Bucks","2018-11-01","BOS",15,20.9210741084312
"9","Bledsoe","PG","Milwaukee Bucks","2018-11-04","SAC",19,17.9785695732839
"10","Bledsoe","PG","Milwaukee Bucks","2018-11-06","POR",7,21.9877380952381
"11","Bledsoe","PG","Milwaukee Bucks","2018-11-08","GSW",30,21.9258008658009
"12","Bledsoe","PG","Milwaukee Bucks","2018-11-10","LAC",19,17.8378095238095
"13","Bledsoe","PG","Milwaukee Bucks","2018-11-11","DEN",14,26.310130952381
"14","Bledsoe","PG","Milwaukee Bucks","2018-11-14","MEM",17,19.8520158730159
"15","Bledsoe","PG","Milwaukee Bucks","2018-11-16","CHI",31,20.2865583900227
"16","Bledsoe","PG","Milwaukee Bucks","2018-11-19","DEN",29,24.1740357142857
"17","Bledsoe","PG","Milwaukee Bucks","2018-11-21","POR",20,20.583156462585
"18","Bledsoe","PG","Milwaukee Bucks","2018-11-23","PHO",16,22.9863475056689
"19","Bledsoe","PG","Milwaukee Bucks","2018-11-24","SAS",22,22.1011818181818
"20","Bledsoe","PG","Milwaukee Bucks","2018-11-26","CHO",25,21.0819081632653
"21","Bledsoe","PG","Milwaukee Bucks","2018-11-28","CHI",7,20.5815718408576
"22","Bledsoe","PG","Milwaukee Bucks","2018-12-01","NYK",33,22.6342142857143
