"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Bogdanovic","F","Indiana Pacers","2018-10-17","MEM",25,NA
"2","Bogdanovic","F","Indiana Pacers","2018-10-19","MIL",3,15.6081364825651
"3","Bogdanovic","F","Indiana Pacers","2018-10-20","BRK",21,16.5858010204082
"4","Bogdanovic","F","Indiana Pacers","2018-10-22","MIN",28,15.4770226915941
"5","Bogdanovic","F","Indiana Pacers","2018-10-24","SAS",9,16.4758327149041
"6","Bogdanovic","F","Indiana Pacers","2018-10-27","CLE",29,16.0706683673469
"7","Bogdanovic","F","Indiana Pacers","2018-10-29","POR",18,18.3155051020408
"8","Bogdanovic","F","Indiana Pacers","2018-10-31","NYK",12,16.5033316326531
"9","Bogdanovic","F","Indiana Pacers","2018-11-02","CHI",12,14.5006949241235
"10","Bogdanovic","F","Indiana Pacers","2018-11-03","BOS",20,17.2837363945578
"11","Bogdanovic","F","Indiana Pacers","2018-11-05","HOU",13,21.0714931972789
"12","Bogdanovic","F","Indiana Pacers","2018-11-07","PHI",19,17.7566065759637
"13","Bogdanovic","F","Indiana Pacers","2018-11-09","MIA",22,18.8120215419501
"14","Bogdanovic","F","Indiana Pacers","2018-11-11","HOU",26,16.9355617041689
"15","Bogdanovic","F","Indiana Pacers","2018-11-16","MIA",20,20.5323843537415
"16","Bogdanovic","F","Indiana Pacers","2018-11-17","ATL",28,19.9928095238095
"17","Bogdanovic","F","Indiana Pacers","2018-11-19","UTA",27,20.5672187693259
"18","Bogdanovic","F","Indiana Pacers","2018-11-21","CHO",28,20.254869047619
"19","Bogdanovic","F","Indiana Pacers","2018-11-23","SAS",21,17.8959880952381
"20","Bogdanovic","F","Indiana Pacers","2018-11-26","UTA",19,16.3960214547357
"21","Bogdanovic","F","Indiana Pacers","2018-11-27","PHO",19,15.2396264330907
"22","Bogdanovic","F","Indiana Pacers","2018-11-29","LAL",18,14.9350397340755
"23","Bogdanovic","F","Indiana Pacers","2018-12-01","SAC",31,16.351852556174
