"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Booker","C","Phoenix Suns","2018-10-17","DAL",47,NA
"2","Booker","C","Phoenix Suns","2018-10-20","DEN",27,31.0367310828578
"3","Booker","C","Phoenix Suns","2018-10-22","GSW",34,29.115953232216
"4","Booker","C","Phoenix Suns","2018-10-24","LAL",27,29.6015726340653
"8","Booker","C","Phoenix Suns","2018-11-02","TOR",22,28.8396197681169
"9","Booker","C","Phoenix Suns","2018-11-04","MEM",29,30.6282581339313
"10","Booker","C","Phoenix Suns","2018-11-06","BRK",24,31.4971552358365
"11","Booker","C","Phoenix Suns","2018-11-08","BOS",46,33.7387823640678
"12","Booker","C","Phoenix Suns","2018-11-10","NOP",16,29.6121555725607
"13","Booker","C","Phoenix Suns","2018-11-12","OKC",21,32.0931577241577
"14","Booker","C","Phoenix Suns","2018-11-14","SAS",17,30.4231463880668
"15","Booker","C","Phoenix Suns","2018-11-17","OKC",22,32.0994923691438
"16","Booker","C","Phoenix Suns","2018-11-19","PHI",49,34.0198538388293
"17","Booker","C","Phoenix Suns","2018-11-21","CHI",25,29.7366447079847
"18","Booker","C","Phoenix Suns","2018-11-23","MIL",31,29.2467961041801
"19","Booker","C","Phoenix Suns","2018-11-25","DET",43,26.192084436814
"20","Booker","C","Phoenix Suns","2018-11-27","IND",26,30.2569011986717
"21","Booker","C","Phoenix Suns","2018-11-28","LAC",25,31.171580232919
"23","Booker","C","Phoenix Suns","2018-12-02","LAL",6,31.1900155081081
"30","Booker","C","Phoenix Suns","2018-12-15","MIN",34,28.2320976696887
"31","Booker","C","Phoenix Suns","2018-12-17","NYK",42,31.9443519109237
"32","Booker","C","Phoenix Suns","2018-12-19","BOS",31,30.5439054370198
"33","Booker","C","Phoenix Suns","2018-12-22","WAS",37,31.1667754479144
"34","Booker","C","Phoenix Suns","2018-12-23","BRK",27,30.3096165685427
"35","Booker","C","Phoenix Suns","2018-12-26","ORL",45,27.9729702745642
"36","Booker","C","Phoenix Suns","2018-12-28","OKC",29,27.4872935371165
"37","Booker","C","Phoenix Suns","2018-12-29","DEN",29,29.7653369296713
"38","Booker","C","Phoenix Suns","2018-12-31","GSW",24,29.9495852246328
"39","Booker","C","Phoenix Suns","2019-01-02","PHI",41,33.1598600981376
"40","Booker","C","Phoenix Suns","2019-01-04","LAC",25,29.4277710435592
"41","Booker","C","Phoenix Suns","2019-01-06","CHO",9,31.5794894404928
"45","Booker","C","Phoenix Suns","2019-01-15","IND",8,29.4218758765734
"46","Booker","C","Phoenix Suns","2019-01-17","TOR",38,31.4512891991494
"47","Booker","C","Phoenix Suns","2019-01-19","CHO",36,28.084569470216
"48","Booker","C","Phoenix Suns","2019-01-20","MIN",20,28.701218200382
"49","Booker","C","Phoenix Suns","2019-01-22","MIN",14,33.2490885490059
"50","Booker","C","Phoenix Suns","2019-01-24","POR",31,34.1839282595536
"51","Booker","C","Phoenix Suns","2019-01-25","DEN",39,29.6357353728323
"52","Booker","C","Phoenix Suns","2019-01-27","LAL",21,28.6804697507128
"53","Booker","C","Phoenix Suns","2019-01-29","SAS",44,28.6762225970557
"54","Booker","C","Phoenix Suns","2019-02-02","ATL",40,30.1768552833356
"55","Booker","C","Phoenix Suns","2019-02-04","HOU",19,27.6592255789451
"58","Booker","C","Phoenix Suns","2019-02-10","SAC",33,31.4145080244135
"59","Booker","C","Phoenix Suns","2019-02-13","LAC",10,30.1933115245705
"60","Booker","C","Phoenix Suns","2019-02-21","CLE",36,32.4430148278868
"61","Booker","C","Phoenix Suns","2019-02-23","ATL",30,29.0150088190427
"62","Booker","C","Phoenix Suns","2019-02-25","MIA",26,29.8265373694749
"63","Booker","C","Phoenix Suns","2019-03-01","NOP",28,31.1971745908431
"64","Booker","C","Phoenix Suns","2019-03-02","LAL",25,31.2002536402895
"65","Booker","C","Phoenix Suns","2019-03-04","MIL",26,28.8141395442258
"66","Booker","C","Phoenix Suns","2019-03-06","NYK",53,30.9953812676417
"67","Booker","C","Phoenix Suns","2019-03-09","POR",25,32.4532035090802
"68","Booker","C","Phoenix Suns","2019-03-10","GSW",41,30.2720782515981
"69","Booker","C","Phoenix Suns","2019-03-13","UTA",31,29.4593783817257
"70","Booker","C","Phoenix Suns","2019-03-15","HOU",31,29.0994189071336
"71","Booker","C","Phoenix Suns","2019-03-16","NOP",46,28.0813504352011
"72","Booker","C","Phoenix Suns","2019-03-18","CHI",27,31.0125027548504
"73","Booker","C","Phoenix Suns","2019-03-21","DET",30,30.3274405065362
"74","Booker","C","Phoenix Suns","2019-03-23","SAC",36,30.1272385378236
"75","Booker","C","Phoenix Suns","2019-03-25","UTA",69,27.2359930387705
"76","Booker","C","Phoenix Suns","2019-03-27","WAS",56,32.3480113924339
"77","Booker","C","Phoenix Suns","2019-03-30","MEM",54,32.6065714981936
"78","Booker","C","Phoenix Suns","2019-04-01","CLE",29,33.1343428583776
