"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Brogdon","SG","Milwaukee Bucks","2018-10-17","CHO",14,NA
"2","Brogdon","SG","Milwaukee Bucks","2018-10-19","IND",19,16.8027354497355
"3","Brogdon","SG","Milwaukee Bucks","2018-10-22","NYK",17,14.0218068783069
"4","Brogdon","SG","Milwaukee Bucks","2018-10-24","PHI",9,13.1023956830207
"5","Brogdon","SG","Milwaukee Bucks","2018-10-26","MIN",15,20.0600716690717
"6","Brogdon","SG","Milwaukee Bucks","2018-10-27","ORL",20,16.1217989417989
"7","Brogdon","SG","Milwaukee Bucks","2018-10-29","TOR",17,15.3157328042328
"8","Brogdon","SG","Milwaukee Bucks","2018-11-01","BOS",20,16.127455026455
"9","Brogdon","SG","Milwaukee Bucks","2018-11-04","SAC",17,14.4427138047138
"10","Brogdon","SG","Milwaukee Bucks","2018-11-06","POR",4,14.7827012385762
"11","Brogdon","SG","Milwaukee Bucks","2018-11-08","GSW",24,17.2956212722463
"12","Brogdon","SG","Milwaukee Bucks","2018-11-10","LAC",25,16.5802488576239
"13","Brogdon","SG","Milwaukee Bucks","2018-11-11","DEN",26,16.5519618807119
"14","Brogdon","SG","Milwaukee Bucks","2018-11-14","MEM",8,15.4801838624339
"15","Brogdon","SG","Milwaukee Bucks","2018-11-16","CHI",19,15.5644407166907
"16","Brogdon","SG","Milwaukee Bucks","2018-11-19","DEN",15,14.631977032227
"17","Brogdon","SG","Milwaukee Bucks","2018-11-21","POR",16,16.4816931216931
"18","Brogdon","SG","Milwaukee Bucks","2018-11-23","PHO",28,17.9742665343915
"19","Brogdon","SG","Milwaukee Bucks","2018-11-24","SAS",29,15.4606728595479
"20","Brogdon","SG","Milwaukee Bucks","2018-11-26","CHO",13,17.6099956108706
"21","Brogdon","SG","Milwaukee Bucks","2018-11-28","CHI",36,17.3408644179894
"22","Brogdon","SG","Milwaukee Bucks","2018-12-01","NYK",30,17.1759643458393
"23","Brogdon","SG","Milwaukee Bucks","2018-12-05","DET",18,15.961595959596
"24","Brogdon","SG","Milwaukee Bucks","2018-12-07","GSW",17,15.1530325877826
"25","Brogdon","SG","Milwaukee Bucks","2018-12-09","TOR",24,15.5572614237614
"26","Brogdon","SG","Milwaukee Bucks","2018-12-10","CLE",20,17.6080634920635
"27","Brogdon","SG","Milwaukee Bucks","2018-12-12","IND",11,16.2192433862434
"30","Brogdon","SG","Milwaukee Bucks","2018-12-19","NOP",20,17.7053375420875
"31","Brogdon","SG","Milwaukee Bucks","2018-12-21","BOS",10,14.0666402116402
"33","Brogdon","SG","Milwaukee Bucks","2018-12-25","NYK",19,17.2657409211159
"34","Brogdon","SG","Milwaukee Bucks","2018-12-27","NYK",19,14.9475722703223
"35","Brogdon","SG","Milwaukee Bucks","2018-12-29","BRK",24,14.9222455507455
"36","Brogdon","SG","Milwaukee Bucks","2019-01-01","DET",15,15.7475727513228
"37","Brogdon","SG","Milwaukee Bucks","2019-01-04","ATL",19,14.9901402116402
"38","Brogdon","SG","Milwaukee Bucks","2019-01-05","TOR",17,14.7899095719096
"39","Brogdon","SG","Milwaukee Bucks","2019-01-07","UTA",23,17.0094537037037
"40","Brogdon","SG","Milwaukee Bucks","2019-01-09","HOU",24,16.5543664021164
"41","Brogdon","SG","Milwaukee Bucks","2019-01-11","WAS",17,15.882442039442
"42","Brogdon","SG","Milwaukee Bucks","2019-01-13","ATL",16,14.9209259259259
"43","Brogdon","SG","Milwaukee Bucks","2019-01-15","MIA",18,16.4733902116402
"44","Brogdon","SG","Milwaukee Bucks","2019-01-16","MEM",11,16.1094995189995
"45","Brogdon","SG","Milwaukee Bucks","2019-01-19","ORL",18,18.0592143458394
"46","Brogdon","SG","Milwaukee Bucks","2019-01-21","DAL",21,15.2542865560366
"47","Brogdon","SG","Milwaukee Bucks","2019-01-25","CHO",21,15.1200244708995
"48","Brogdon","SG","Milwaukee Bucks","2019-01-27","OKC",20,16.3088421115921
"50","Brogdon","SG","Milwaukee Bucks","2019-01-31","TOR",15,18.3722235449736
"51","Brogdon","SG","Milwaukee Bucks","2019-02-02","WAS",19,14.2245087782588
"52","Brogdon","SG","Milwaukee Bucks","2019-02-04","BRK",20,14.5628386243386
"53","Brogdon","SG","Milwaukee Bucks","2019-02-06","WAS",24,14.9849922438672
"54","Brogdon","SG","Milwaukee Bucks","2019-02-08","DAL",18,15.1533888888889
"55","Brogdon","SG","Milwaukee Bucks","2019-02-09","ORL",14,14.7577065295815
"56","Brogdon","SG","Milwaukee Bucks","2019-02-11","CHI",23,17.4690542328042
"57","Brogdon","SG","Milwaukee Bucks","2019-02-13","IND",19,14.4631337782588
"58","Brogdon","SG","Milwaukee Bucks","2019-02-21","BOS",21,14.9766886724387
"59","Brogdon","SG","Milwaukee Bucks","2019-02-23","MIN",20,16.7656838624339
"60","Brogdon","SG","Milwaukee Bucks","2019-02-25","CHI",30,15.2100033068783
"61","Brogdon","SG","Milwaukee Bucks","2019-02-27","SAC",33,19.3653082611833
"62","Brogdon","SG","Milwaukee Bucks","2019-03-01","LAL",27,15.7766821188071
"64","Brogdon","SG","Milwaukee Bucks","2019-03-04","PHO",25,18.1869285714286
"65","Brogdon","SG","Milwaukee Bucks","2019-03-07","IND",9,14.1326615560366
"66","Brogdon","SG","Milwaukee Bucks","2019-03-09","CHO",22,18.8769782347282
"67","Brogdon","SG","Milwaukee Bucks","2019-03-10","SAS",5,15.9820034872535
"68","Brogdon","SG","Milwaukee Bucks","2019-03-12","NOP",22,16.5504512987013
