"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"4","Bryant","C","Washington Wizards","2018-10-24","GSW",6,NA
"6","Bryant","C","Washington Wizards","2018-10-28","LAC",7,1.855875
"9","Bryant","C","Washington Wizards","2018-11-04","NYK",0,2.81320833333333
"10","Bryant","C","Washington Wizards","2018-11-06","DAL",0,0.739541666666666
"14","Bryant","C","Washington Wizards","2018-11-14","CLE",6,0.440541666666667
"16","Bryant","C","Washington Wizards","2018-11-18","POR",6,1.77870833333333
"17","Bryant","C","Washington Wizards","2018-11-20","LAC",7,2.87341666666667
"18","Bryant","C","Washington Wizards","2018-11-23","TOR",9,2.89833333333333
"19","Bryant","C","Washington Wizards","2018-11-24","NOP",4,1.57595833333333
"20","Bryant","C","Washington Wizards","2018-11-26","HOU",4,2.791125
"21","Bryant","C","Washington Wizards","2018-11-28","NOP",0,2.69891666666667
"22","Bryant","C","Washington Wizards","2018-11-30","PHI",12,1.07995833333333
"23","Bryant","C","Washington Wizards","2018-12-01","BRK",2,1.83941666666667
"24","Bryant","C","Washington Wizards","2018-12-03","NYK",8,2.743875
"25","Bryant","C","Washington Wizards","2018-12-05","ATL",18,2.87045833333333
"26","Bryant","C","Washington Wizards","2018-12-08","CLE",2,2.64545833333333
"27","Bryant","C","Washington Wizards","2018-12-10","IND",10,1.80458333333333
"28","Bryant","C","Washington Wizards","2018-12-12","BOS",8,2.56329166666667
"29","Bryant","C","Washington Wizards","2018-12-14","BRK",9,1.714625
"30","Bryant","C","Washington Wizards","2018-12-16","LAL",8,2.853875
"31","Bryant","C","Washington Wizards","2018-12-18","ATL",4,2.5675
"32","Bryant","C","Washington Wizards","2018-12-19","HOU",16,2.63175
"33","Bryant","C","Washington Wizards","2018-12-22","PHO",31,3.66125
"34","Bryant","C","Washington Wizards","2018-12-23","IND",13,2.852375
"35","Bryant","C","Washington Wizards","2018-12-26","DET",7,2.05595833333333
"36","Bryant","C","Washington Wizards","2018-12-28","CHI",12,2.00195833333333
"37","Bryant","C","Washington Wizards","2018-12-29","CHO",21,2.63175
"38","Bryant","C","Washington Wizards","2019-01-02","ATL",16,2.63745833333333
"39","Bryant","C","Washington Wizards","2019-01-04","MIA",10,2.86608333333333
"40","Bryant","C","Washington Wizards","2019-01-06","OKC",14,1.6035
"41","Bryant","C","Washington Wizards","2019-01-08","PHI",11,2.852375
"42","Bryant","C","Washington Wizards","2019-01-09","PHI",11,2.86858333333333
"43","Bryant","C","Washington Wizards","2019-01-11","MIL",13,2.57391666666667
"44","Bryant","C","Washington Wizards","2019-01-13","TOR",20,1.82270833333333
"45","Bryant","C","Washington Wizards","2019-01-17","NYK",10,2.80070833333333
"46","Bryant","C","Washington Wizards","2019-01-21","DET",11,1.465125
"47","Bryant","C","Washington Wizards","2019-01-24","GSW",18,2.86183333333333
"48","Bryant","C","Washington Wizards","2019-01-25","ORL",11,2.84679166666667
"49","Bryant","C","Washington Wizards","2019-01-27","SAS",17,2.86183333333333
"50","Bryant","C","Washington Wizards","2019-01-29","CLE",7,2.86858333333333
"51","Bryant","C","Washington Wizards","2019-01-30","IND",6,2.86858333333333
"52","Bryant","C","Washington Wizards","2019-02-02","MIL",12,2.573
"53","Bryant","C","Washington Wizards","2019-02-04","ATL",2,1.937875
"54","Bryant","C","Washington Wizards","2019-02-06","MIL",28,2.573
"55","Bryant","C","Washington Wizards","2019-02-08","CLE",13,2.58775
"56","Bryant","C","Washington Wizards","2019-02-09","CHI",15,1.71791666666667
"57","Bryant","C","Washington Wizards","2019-02-11","DET",8,2.86441666666667
"58","Bryant","C","Washington Wizards","2019-02-13","TOR",17,2.56479166666667
"59","Bryant","C","Washington Wizards","2019-02-22","CHO",2,1.82075
"60","Bryant","C","Washington Wizards","2019-02-23","IND",29,2.717625
"61","Bryant","C","Washington Wizards","2019-02-27","BRK",18,2.86858333333333
"62","Bryant","C","Washington Wizards","2019-03-01","BOS",2,2.85108333333333
"63","Bryant","C","Washington Wizards","2019-03-03","MIN",11,2.40329166666667
"64","Bryant","C","Washington Wizards","2019-03-06","DAL",6,2.09804166666667
"65","Bryant","C","Washington Wizards","2019-03-08","CHO",14,2.57870833333333
"66","Bryant","C","Washington Wizards","2019-03-09","MIN",8,1.80908333333333
"67","Bryant","C","Washington Wizards","2019-03-11","SAC",2,2.670125
"68","Bryant","C","Washington Wizards","2019-03-13","ORL",23,2.16033333333333
"69","Bryant","C","Washington Wizards","2019-03-15","CHO",6,2.86858333333333
"70","Bryant","C","Washington Wizards","2019-03-16","MEM",10,1.54408333333333
"71","Bryant","C","Washington Wizards","2019-03-18","UTA",5,2.591
"72","Bryant","C","Washington Wizards","2019-03-20","CHI",7,1.99304166666667
"73","Bryant","C","Washington Wizards","2019-03-21","DEN",22,1.80220833333333
"74","Bryant","C","Washington Wizards","2019-03-23","MIA",19,1.79075
"75","Bryant","C","Washington Wizards","2019-03-26","LAL",9,2.79670833333333
"76","Bryant","C","Washington Wizards","2019-03-27","PHO",22,2.79004166666667
"77","Bryant","C","Washington Wizards","2019-03-29","UTA",13,2.88208333333333
"78","Bryant","C","Washington Wizards","2019-03-31","DEN",20,2.80616666666667
"79","Bryant","C","Washington Wizards","2019-04-03","CHI",20,2.86608333333333
"80","Bryant","C","Washington Wizards","2019-04-05","SAS",21,2.86608333333333
"81","Bryant","C","Washington Wizards","2019-04-07","NYK",19,2.85591666666667
