"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"2","Bullock","F","Detroit Pistons","2018-10-20","CHI",18,NA
"3","Bullock","F","Detroit Pistons","2018-10-23","PHI",21,19.4843497115918
"4","Bullock","F","Detroit Pistons","2018-10-25","CLE",5,18.4572258945731
"5","Bullock","F","Detroit Pistons","2018-10-27","BOS",8,14.0953938408896
"6","Bullock","F","Detroit Pistons","2018-10-30","BOS",22,16.629448823918
"7","Bullock","F","Detroit Pistons","2018-10-31","BRK",0,18.7580738404216
"10","Bullock","F","Detroit Pistons","2018-11-07","ORL",1,9.23297435159162
"11","Bullock","F","Detroit Pistons","2018-11-09","ATL",19,9.1371219053564
"12","Bullock","F","Detroit Pistons","2018-11-11","CHO",35,21.1054913553021
"13","Bullock","F","Detroit Pistons","2018-11-14","TOR",7,16.9918869191887
"14","Bullock","F","Detroit Pistons","2018-11-19","CLE",29,16.3642297364233
"15","Bullock","F","Detroit Pistons","2018-11-21","HOU",12,18.5205047453844
"16","Bullock","F","Detroit Pistons","2018-11-23","HOU",12,16.0862776431197
"17","Bullock","F","Detroit Pistons","2018-11-25","PHO",17,16.7114210190968
"18","Bullock","F","Detroit Pistons","2018-11-27","NYK",9,18.4961053204404
"19","Bullock","F","Detroit Pistons","2018-11-30","CHI",19,18.560400160415
"20","Bullock","F","Detroit Pistons","2018-12-01","GSW",14,19.3201503904054
"21","Bullock","F","Detroit Pistons","2018-12-03","OKC",0,16.4064781693588
"27","Bullock","F","Detroit Pistons","2018-12-15","BOS",23,5.89490885971319
"28","Bullock","F","Detroit Pistons","2018-12-17","MIL",34,18.0367343665067
"29","Bullock","F","Detroit Pistons","2018-12-19","MIN",47,18.1601496733331
"30","Bullock","F","Detroit Pistons","2018-12-21","CHO",17,17.6155535275961
"31","Bullock","F","Detroit Pistons","2018-12-23","ATL",12,19.3612863013038
"32","Bullock","F","Detroit Pistons","2018-12-26","WAS",7,19.5431126330224
"33","Bullock","F","Detroit Pistons","2018-12-28","IND",19,17.7470575074222
"34","Bullock","F","Detroit Pistons","2018-12-30","ORL",21,19.5194005340033
"35","Bullock","F","Detroit Pistons","2019-01-01","MIL",10,19.3025931233037
"36","Bullock","F","Detroit Pistons","2019-01-02","MEM",19,19.0502585426336
"37","Bullock","F","Detroit Pistons","2019-01-05","UTA",29,19.2448931089319
"38","Bullock","F","Detroit Pistons","2019-01-07","SAS",19,18.3088084581817
"39","Bullock","F","Detroit Pistons","2019-01-09","LAL",17,16.6173128474054
"40","Bullock","F","Detroit Pistons","2019-01-10","SAC",21,16.9550980728601
"41","Bullock","F","Detroit Pistons","2019-01-12","LAC",27,21.0100035499306
"42","Bullock","F","Detroit Pistons","2019-01-14","UTA",17,19.1539556985279
"43","Bullock","F","Detroit Pistons","2019-01-16","ORL",19,20.4288656647967
"44","Bullock","F","Detroit Pistons","2019-01-18","MIA",25,17.2947007210574
"45","Bullock","F","Detroit Pistons","2019-01-19","SAC",12,16.6906673645878
"46","Bullock","F","Detroit Pistons","2019-01-21","WAS",16,15.6941750946063
"47","Bullock","F","Detroit Pistons","2019-01-23","NOP",7,19.8038509816783
"48","Bullock","F","Detroit Pistons","2019-01-25","DAL",15,14.6809155803416
"50","Bullock","F","Detroit Pistons","2019-01-31","DAL",6,18.995595672021
"51","Bullock","F","Detroit Pistons","2019-02-02","LAC",29,13.1142762698539
"52","Bullock","F","Detroit Pistons","2019-02-04","DEN",17,19.299564176106
"53","Bullock","F","Detroit Pistons","2019-02-05","NYK",29,19.1633862888535
"55","Bullock","F","Detroit Pistons","2019-02-10","PHI",2,16.8869743239499
"56","Bullock","F","Detroit Pistons","2019-02-12","ATL",21,12.8457768786742
"57","Bullock","F","Detroit Pistons","2019-02-21","HOU",22,17.4712949765408
"58","Bullock","F","Detroit Pistons","2019-02-23","NOP",13,18.2482950239711
"59","Bullock","F","Detroit Pistons","2019-02-25","MEM",22,17.2450162806941
"60","Bullock","F","Detroit Pistons","2019-02-27","NOP",18,18.4301058387743
"61","Bullock","F","Detroit Pistons","2019-03-01","MIL",7,17.1699107284689
"62","Bullock","F","Detroit Pistons","2019-03-02","PHO",7,16.0467385037884
"63","Bullock","F","Detroit Pistons","2019-03-04","LAC",7,18.4183378302532
"64","Bullock","F","Detroit Pistons","2019-03-06","DEN",2,15.8171017108714
"65","Bullock","F","Detroit Pistons","2019-03-09","BOS",9,10.7123084213596
"66","Bullock","F","Detroit Pistons","2019-03-12","CHI",11,18.053863236224
"67","Bullock","F","Detroit Pistons","2019-03-14","TOR",11,18.5620342781516
"68","Bullock","F","Detroit Pistons","2019-03-15","DET",4,18.0926821309495
"69","Bullock","F","Detroit Pistons","2019-03-17","NYK",18,12.6837163343661
"70","Bullock","F","Detroit Pistons","2019-03-19","MIL",19,16.6159467636062
"71","Bullock","F","Detroit Pistons","2019-03-22","BRK",7,19.6077877205551
"76","Bullock","F","Detroit Pistons","2019-03-31","NOP",26,17.6326998289901
