"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Butler","F","Philadelphia 76ers","2018-10-17","SAS",25,NA
"2","Butler","F","Philadelphia 76ers","2018-10-19","CLE",35,26.7464924166634
"4","Butler","F","Philadelphia 76ers","2018-10-22","IND",20,26.2946074356942
"5","Butler","F","Philadelphia 76ers","2018-10-24","TOR",31,21.6683549855451
"6","Butler","F","Philadelphia 76ers","2018-10-26","MIL",4,25.7752995527944
"7","Butler","F","Philadelphia 76ers","2018-10-29","LAL",44,26.8624053197988
"9","Butler","F","Philadelphia 76ers","2018-11-02","GSW",21,27.504165581735
"11","Butler","F","Philadelphia 76ers","2018-11-05","LAC",20,23.8345192844119
"12","Butler","F","Philadelphia 76ers","2018-11-07","LAL",34,21.30288959332
"13","Butler","F","Philadelphia 76ers","2018-11-09","SAC",13,28.5897333790511
"15","Butler","F","Philadelphia 76ers","2018-11-14","ORL",14,23.1347356332132
"16","Butler","F","Philadelphia 76ers","2018-11-16","UTA",32,21.3661708129138
"17","Butler","F","Philadelphia 76ers","2018-11-17","CHO",17,23.9436822244404
"18","Butler","F","Philadelphia 76ers","2018-11-19","PHO",16,22.5616541395822
"19","Butler","F","Philadelphia 76ers","2018-11-21","NOP",13,21.589528146038
"20","Butler","F","Philadelphia 76ers","2018-11-23","CLE",28,22.9547431815761
"21","Butler","F","Philadelphia 76ers","2018-11-25","BRK",44,25.4109641351774
"22","Butler","F","Philadelphia 76ers","2018-11-28","NYK",9,25.7262606921924
"23","Butler","F","Philadelphia 76ers","2018-11-30","WAS",13,26.0146629126124
"24","Butler","F","Philadelphia 76ers","2018-12-02","MEM",21,26.7350985788375
"25","Butler","F","Philadelphia 76ers","2018-12-05","TOR",46,21.1393396470313
"26","Butler","F","Philadelphia 76ers","2018-12-07","DET",40,26.7989373984073
"27","Butler","F","Philadelphia 76ers","2018-12-10","DET",0,26.9350579654889
"30","Butler","F","Philadelphia 76ers","2018-12-16","CLE",25,26.2387179432094
"31","Butler","F","Philadelphia 76ers","2018-12-17","SAS",6,23.8999405086792
"32","Butler","F","Philadelphia 76ers","2018-12-19","NYK",20,24.5804174914836
"33","Butler","F","Philadelphia 76ers","2018-12-22","TOR",12,22.0039373949611
"34","Butler","F","Philadelphia 76ers","2018-12-25","BOS",30,22.2494653794099
"35","Butler","F","Philadelphia 76ers","2018-12-27","UTA",21,24.8982360678
"36","Butler","F","Philadelphia 76ers","2018-12-30","POR",5,21.86925781005
"37","Butler","F","Philadelphia 76ers","2019-01-01","LAC",18,22.9520549306869
"40","Butler","F","Philadelphia 76ers","2019-01-08","WAS",22,24.312805123825
"41","Butler","F","Philadelphia 76ers","2019-01-09","WAS",23,24.406814576483
"42","Butler","F","Philadelphia 76ers","2019-01-11","ATL",30,21.4834521763023
"43","Butler","F","Philadelphia 76ers","2019-01-13","NYK",16,22.4255580087455
"44","Butler","F","Philadelphia 76ers","2019-01-15","MIN",25,22.7548881118999
"45","Butler","F","Philadelphia 76ers","2019-01-17","IND",29,26.3564245884709
"46","Butler","F","Philadelphia 76ers","2019-01-19","OKC",20,26.4098629233329
"50","Butler","F","Philadelphia 76ers","2019-01-29","LAL",22,24.222683176614
"51","Butler","F","Philadelphia 76ers","2019-01-31","GSW",7,23.2131800413009
"52","Butler","F","Philadelphia 76ers","2019-02-02","SAC",37,26.4132425061885
"53","Butler","F","Philadelphia 76ers","2019-02-05","TOR",18,25.5897273751536
"54","Butler","F","Philadelphia 76ers","2019-02-08","DEN",22,21.9790663125629
"55","Butler","F","Philadelphia 76ers","2019-02-10","LAL",17,24.4931203264609
"56","Butler","F","Philadelphia 76ers","2019-02-12","BOS",24,22.0402652524099
"57","Butler","F","Philadelphia 76ers","2019-02-13","NYK",13,24.2033629112888
"58","Butler","F","Philadelphia 76ers","2019-02-21","MIA",18,23.9003193578246
"59","Butler","F","Philadelphia 76ers","2019-02-23","POR",15,23.0377608332496
"60","Butler","F","Philadelphia 76ers","2019-02-25","NOP",11,21.3667081867023
"61","Butler","F","Philadelphia 76ers","2019-02-28","OKC",20,23.9864880159016
"62","Butler","F","Philadelphia 76ers","2019-03-02","GSW",25,24.5541168092973
"63","Butler","F","Philadelphia 76ers","2019-03-05","ORL",14,25.1404042468992
"64","Butler","F","Philadelphia 76ers","2019-03-06","CHI",22,22.2209854075318
"65","Butler","F","Philadelphia 76ers","2019-03-08","HOU",19,21.3884799557523
"66","Butler","F","Philadelphia 76ers","2019-03-10","IND",12,21.6399860646477
"68","Butler","F","Philadelphia 76ers","2019-03-15","SAC",22,21.8480004508995
"69","Butler","F","Philadelphia 76ers","2019-03-17","MIL",31,23.6867576517404
"70","Butler","F","Philadelphia 76ers","2019-03-19","CHO",25,24.6594380319662
"71","Butler","F","Philadelphia 76ers","2019-03-20","BOS",28,25.1568761798359
"72","Butler","F","Philadelphia 76ers","2019-03-23","ATL",25,24.5633218189301
"73","Butler","F","Philadelphia 76ers","2019-03-25","ORL",13,23.021380000845
"74","Butler","F","Philadelphia 76ers","2019-03-28","BRK",11,21.7995026857807
"75","Butler","F","Philadelphia 76ers","2019-03-30","MIN",14,24.449381233185
"77","Butler","F","Philadelphia 76ers","2019-04-03","ATL",18,23.1485197189996
