"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","CJ McCollum","Portland Trail Blazers","2018-10-18","LAL",27,NA
"2","CJ McCollum","Portland Trail Blazers","2018-10-20","SAS",32,23.9358240381072
"3","CJ McCollum","Portland Trail Blazers","2018-10-22","WAS",15,24.2399401086034
"4","CJ McCollum","Portland Trail Blazers","2018-10-25","ORL",26,25.8791647418363
"5","CJ McCollum","Portland Trail Blazers","2018-10-27","MIA",25,25.8443663962608
"6","CJ McCollum","Portland Trail Blazers","2018-10-29","IND",19,24.2970730903018
"7","CJ McCollum","Portland Trail Blazers","2018-10-30","HOU",25,24.0585376971923
"8","CJ McCollum","Portland Trail Blazers","2018-11-01","NOP",8,24.2296565160522
"9","CJ McCollum","Portland Trail Blazers","2018-11-03","LAL",34,27.1154806752507
"10","CJ McCollum","Portland Trail Blazers","2018-11-04","MIN",18,24.100173604348
"11","CJ McCollum","Portland Trail Blazers","2018-11-06","MIL",50,26.1394612128489
"12","CJ McCollum","Portland Trail Blazers","2018-11-08","LAC",27,23.2908742067464
"13","CJ McCollum","Portland Trail Blazers","2018-11-11","BOS",16,23.9882906855398
"14","CJ McCollum","Portland Trail Blazers","2018-11-14","LAL",29,25.0474954418595
"15","CJ McCollum","Portland Trail Blazers","2018-11-16","MIN",20,26.5115480267777
"16","CJ McCollum","Portland Trail Blazers","2018-11-18","WAS",31,25.8356504280242
"17","CJ McCollum","Portland Trail Blazers","2018-11-20","NYK",41,23.7748551719793
"18","CJ McCollum","Portland Trail Blazers","2018-11-21","MIL",26,21.8365285985325
"19","CJ McCollum","Portland Trail Blazers","2018-11-23","GSW",25,26.7703503025392
"20","CJ McCollum","Portland Trail Blazers","2018-11-25","LAC",22,24.6569474297653
"21","CJ McCollum","Portland Trail Blazers","2018-11-28","ORL",17,23.9057073226436
"22","CJ McCollum","Portland Trail Blazers","2018-11-30","DEN",33,24.8463062951537
"23","CJ McCollum","Portland Trail Blazers","2018-12-02","SAS",28,23.7030778362868
"24","CJ McCollum","Portland Trail Blazers","2018-12-04","DAL",22,23.578060059194
"26","CJ McCollum","Portland Trail Blazers","2018-12-08","MIN",25,25.3629894789515
"27","CJ McCollum","Portland Trail Blazers","2018-12-11","HOU",23,24.2080657506432
"28","CJ McCollum","Portland Trail Blazers","2018-12-12","MEM",44,25.8989294986129
"29","CJ McCollum","Portland Trail Blazers","2018-12-14","TOR",18,21.5585669784355
"30","CJ McCollum","Portland Trail Blazers","2018-12-17","LAC",31,28.239610631241
"31","CJ McCollum","Portland Trail Blazers","2018-12-19","MEM",11,24.5476828318462
"32","CJ McCollum","Portland Trail Blazers","2018-12-21","UTA",12,24.9417956049274
"33","CJ McCollum","Portland Trail Blazers","2018-12-23","DAL",24,27.3892159401478
"34","CJ McCollum","Portland Trail Blazers","2018-12-25","UTA",13,23.8417470951775
"35","CJ McCollum","Portland Trail Blazers","2018-12-27","GSW",30,27.3210483805505
"36","CJ McCollum","Portland Trail Blazers","2018-12-29","GSW",14,25.750395476702
"37","CJ McCollum","Portland Trail Blazers","2018-12-30","PHI",43,24.1045002173085
"38","CJ McCollum","Portland Trail Blazers","2019-01-01","SAC",16,22.8977102178588
"39","CJ McCollum","Portland Trail Blazers","2019-01-04","OKC",14,25.2143846004091
"40","CJ McCollum","Portland Trail Blazers","2019-01-05","HOU",30,24.3245964858319
"41","CJ McCollum","Portland Trail Blazers","2019-01-07","NYK",21,23.5106058100678
"42","CJ McCollum","Portland Trail Blazers","2019-01-09","CHI",28,28.3410813494295
"43","CJ McCollum","Portland Trail Blazers","2019-01-11","CHO",40,25.0601354883658
"44","CJ McCollum","Portland Trail Blazers","2019-01-13","DEN",26,22.5961749964157
"45","CJ McCollum","Portland Trail Blazers","2019-01-14","SAC",6,24.4233696792838
"46","CJ McCollum","Portland Trail Blazers","2019-01-16","CLE",23,27.3930583038417
"47","CJ McCollum","Portland Trail Blazers","2019-01-18","NOP",22,24.9113188269439
"48","CJ McCollum","Portland Trail Blazers","2019-01-21","UTA",18,25.0437837554598
"49","CJ McCollum","Portland Trail Blazers","2019-01-22","OKC",45,26.1936394592544
"50","CJ McCollum","Portland Trail Blazers","2019-01-24","PHO",28,24.0261414265195
"51","CJ McCollum","Portland Trail Blazers","2019-01-26","ATL",32,23.6788949046591
"52","CJ McCollum","Portland Trail Blazers","2019-01-30","UTA",36,25.1200164664653
"53","CJ McCollum","Portland Trail Blazers","2019-02-05","MIA",47,25.6764364302859
"54","CJ McCollum","Portland Trail Blazers","2019-02-07","SAS",44,22.0840706080363
"55","CJ McCollum","Portland Trail Blazers","2019-02-10","DAL",14,24.9243160378752
"56","CJ McCollum","Portland Trail Blazers","2019-02-11","OKC",15,24.7373331295819
"57","CJ McCollum","Portland Trail Blazers","2019-02-13","GSW",21,25.4196112168972
"58","CJ McCollum","Portland Trail Blazers","2019-02-21","BRK",23,26.3951731815005
