"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Caboclo","F","Memphis Grizzlies","2019-01-25","SAC",0,NA
"2","Caboclo","F","Memphis Grizzlies","2019-01-26","IND",17,NA
"3","Caboclo","F","Memphis Grizzlies","2019-01-28","DEN",7,3.32445833333333
"4","Caboclo","F","Memphis Grizzlies","2019-01-30","MIN",9,4.53525
"5","Caboclo","F","Memphis Grizzlies","2019-02-01","CHO",7,NA
"6","Caboclo","F","Memphis Grizzlies","2019-02-03","NYK",0,3.227
"7","Caboclo","F","Memphis Grizzlies","2019-02-05","MIN",11,NA
"8","Caboclo","F","Memphis Grizzlies","2019-02-07","OKC",22,4.658375
"9","Caboclo","F","Memphis Grizzlies","2019-02-09","NOP",2,3.49945833333333
"10","Caboclo","F","Memphis Grizzlies","2019-02-12","SAS",4,NA
"11","Caboclo","F","Memphis Grizzlies","2019-02-13","CHI",12,NA
"12","Caboclo","F","Memphis Grizzlies","2019-02-22","LAC",12,NA
"13","Caboclo","F","Memphis Grizzlies","2019-02-23","CLE",4,NA
"14","Caboclo","F","Memphis Grizzlies","2019-02-25","LAL",7,NA
"15","Caboclo","F","Memphis Grizzlies","2019-02-27","CHI",9,NA
"16","Caboclo","F","Memphis Grizzlies","2019-03-02","DAL",13,NA
"17","Caboclo","F","Memphis Grizzlies","2019-03-03","OKC",13,3.169875
"18","Caboclo","F","Memphis Grizzlies","2019-03-05","POR",1,4.584125
"19","Caboclo","F","Memphis Grizzlies","2019-03-08","UTA",5,4.76420833333334
"20","Caboclo","F","Memphis Grizzlies","2019-03-10","ORL",2,NA
"21","Caboclo","F","Memphis Grizzlies","2019-03-13","ATL",5,NA
"22","Caboclo","F","Memphis Grizzlies","2019-03-16","WAS",5,NA
"23","Caboclo","F","Memphis Grizzlies","2019-03-20","HOU",17,NA
"24","Caboclo","F","Memphis Grizzlies","2019-03-22","ORL",13,4.88841666666667
"25","Caboclo","F","Memphis Grizzlies","2019-03-23","MIN",5,3.46741666666667
"26","Caboclo","F","Memphis Grizzlies","2019-03-25","OKC",32,NA
"27","Caboclo","F","Memphis Grizzlies","2019-03-27","GSW",23,3.00529166666667
"28","Caboclo","F","Memphis Grizzlies","2019-03-30","PHO",16,NA
"29","Caboclo","F","Memphis Grizzlies","2019-03-31","LAC",12,3.69466666666667
"30","Caboclo","F","Memphis Grizzlies","2019-04-03","POR",13,NA
"31","Caboclo","F","Memphis Grizzlies","2019-04-05","DAL",15,4.669625
"32","Caboclo","F","Memphis Grizzlies","2019-04-07","DAL",19,NA
"33","Caboclo","F","Memphis Grizzlies","2019-04-09","DET",19,4.73791666666667
