"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Capela","C","Houston Rockets","2018-10-17","NOP",8,NA
"2","Capela","C","Houston Rockets","2018-10-20","LAL",19,14.2371323340611
"3","Capela","C","Houston Rockets","2018-10-21","LAC",23,13.2648449233724
"4","Capela","C","Houston Rockets","2018-10-24","UTA",10,13.87949283415
"5","Capela","C","Houston Rockets","2018-10-26","LAC",14,14.8924920473637
"6","Capela","C","Houston Rockets","2018-10-30","POR",14,12.2271285014092
"7","Capela","C","Houston Rockets","2018-11-02","BRK",22,14.5850552879893
"8","Capela","C","Houston Rockets","2018-11-03","CHI",12,14.7566199977842
"9","Capela","C","Houston Rockets","2018-11-05","IND",18,14.2129764889872
"10","Capela","C","Houston Rockets","2018-11-08","OKC",17,14.3085592074063
"11","Capela","C","Houston Rockets","2018-11-10","SAS",12,15.0276659467517
"12","Capela","C","Houston Rockets","2018-11-11","IND",18,15.5832793818779
"13","Capela","C","Houston Rockets","2018-11-13","DEN",24,13.6675751900476
"14","Capela","C","Houston Rockets","2018-11-15","GSW",10,13.6920370165032
"15","Capela","C","Houston Rockets","2018-11-17","SAC",23,15.001048258301
"16","Capela","C","Houston Rockets","2018-11-21","DET",27,13.2246014536533
"17","Capela","C","Houston Rockets","2018-11-23","DET",29,12.1753436990854
"18","Capela","C","Houston Rockets","2018-11-24","CLE",12,14.1108652331795
"19","Capela","C","Houston Rockets","2018-11-26","WAS",17,14.0411869396476
"20","Capela","C","Houston Rockets","2018-11-28","DAL",18,11.2716633070046
"21","Capela","C","Houston Rockets","2018-11-30","SAS",27,13.573793091036
"22","Capela","C","Houston Rockets","2018-12-01","CHI",18,13.6494538230884
"23","Capela","C","Houston Rockets","2018-12-03","MIN",24,13.7163307220052
"24","Capela","C","Houston Rockets","2018-12-06","UTA",12,13.7179576760332
"25","Capela","C","Houston Rockets","2018-12-08","DAL",12,13.6185791326701
"26","Capela","C","Houston Rockets","2018-12-11","POR",13,14.9996002862217
"27","Capela","C","Houston Rockets","2018-12-13","LAL",16,12.9865299668352
"28","Capela","C","Houston Rockets","2018-12-15","MEM",26,11.901982740311
"29","Capela","C","Houston Rockets","2018-12-17","UTA",5,14.1706379996778
"30","Capela","C","Houston Rockets","2018-12-19","WAS",20,12.2333427448074
"31","Capela","C","Houston Rockets","2018-12-20","MIA",6,13.2873627834067
"32","Capela","C","Houston Rockets","2018-12-22","SAS",21,14.3669339728984
"33","Capela","C","Houston Rockets","2018-12-25","OKC",16,15.6842415497201
"34","Capela","C","Houston Rockets","2018-12-27","BOS",24,15.5979927185326
"35","Capela","C","Houston Rockets","2018-12-29","NOP",6,14.9571153790887
"36","Capela","C","Houston Rockets","2018-12-31","MEM",19,14.4533062093921
"37","Capela","C","Houston Rockets","2019-01-03","GSW",29,13.6221214255582
"38","Capela","C","Houston Rockets","2019-01-05","POR",13,12.1132900677226
"39","Capela","C","Houston Rockets","2019-01-07","DEN",31,13.2710488759778
"40","Capela","C","Houston Rockets","2019-01-09","MIL",18,14.4620307354151
"41","Capela","C","Houston Rockets","2019-01-11","CLE",19,12.5195742589207
"42","Capela","C","Houston Rockets","2019-01-13","ORL",17,13.8816235525653
"58","Capela","C","Houston Rockets","2019-02-21","LAL",12,14.9580992574885
"59","Capela","C","Houston Rockets","2019-02-23","GSW",8,15.4364921694785
"60","Capela","C","Houston Rockets","2019-02-25","ATL",12,13.8462965012431
"61","Capela","C","Houston Rockets","2019-02-27","CHO",23,13.9739943500735
"62","Capela","C","Houston Rockets","2019-02-28","MIA",6,12.6446873382807
"63","Capela","C","Houston Rockets","2019-03-03","BOS",8,14.6217683278622
"64","Capela","C","Houston Rockets","2019-03-05","TOR",9,14.0237341458262
"65","Capela","C","Houston Rockets","2019-03-08","PHI",18,11.2946380694493
"66","Capela","C","Houston Rockets","2019-03-10","DAL",17,13.3342978814307
"67","Capela","C","Houston Rockets","2019-03-11","CHO",19,12.9176725892637
"68","Capela","C","Houston Rockets","2019-03-13","GSW",13,13.7204953143236
"69","Capela","C","Houston Rockets","2019-03-15","PHO",14,14.3620748482868
"70","Capela","C","Houston Rockets","2019-03-17","MIN",20,14.5670060048469
"71","Capela","C","Houston Rockets","2019-03-19","ATL",26,13.2777879568094
"72","Capela","C","Houston Rockets","2019-03-20","MEM",14,13.2299693751576
"73","Capela","C","Houston Rockets","2019-03-22","SAS",7,14.4794304421043
"74","Capela","C","Houston Rockets","2019-03-24","NOP",8,16.2363157813891
"75","Capela","C","Houston Rockets","2019-03-26","MIL",17,13.0258190644581
"76","Capela","C","Houston Rockets","2019-03-28","DEN",17,15.7187696660482
"77","Capela","C","Houston Rockets","2019-03-30","SAC",24,12.6609945704363
"78","Capela","C","Houston Rockets","2019-04-02","SAC",7,14.0129683328059
"79","Capela","C","Houston Rockets","2019-04-03","LAC",24,13.3068222567115
"80","Capela","C","Houston Rockets","2019-04-05","NYK",12,12.7009686564171
"81","Capela","C","Houston Rockets","2019-04-07","PHO",22,13.5766028683735
