"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Carter","PG","Atlanta Hawks","2018-10-17","NYK",16,NA
"2","Carter","PG","Atlanta Hawks","2018-10-19","MEM",14,12.79275
"3","Carter","PG","Atlanta Hawks","2018-10-21","CLE",5,12.77725
"4","Carter","PG","Atlanta Hawks","2018-10-24","DAL",10,11.4255416666667
"5","Carter","PG","Atlanta Hawks","2018-10-27","CHI",20,12.0314583333333
"6","Carter","PG","Atlanta Hawks","2018-10-29","PHI",4,10.7007083333333
"7","Carter","PG","Atlanta Hawks","2018-10-30","CLE",14,20.92475
"8","Carter","PG","Atlanta Hawks","2018-11-01","SAC",5,11.5187083333333
"9","Carter","PG","Atlanta Hawks","2018-11-03","MIA",14,10.9808333333333
"10","Carter","PG","Atlanta Hawks","2018-11-06","CHO",9,10.21725
"11","Carter","PG","Atlanta Hawks","2018-11-07","NYK",5,13.421
"12","Carter","PG","Atlanta Hawks","2018-11-09","DET",2,12.0542083333333
"13","Carter","PG","Atlanta Hawks","2018-11-11","LAL",4,5.20454166666667
"14","Carter","PG","Atlanta Hawks","2018-11-13","GSW",17,10.4749583333333
"15","Carter","PG","Atlanta Hawks","2018-11-15","DEN",17,14.2205
"16","Carter","PG","Atlanta Hawks","2018-11-17","IND",11,11.2884166666667
"17","Carter","PG","Atlanta Hawks","2018-11-19","LAC",2,12.5429166666667
"18","Carter","PG","Atlanta Hawks","2018-11-21","TOR",18,10.4545416666667
"19","Carter","PG","Atlanta Hawks","2018-11-23","BOS",0,4.576375
"22","Carter","PG","Atlanta Hawks","2018-11-28","CHO",2,10.481125
"24","Carter","PG","Atlanta Hawks","2018-12-03","GSW",4,10.4014166666667
"25","Carter","PG","Atlanta Hawks","2018-12-05","WAS",19,11.0095
"26","Carter","PG","Atlanta Hawks","2018-12-08","DEN",19,10.9280833333333
"27","Carter","PG","Atlanta Hawks","2018-12-12","DAL",5,4.48854166666667
"28","Carter","PG","Atlanta Hawks","2018-12-14","BOS",16,10.4619166666667
"29","Carter","PG","Atlanta Hawks","2018-12-16","BRK",9,10.9329583333333
"30","Carter","PG","Atlanta Hawks","2018-12-18","WAS",10,16.249875
"31","Carter","PG","Atlanta Hawks","2018-12-21","NYK",0,14.6309166666667
"32","Carter","PG","Atlanta Hawks","2018-12-23","DET",24,13.5342083333333
"33","Carter","PG","Atlanta Hawks","2018-12-26","IND",10,5.19858333333333
"34","Carter","PG","Atlanta Hawks","2018-12-28","MIN",15,13.2798333333333
"35","Carter","PG","Atlanta Hawks","2018-12-29","CLE",29,14.0055833333333
"36","Carter","PG","Atlanta Hawks","2018-12-31","IND",0,6.11658333333333
"37","Carter","PG","Atlanta Hawks","2019-01-02","WAS",5,11.1282083333333
"38","Carter","PG","Atlanta Hawks","2019-01-04","MIL",10,10.4809583333333
"39","Carter","PG","Atlanta Hawks","2019-01-06","MIA",12,13.3422916666667
"40","Carter","PG","Atlanta Hawks","2019-01-08","TOR",10,12.6010833333333
"41","Carter","PG","Atlanta Hawks","2019-01-09","BRK",5,12.9739583333333
"42","Carter","PG","Atlanta Hawks","2019-01-11","PHI",0,11.0850416666667
"43","Carter","PG","Atlanta Hawks","2019-01-13","MIL",5,16.5127083333333
"44","Carter","PG","Atlanta Hawks","2019-01-15","OKC",17,12.0881666666667
"45","Carter","PG","Atlanta Hawks","2019-01-19","BOS",4,10.182875
"46","Carter","PG","Atlanta Hawks","2019-01-21","ORL",0,7.283625
"48","Carter","PG","Atlanta Hawks","2019-01-26","POR",10,9.109
"49","Carter","PG","Atlanta Hawks","2019-01-28","LAC",7,13.1086666666667
"50","Carter","PG","Atlanta Hawks","2019-01-30","SAC",0,12.3483333333333
"51","Carter","PG","Atlanta Hawks","2019-02-01","UTA",0,6.37595833333333
"52","Carter","PG","Atlanta Hawks","2019-02-02","PHO",0,6.12466666666666
"53","Carter","PG","Atlanta Hawks","2019-02-04","WAS",24,7.001625
"54","Carter","PG","Atlanta Hawks","2019-02-07","TOR",13,11.1836666666667
"55","Carter","PG","Atlanta Hawks","2019-02-09","CHO",4,12.8049166666667
"57","Carter","PG","Atlanta Hawks","2019-02-12","LAL",15,10.0315833333333
"58","Carter","PG","Atlanta Hawks","2019-02-14","NYK",4,14.3165833333333
"59","Carter","PG","Atlanta Hawks","2019-02-22","DET",22,8.5265
"60","Carter","PG","Atlanta Hawks","2019-02-23","PHO",0,11.0829583333333
"61","Carter","PG","Atlanta Hawks","2019-02-25","HOU",12,5.80204166666667
"62","Carter","PG","Atlanta Hawks","2019-02-27","MIN",23,13.2813333333333
"63","Carter","PG","Atlanta Hawks","2019-03-01","CHI",19,14.17625
"64","Carter","PG","Atlanta Hawks","2019-03-03","CHI",5,6.60083333333333
"65","Carter","PG","Atlanta Hawks","2019-03-04","MIA",35,14.2092083333333
"66","Carter","PG","Atlanta Hawks","2019-03-06","SAS",16,5.20745833333333
"67","Carter","PG","Atlanta Hawks","2019-03-09","BRK",10,14.26975
"68","Carter","PG","Atlanta Hawks","2019-03-10","NOP",1,5.674625
"69","Carter","PG","Atlanta Hawks","2019-03-13","MEM",14,9.41816666666667
"70","Carter","PG","Atlanta Hawks","2019-03-16","BOS",24,11.5198333333333
"71","Carter","PG","Atlanta Hawks","2019-03-17","ORL",12,4.56333333333333
"72","Carter","PG","Atlanta Hawks","2019-03-19","HOU",25,17.7203333333333
