"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Cauley-Stein","C","Sacramento Kings","2018-10-17","UTA",23,NA
"2","Cauley-Stein","C","Sacramento Kings","2018-10-19","NOP",20,11.9066326091614
"3","Cauley-Stein","C","Sacramento Kings","2018-10-21","OKC",13,12.250262835122
"4","Cauley-Stein","C","Sacramento Kings","2018-10-23","DEN",11,12.7318460556367
"5","Cauley-Stein","C","Sacramento Kings","2018-10-24","MEM",15,13.8365824971326
"6","Cauley-Stein","C","Sacramento Kings","2018-10-26","WAS",17,13.3248468196082
"7","Cauley-Stein","C","Sacramento Kings","2018-10-29","MIA",26,12.6770840118333
"8","Cauley-Stein","C","Sacramento Kings","2018-10-30","ORL",14,12.3685873042923
"9","Cauley-Stein","C","Sacramento Kings","2018-11-01","ATL",12,14.2179181710512
"10","Cauley-Stein","C","Sacramento Kings","2018-11-04","MIL",6,14.4111085405444
"11","Cauley-Stein","C","Sacramento Kings","2018-11-07","TOR",24,12.033338819681
"12","Cauley-Stein","C","Sacramento Kings","2018-11-09","MIN",27,11.8733955745681
"13","Cauley-Stein","C","Sacramento Kings","2018-11-10","LAL",12,12.3366713124529
"14","Cauley-Stein","C","Sacramento Kings","2018-11-12","SAS",13,14.3129937968223
"15","Cauley-Stein","C","Sacramento Kings","2018-11-16","MEM",11,13.3782693342714
"16","Cauley-Stein","C","Sacramento Kings","2018-11-17","HOU",3,12.4897060241927
"17","Cauley-Stein","C","Sacramento Kings","2018-11-19","OKC",9,12.1995977810081
"18","Cauley-Stein","C","Sacramento Kings","2018-11-21","UTA",23,14.2882489421841
"19","Cauley-Stein","C","Sacramento Kings","2018-11-24","GSW",6,13.2136393003047
"20","Cauley-Stein","C","Sacramento Kings","2018-11-25","UTA",6,12.1344907413915
"21","Cauley-Stein","C","Sacramento Kings","2018-11-29","LAC",17,12.4920197584411
"22","Cauley-Stein","C","Sacramento Kings","2018-12-01","IND",17,12.7728855531855
