"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"10","Chandler","F","Philadelphia 76ers","2018-11-03","DET",0,NA
"12","Chandler","F","Philadelphia 76ers","2018-11-07","IND",2,21.8578333333333
"13","Chandler","F","Philadelphia 76ers","2018-11-09","CHO",12,16.716125
"15","Chandler","F","Philadelphia 76ers","2018-11-12","MIA",7,7.464125
"16","Chandler","F","Philadelphia 76ers","2018-11-14","ORL",18,11.1104583333333
"17","Chandler","F","Philadelphia 76ers","2018-11-16","UTA",2,15.8472916666667
"18","Chandler","F","Philadelphia 76ers","2018-11-17","CHO",2,17.2869583333333
"19","Chandler","F","Philadelphia 76ers","2018-11-19","PHO",2,16.23025
"20","Chandler","F","Philadelphia 76ers","2018-11-21","NOP",15,16.10775
"21","Chandler","F","Philadelphia 76ers","2018-11-23","CLE",4,18.3263333333333
"22","Chandler","F","Philadelphia 76ers","2018-11-25","BRK",14,15.00775
"23","Chandler","F","Philadelphia 76ers","2018-11-28","NYK",12,22.5375833333333
"24","Chandler","F","Philadelphia 76ers","2018-11-30","WAS",9,7.23366666666667
"26","Chandler","F","Philadelphia 76ers","2018-12-05","TOR",5,13.4655416666667
"27","Chandler","F","Philadelphia 76ers","2018-12-07","DET",14,12.594875
"28","Chandler","F","Philadelphia 76ers","2018-12-10","DET",9,22.9046666666667
"29","Chandler","F","Philadelphia 76ers","2018-12-12","BRK",15,10.3033333333333
"30","Chandler","F","Philadelphia 76ers","2018-12-14","IND",0,8.86175
"31","Chandler","F","Philadelphia 76ers","2018-12-16","CLE",15,21.5299583333333
"32","Chandler","F","Philadelphia 76ers","2018-12-17","SAS",14,22.4127916666666
"33","Chandler","F","Philadelphia 76ers","2018-12-19","NYK",10,23.2919166666667
"35","Chandler","F","Philadelphia 76ers","2018-12-25","BOS",21,10.15525
"36","Chandler","F","Philadelphia 76ers","2018-12-27","UTA",2,14.3959166666667
"37","Chandler","F","Philadelphia 76ers","2018-12-30","POR",5,14.7489583333333
"38","Chandler","F","Philadelphia 76ers","2019-01-01","LAC",9,13.6048333333333
"41","Chandler","F","Philadelphia 76ers","2019-01-08","WAS",2,9.33829166666666
"42","Chandler","F","Philadelphia 76ers","2019-01-09","WAS",7,13.58325
"43","Chandler","F","Philadelphia 76ers","2019-01-11","ATL",7,12.9395
"44","Chandler","F","Philadelphia 76ers","2019-01-13","NYK",9,12.0910416666667
"45","Chandler","F","Philadelphia 76ers","2019-01-15","MIN",22,10.0518333333333
"46","Chandler","F","Philadelphia 76ers","2019-01-17","IND",14,16.5962916666667
"47","Chandler","F","Philadelphia 76ers","2019-01-19","OKC",6,22.3286666666667
"48","Chandler","F","Philadelphia 76ers","2019-01-21","HOU",11,14.8131666666667
"49","Chandler","F","Philadelphia 76ers","2019-01-23","SAS",10,10.0620833333333
"51","Chandler","F","Philadelphia 76ers","2019-01-29","LAL",15,11.20375
"52","Chandler","F","Philadelphia 76ers","2019-01-31","GSW",12,7.92995833333334
"67","Chandler","F","Philadelphia 76ers","2019-03-11","BOS",2,10.4832083333333
"68","Chandler","F","Philadelphia 76ers","2019-03-12","POR",10,14.40975
"69","Chandler","F","Philadelphia 76ers","2019-03-15","CHI",0,14.301125
"70","Chandler","F","Philadelphia 76ers","2019-03-17","BRK",0,21.85075
"71","Chandler","F","Philadelphia 76ers","2019-03-19","IND",2,21.42075
"72","Chandler","F","Philadelphia 76ers","2019-03-22","CLE",0,15.6866666666667
"73","Chandler","F","Philadelphia 76ers","2019-03-24","NYK",2,21.8632916666667
"74","Chandler","F","Philadelphia 76ers","2019-03-26","MIN",6,15.3309583333333
"75","Chandler","F","Philadelphia 76ers","2019-03-28","MIL",25,14.3184166666667
"76","Chandler","F","Philadelphia 76ers","2019-03-30","CLE",6,15.387375
"77","Chandler","F","Philadelphia 76ers","2019-03-31","MEM",3,16.1949166666667
"78","Chandler","F","Philadelphia 76ers","2019-04-03","HOU",10,12.6652083333333
"79","Chandler","F","Philadelphia 76ers","2019-04-05","LAL",7,10.6956666666667
"80","Chandler","F","Philadelphia 76ers","2019-04-07","GSW",15,10.877875
