"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Collison","PG","Indiana Pacers","2018-10-17","MEM",0,NA
"2","Collison","PG","Indiana Pacers","2018-10-19","MIL",10,15.8097780334916
"3","Collison","PG","Indiana Pacers","2018-10-20","BRK",17,15.9469973250131
"4","Collison","PG","Indiana Pacers","2018-10-22","MIN",5,13.4321284263554
"5","Collison","PG","Indiana Pacers","2018-10-24","SAS",7,18.4581228547415
"6","Collison","PG","Indiana Pacers","2018-10-27","CLE",17,17.1748566445397
"7","Collison","PG","Indiana Pacers","2018-10-29","POR",17,15.030924508288
"8","Collison","PG","Indiana Pacers","2018-10-31","NYK",8,12.9383581047737
"9","Collison","PG","Indiana Pacers","2018-11-02","CHI",16,16.1493403332956
"10","Collison","PG","Indiana Pacers","2018-11-03","BOS",11,14.8418773103839
"11","Collison","PG","Indiana Pacers","2018-11-05","HOU",8,14.9760355818323
"12","Collison","PG","Indiana Pacers","2018-11-07","PHI",0,17.4491842164996
"13","Collison","PG","Indiana Pacers","2018-11-09","MIA",17,16.8661449979674
"14","Collison","PG","Indiana Pacers","2018-11-11","HOU",19,14.6518886224285
"15","Collison","PG","Indiana Pacers","2018-11-16","MIA",6,15.7069496961014
"16","Collison","PG","Indiana Pacers","2018-11-17","ATL",16,16.7627440756911
"17","Collison","PG","Indiana Pacers","2018-11-19","UTA",11,12.1057140034238
"18","Collison","PG","Indiana Pacers","2018-11-21","CHO",6,16.2976082433809
"19","Collison","PG","Indiana Pacers","2018-11-23","SAS",4,15.5231727931186
"20","Collison","PG","Indiana Pacers","2018-11-26","UTA",8,13.7550439027223
"21","Collison","PG","Indiana Pacers","2018-11-27","PHO",11,15.6421509988321
"22","Collison","PG","Indiana Pacers","2018-11-29","LAL",11,15.8831620660513
"23","Collison","PG","Indiana Pacers","2018-12-01","SAC",15,16.2495786270024
"24","Collison","PG","Indiana Pacers","2018-12-04","CHI",29,17.9841043429629
"25","Collison","PG","Indiana Pacers","2018-12-07","ORL",2,14.9808531025598
"26","Collison","PG","Indiana Pacers","2018-12-08","SAC",18,13.577557395572
"27","Collison","PG","Indiana Pacers","2018-12-10","WAS",12,15.907137713982
"28","Collison","PG","Indiana Pacers","2018-12-12","MIL",5,16.4801628895141
"29","Collison","PG","Indiana Pacers","2018-12-14","PHI",10,13.5024227924026
"30","Collison","PG","Indiana Pacers","2018-12-16","NYK",5,16.620652095965
"31","Collison","PG","Indiana Pacers","2018-12-18","CLE",7,15.8055260256744
"32","Collison","PG","Indiana Pacers","2018-12-19","TOR",7,15.867063824437
"33","Collison","PG","Indiana Pacers","2018-12-21","BRK",8,14.9756903653904
"34","Collison","PG","Indiana Pacers","2018-12-23","WAS",16,14.8573562754429
"35","Collison","PG","Indiana Pacers","2018-12-26","ATL",15,15.6801374616139
"36","Collison","PG","Indiana Pacers","2018-12-28","DET",23,13.7969363632479
"37","Collison","PG","Indiana Pacers","2018-12-31","ATL",14,15.767677634712
"38","Collison","PG","Indiana Pacers","2019-01-04","CHI",10,16.4929746875206
"39","Collison","PG","Indiana Pacers","2019-01-06","TOR",13,15.7376238540716
"40","Collison","PG","Indiana Pacers","2019-01-08","CLE",8,15.9095442050894
"41","Collison","PG","Indiana Pacers","2019-01-09","BOS",9,14.4835876274722
"42","Collison","PG","Indiana Pacers","2019-01-11","NYK",7,17.7518435726626
"43","Collison","PG","Indiana Pacers","2019-01-15","PHO",19,16.4953553751658
