"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Conley","PG","Memphis Grizzlies","2018-10-17","IND",15,NA
"2","Conley","PG","Memphis Grizzlies","2018-10-19","ATL",20,23.0774970238095
"3","Conley","PG","Memphis Grizzlies","2018-10-22","UTA",25,20.4763511904762
"4","Conley","PG","Memphis Grizzlies","2018-10-24","SAC",35,21.7032053571429
"5","Conley","PG","Memphis Grizzlies","2018-10-27","PHO",18,21.8317886904762
"6","Conley","PG","Memphis Grizzlies","2018-10-30","WAS",23,21.1807053571429
"7","Conley","PG","Memphis Grizzlies","2018-11-02","UTA",34,21.7962261904762
"8","Conley","PG","Memphis Grizzlies","2018-11-04","PHO",14,21.5697886904762
"9","Conley","PG","Memphis Grizzlies","2018-11-05","GSW",11,22.8610803571428
"10","Conley","PG","Memphis Grizzlies","2018-11-07","DEN",4,21.9396636904762
"11","Conley","PG","Memphis Grizzlies","2018-11-10","PHI",40,22.3191636904762
"12","Conley","PG","Memphis Grizzlies","2018-11-12","UTA",30,20.5828303571429
"13","Conley","PG","Memphis Grizzlies","2018-11-14","MIL",30,20.4562678571429
"14","Conley","PG","Memphis Grizzlies","2018-11-16","SAC",21,21.1695386904762
"15","Conley","PG","Memphis Grizzlies","2018-11-18","MIN",22,20.7768511904762
"16","Conley","PG","Memphis Grizzlies","2018-11-19","DAL",42,20.8403720238095
"17","Conley","PG","Memphis Grizzlies","2018-11-21","SAS",36,21.1406011904762
"18","Conley","PG","Memphis Grizzlies","2018-11-23","LAC",25,21.4066011904762
"19","Conley","PG","Memphis Grizzlies","2018-11-25","NYK",27,19.9499553571429
"20","Conley","PG","Memphis Grizzlies","2018-11-27","TOR",24,21.1312053571428
"21","Conley","PG","Memphis Grizzlies","2018-11-30","BRK",41,20.8144136904762
"22","Conley","PG","Memphis Grizzlies","2018-12-02","PHI",27,21.0599553571429
"23","Conley","PG","Memphis Grizzlies","2018-12-05","LAC",26,22.0449553571428
"24","Conley","PG","Memphis Grizzlies","2018-12-07","NOP",9,20.9177053571429
"25","Conley","PG","Memphis Grizzlies","2018-12-08","LAL",14,21.1029553571429
"26","Conley","PG","Memphis Grizzlies","2018-12-10","DEN",23,22.3983095238095
"27","Conley","PG","Memphis Grizzlies","2018-12-12","POR",27,20.8718511904762
"28","Conley","PG","Memphis Grizzlies","2018-12-14","MIA",26,21.2471845238095
"29","Conley","PG","Memphis Grizzlies","2018-12-15","HOU",24,20.5228511904762
"31","Conley","PG","Memphis Grizzlies","2018-12-19","POR",33,21.3842470238095
"32","Conley","PG","Memphis Grizzlies","2018-12-21","SAC",37,20.4579553571429
