"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Cousins","C","Golden State Warriors","2017-10-18","MEM",34,NA
"2","Cousins","C","Golden State Warriors","2017-10-20","GSW",41,19.0967691648629
"3","Cousins","C","Golden State Warriors","2017-10-22","LAL",24,20.0014572163947
"4","Cousins","C","Golden State Warriors","2017-10-24","POR",45,20.2154086260961
"5","Cousins","C","Golden State Warriors","2017-10-26","SAC",47,19.1640454319986
"6","Cousins","C","Golden State Warriors","2017-10-28","CLE",33,18.6487330257569
"7","Cousins","C","Golden State Warriors","2017-10-30","ORL",16,20.0196936033737
"8","Cousins","C","Golden State Warriors","2017-11-01","MIN",45,19.9142822126811
"9","Cousins","C","Golden State Warriors","2017-11-03","DAL",20,19.0098909112742
"10","Cousins","C","Golden State Warriors","2017-11-04","CHI",29,19.1888681526806
"11","Cousins","C","Golden State Warriors","2017-11-07","IND",40,18.869063231907
"12","Cousins","C","Golden State Warriors","2017-11-09","TOR",24,19.1739102858946
"13","Cousins","C","Golden State Warriors","2017-11-11","LAC",43,20.4545440498023
"14","Cousins","C","Golden State Warriors","2017-11-13","ATL",28,18.7837291770729
"15","Cousins","C","Golden State Warriors","2017-11-15","TOR",31,18.5098054984231
"16","Cousins","C","Golden State Warriors","2017-11-17","DEN",14,19.3251821148623
"17","Cousins","C","Golden State Warriors","2017-11-20","OKC",18,18.8215835034043
"18","Cousins","C","Golden State Warriors","2017-11-22","SAS",26,19.6332591662831
"19","Cousins","C","Golden State Warriors","2017-11-24","PHO",23,20.3061125333
"20","Cousins","C","Golden State Warriors","2017-11-25","GSW",19,19.5957492109606
"21","Cousins","C","Golden State Warriors","2017-11-29","MIN",19,19.5319471727211
"22","Cousins","C","Golden State Warriors","2017-12-01","UTA",27,19.4469497222549
"23","Cousins","C","Golden State Warriors","2017-12-02","POR",42,19.7733178367792
"24","Cousins","C","Golden State Warriors","2017-12-04","GSW",25,18.8727589493839
"25","Cousins","C","Golden State Warriors","2017-12-06","DEN",44,19.9034192041619
"26","Cousins","C","Golden State Warriors","2017-12-08","SAC",46,20.6473426834603
"27","Cousins","C","Golden State Warriors","2017-12-10","PHI",27,20.812238223684
"28","Cousins","C","Golden State Warriors","2017-12-11","HOU",28,19.3927565040148
"29","Cousins","C","Golden State Warriors","2017-12-13","MIL",30,19.1233783821366
"30","Cousins","C","Golden State Warriors","2017-12-15","DEN",39,20.5137297181985
"31","Cousins","C","Golden State Warriors","2017-12-19","WAS",28,19.3363717342706
"32","Cousins","C","Golden State Warriors","2017-12-22","ORL",26,19.271139837695
"33","Cousins","C","Golden State Warriors","2017-12-23","MIA",18,19.7340539045309
"34","Cousins","C","Golden State Warriors","2017-12-27","BRK",31,19.0353724020057
"35","Cousins","C","Golden State Warriors","2017-12-29","DAL",38,19.7513316752692
"36","Cousins","C","Golden State Warriors","2017-12-30","NYK",35,19.8587625292396
"37","Cousins","C","Golden State Warriors","2018-01-03","UTA",23,18.46199114264
"38","Cousins","C","Golden State Warriors","2018-01-06","MIN",27,18.9607083055833
"39","Cousins","C","Golden State Warriors","2018-01-08","DET",22,19.4955223336712
"40","Cousins","C","Golden State Warriors","2018-01-10","MEM",39,19.5785358409972
"41","Cousins","C","Golden State Warriors","2018-01-12","POR",30,17.0991882839383
"42","Cousins","C","Golden State Warriors","2018-01-14","NYK",15,18.0911312837489
"43","Cousins","C","Golden State Warriors","2018-01-16","BOS",21,18.9643127619929
"44","Cousins","C","Golden State Warriors","2018-01-17","ATL",21,20.2393207019696
"45","Cousins","C","Golden State Warriors","2018-01-20","MEM",28,21.1069697560405
"46","Cousins","C","Golden State Warriors","2018-01-22","CHI",54,19.0891561771562
"47","Cousins","C","Golden State Warriors","2018-01-24","CHO",20,19.1557082467165
