"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Damian Lillard","Portland Trail Blazers","2018-10-18","LAL",32,NA
"2","Damian Lillard","Portland Trail Blazers","2018-10-20","SAS",35,36.054217029071
"3","Damian Lillard","Portland Trail Blazers","2018-10-22","WAS",33,33.6401974122712
"4","Damian Lillard","Portland Trail Blazers","2018-10-25","ORL",51,35.8782463998125
"5","Damian Lillard","Portland Trail Blazers","2018-10-27","MIA",52,33.3876305448377
"6","Damian Lillard","Portland Trail Blazers","2018-10-29","IND",20,33.7713906405305
"7","Damian Lillard","Portland Trail Blazers","2018-10-30","HOU",24,36.2818231953801
"8","Damian Lillard","Portland Trail Blazers","2018-11-01","NOP",34,32.867971326163
"9","Damian Lillard","Portland Trail Blazers","2018-11-03","LAL",34,33.3176590484658
"10","Damian Lillard","Portland Trail Blazers","2018-11-04","MIN",20,34.9713426086582
"11","Damian Lillard","Portland Trail Blazers","2018-11-06","MIL",19,31.9697770511521
"12","Damian Lillard","Portland Trail Blazers","2018-11-08","LAC",31,34.595105460923
"13","Damian Lillard","Portland Trail Blazers","2018-11-11","BOS",23,33.9475220453069
"14","Damian Lillard","Portland Trail Blazers","2018-11-14","LAL",37,33.9577612306884
"15","Damian Lillard","Portland Trail Blazers","2018-11-16","MIN",18,34.929515462945
"16","Damian Lillard","Portland Trail Blazers","2018-11-18","WAS",46,34.7857945949711
"17","Damian Lillard","Portland Trail Blazers","2018-11-20","NYK",35,34.7017224657164
"18","Damian Lillard","Portland Trail Blazers","2018-11-21","MIL",24,35.4217230567665
"19","Damian Lillard","Portland Trail Blazers","2018-11-23","GSW",29,31.4368775677319
"20","Damian Lillard","Portland Trail Blazers","2018-11-25","LAC",36,34.9166810503263
"21","Damian Lillard","Portland Trail Blazers","2018-11-28","ORL",61,35.6542690190312
"22","Damian Lillard","Portland Trail Blazers","2018-11-30","DEN",21,34.3564062707309
"23","Damian Lillard","Portland Trail Blazers","2018-12-02","SAS",43,35.78426216028
"24","Damian Lillard","Portland Trail Blazers","2018-12-04","DAL",37,36.2142861342018
"25","Damian Lillard","Portland Trail Blazers","2018-12-06","PHO",31,33.0169870627868
"26","Damian Lillard","Portland Trail Blazers","2018-12-08","MIN",36,32.5750617262797
"27","Damian Lillard","Portland Trail Blazers","2018-12-11","HOU",42,34.7620080253195
"28","Damian Lillard","Portland Trail Blazers","2018-12-12","MEM",16,34.4910022904241
"29","Damian Lillard","Portland Trail Blazers","2018-12-14","TOR",30,33.8527643924283
"30","Damian Lillard","Portland Trail Blazers","2018-12-17","LAC",51,31.6657253866446
"31","Damian Lillard","Portland Trail Blazers","2018-12-19","MEM",34,31.4026873748971
"32","Damian Lillard","Portland Trail Blazers","2018-12-21","UTA",27,33.7198383447382
"33","Damian Lillard","Portland Trail Blazers","2018-12-23","DAL",37,33.6015862614894
"34","Damian Lillard","Portland Trail Blazers","2018-12-25","UTA",24,36.8976054620063
"35","Damian Lillard","Portland Trail Blazers","2018-12-27","GSW",27,35.3070591446724
"36","Damian Lillard","Portland Trail Blazers","2018-12-29","GSW",52,37.8778866901317
"37","Damian Lillard","Portland Trail Blazers","2018-12-30","PHI",21,35.6478059795918
"38","Damian Lillard","Portland Trail Blazers","2019-01-01","SAC",27,34.5861941889994
"39","Damian Lillard","Portland Trail Blazers","2019-01-04","OKC",25,33.948925698385
"40","Damian Lillard","Portland Trail Blazers","2019-01-05","HOU",21,36.6478429773887
"41","Damian Lillard","Portland Trail Blazers","2019-01-07","NYK",21,34.2026091763321
"42","Damian Lillard","Portland Trail Blazers","2019-01-09","CHI",20,32.8779390760017
"43","Damian Lillard","Portland Trail Blazers","2019-01-11","CHO",24,33.4926812135587
"44","Damian Lillard","Portland Trail Blazers","2019-01-13","DEN",30,31.6766841561311
"45","Damian Lillard","Portland Trail Blazers","2019-01-14","SAC",43,37.4565075309993
"46","Damian Lillard","Portland Trail Blazers","2019-01-16","CLE",41,36.3591610382923
"47","Damian Lillard","Portland Trail Blazers","2019-01-18","NOP",28,33.7422190973947
"48","Damian Lillard","Portland Trail Blazers","2019-01-21","UTA",28,33.9374972788148
"49","Damian Lillard","Portland Trail Blazers","2019-01-22","OKC",38,32.9232519432258
"50","Damian Lillard","Portland Trail Blazers","2019-01-24","PHO",26,34.617938390897
"52","Damian Lillard","Portland Trail Blazers","2019-01-30","UTA",42,33.0709267426127
"53","Damian Lillard","Portland Trail Blazers","2019-02-05","MIA",17,36.911927053851
"54","Damian Lillard","Portland Trail Blazers","2019-02-07","SAS",24,36.109808176905
"55","Damian Lillard","Portland Trail Blazers","2019-02-10","DAL",42,34.4270458506328
"56","Damian Lillard","Portland Trail Blazers","2019-02-11","OKC",37,35.0451704044494
"57","Damian Lillard","Portland Trail Blazers","2019-02-13","GSW",41,34.7654604120138
"58","Damian Lillard","Portland Trail Blazers","2019-02-21","BRK",17,32.7572585109859
"59","Damian Lillard","Portland Trail Blazers","2019-02-23","PHI",19,35.060678882254
"60","Damian Lillard","Portland Trail Blazers","2019-02-25","CLE",27,31.3890952350971
"61","Damian Lillard","Portland Trail Blazers","2019-02-27","BOS",39,32.4868035350782
"62","Damian Lillard","Portland Trail Blazers","2019-03-01","TOR",30,33.3428951732687
"63","Damian Lillard","Portland Trail Blazers","2019-03-03","CHO",31,31.1236721913566
"64","Damian Lillard","Portland Trail Blazers","2019-03-05","MEM",30,32.8137332045463
"65","Damian Lillard","Portland Trail Blazers","2019-03-07","OKC",57,33.6830916001631
"66","Damian Lillard","Portland Trail Blazers","2019-03-09","PHO",22,36.4027450327589
"67","Damian Lillard","Portland Trail Blazers","2019-03-12","LAC",26,34.9037427428699
"68","Damian Lillard","Portland Trail Blazers","2019-03-15","NOP",32,32.2028279822149
"69","Damian Lillard","Portland Trail Blazers","2019-03-16","SAS",40,32.6295612671496
"70","Damian Lillard","Portland Trail Blazers","2019-03-18","IND",38,34.5775696502371
"71","Damian Lillard","Portland Trail Blazers","2019-03-20","DAL",45,33.7339434396312
"72","Damian Lillard","Portland Trail Blazers","2019-03-23","DET",40,34.2183011794383
"73","Damian Lillard","Portland Trail Blazers","2019-03-25","BRK",39,32.7899919024005
"74","Damian Lillard","Portland Trail Blazers","2019-03-27","CHI",13,33.7985986737398
"75","Damian Lillard","Portland Trail Blazers","2019-03-29","ATL",44,32.2294105371746
"76","Damian Lillard","Portland Trail Blazers","2019-03-30","DET",29,34.9896814600257
"77","Damian Lillard","Portland Trail Blazers","2019-04-01","MIN",21,35.3242713896766
"78","Damian Lillard","Portland Trail Blazers","2019-04-03","MEM",24,33.479078883857
"79","Damian Lillard","Portland Trail Blazers","2019-04-05","DEN",14,32.5849965847117
"80","Damian Lillard","Portland Trail Blazers","2019-04-07","DEN",40,35.4057828606828
