"","Player","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Dario Saric","Minnesota Timberwolves","2018-10-16","BOS",6,NA
"2","Dario Saric","Minnesota Timberwolves","2018-10-18","CHI",17,12.048625
"3","Dario Saric","Minnesota Timberwolves","2018-10-20","ORL",19,19.412
"4","Dario Saric","Minnesota Timberwolves","2018-10-23","DET",18,20.1984166666667
"5","Dario Saric","Minnesota Timberwolves","2018-10-24","MIL",19,21.042375
"6","Dario Saric","Minnesota Timberwolves","2018-10-27","CHO",13,16.556125
"7","Dario Saric","Minnesota Timberwolves","2018-10-29","ATL",4,18.0015
"8","Dario Saric","Minnesota Timberwolves","2018-10-30","TOR",10,16.173625
"9","Dario Saric","Minnesota Timberwolves","2018-11-01","LAC",7,13.0032916666667
"10","Dario Saric","Minnesota Timberwolves","2018-11-03","DET",7,13.9771666666667
"11","Dario Saric","Minnesota Timberwolves","2018-11-04","BRK",14,12.582125
"12","Dario Saric","Minnesota Timberwolves","2018-11-07","IND",26,15.526
"13","Dario Saric","Minnesota Timberwolves","2018-11-09","CHO",26,16.8308333333333
"16","Dario Saric","Minnesota Timberwolves","2018-11-14","NOP",11,17.867125
"17","Dario Saric","Minnesota Timberwolves","2018-11-16","POR",11,16.3247916666667
"18","Dario Saric","Minnesota Timberwolves","2018-11-18","MEM",22,16.734
"19","Dario Saric","Minnesota Timberwolves","2018-11-21","DEN",14,16.605375
"20","Dario Saric","Minnesota Timberwolves","2018-11-23","BRK",3,20.105
"21","Dario Saric","Minnesota Timberwolves","2018-11-24","CHI",21,11.6335833333333
"22","Dario Saric","Minnesota Timberwolves","2018-11-26","CLE",9,16.0334166666667
"23","Dario Saric","Minnesota Timberwolves","2018-11-28","SAS",14,13.482
"24","Dario Saric","Minnesota Timberwolves","2018-12-01","BOS",7,18.24625
"25","Dario Saric","Minnesota Timberwolves","2018-12-03","HOU",18,12.260625
"26","Dario Saric","Minnesota Timberwolves","2018-12-05","CHO",12,17.2639583333333
"27","Dario Saric","Minnesota Timberwolves","2018-12-08","POR",12,14.2119166666667
"28","Dario Saric","Minnesota Timberwolves","2018-12-10","GSW",13,17.4885416666667
"29","Dario Saric","Minnesota Timberwolves","2018-12-12","SAC",22,17.3822916666667
"30","Dario Saric","Minnesota Timberwolves","2018-12-15","PHO",19,19.80675
"31","Dario Saric","Minnesota Timberwolves","2018-12-17","SAC",14,17.6895833333333
"32","Dario Saric","Minnesota Timberwolves","2018-12-19","DET",19,19.2817083333333
"33","Dario Saric","Minnesota Timberwolves","2018-12-21","SAS",7,15.317125
"34","Dario Saric","Minnesota Timberwolves","2018-12-23","OKC",14,17.2914583333333
"35","Dario Saric","Minnesota Timberwolves","2018-12-26","CHI",16,18.49125
"36","Dario Saric","Minnesota Timberwolves","2018-12-28","ATL",9,19.7335833333333
"37","Dario Saric","Minnesota Timberwolves","2018-12-30","MIA",17,14.015625
"38","Dario Saric","Minnesota Timberwolves","2018-12-31","NOP",2,19.2307916666667
"39","Dario Saric","Minnesota Timberwolves","2019-01-02","BOS",9,11.2375416666667
"40","Dario Saric","Minnesota Timberwolves","2019-01-04","ORL",12,10.7382916666667
"41","Dario Saric","Minnesota Timberwolves","2019-01-06","LAL",8,19.4302083333333
"42","Dario Saric","Minnesota Timberwolves","2019-01-08","OKC",19,14.343
"43","Dario Saric","Minnesota Timberwolves","2019-01-11","DAL",0,16.3205416666667
"44","Dario Saric","Minnesota Timberwolves","2019-01-12","NOP",18,16.8096666666667
"45","Dario Saric","Minnesota Timberwolves","2019-01-15","PHI",13,17.978375
"46","Dario Saric","Minnesota Timberwolves","2019-01-18","SAS",2,17.326875
"47","Dario Saric","Minnesota Timberwolves","2019-01-20","PHO",11,15.0835416666667
"48","Dario Saric","Minnesota Timberwolves","2019-01-22","PHO",7,17.410625
"49","Dario Saric","Minnesota Timberwolves","2019-01-24","LAL",4,14.5903333333333
"50","Dario Saric","Minnesota Timberwolves","2019-01-25","UTA",0,15.6238333333333
"51","Dario Saric","Minnesota Timberwolves","2019-01-27","UTA",5,17.1189583333333
"52","Dario Saric","Minnesota Timberwolves","2019-01-30","MEM",12,12.9680833333333
"53","Dario Saric","Minnesota Timberwolves","2019-02-02","DEN",10,14.8879166666667
"54","Dario Saric","Minnesota Timberwolves","2019-02-05","MEM",30,13.2005833333333
"55","Dario Saric","Minnesota Timberwolves","2019-02-07","ORL",23,21.081125
"56","Dario Saric","Minnesota Timberwolves","2019-02-08","NOP",11,14.56575
"57","Dario Saric","Minnesota Timberwolves","2019-02-11","LAC",27,14.1865416666667
"58","Dario Saric","Minnesota Timberwolves","2019-02-13","HOU",19,17.7475833333333
"59","Dario Saric","Minnesota Timberwolves","2019-02-22","NYK",19,19.9051666666667
"60","Dario Saric","Minnesota Timberwolves","2019-02-23","MIL",9,18.1317083333333
"61","Dario Saric","Minnesota Timberwolves","2019-02-25","SAC",9,17.5087083333333
"62","Dario Saric","Minnesota Timberwolves","2019-02-27","ATL",6,13.828125
"63","Dario Saric","Minnesota Timberwolves","2019-02-28","IND",9,18.6384583333333
"64","Dario Saric","Minnesota Timberwolves","2019-03-03","WAS",15,14.7684583333333
"65","Dario Saric","Minnesota Timberwolves","2019-03-05","OKC",14,18.6731666666667
"66","Dario Saric","Minnesota Timberwolves","2019-03-06","DET",12,22.067875
"67","Dario Saric","Minnesota Timberwolves","2019-03-09","WAS",19,12.1486666666667
"68","Dario Saric","Minnesota Timberwolves","2019-03-10","NYK",13,17.6340833333333
"69","Dario Saric","Minnesota Timberwolves","2019-03-12","DEN",11,17.689625
"70","Dario Saric","Minnesota Timberwolves","2019-03-14","UTA",10,13.6472083333333
"71","Dario Saric","Minnesota Timberwolves","2019-03-17","HOU",8,16.9200833333333
"72","Dario Saric","Minnesota Timberwolves","2019-03-19","GSW",13,13.4526666666667
"73","Dario Saric","Minnesota Timberwolves","2019-03-21","CHO",19,17.697375
"74","Dario Saric","Minnesota Timberwolves","2019-03-23","MEM",17,16.0867916666667
"75","Dario Saric","Minnesota Timberwolves","2019-03-26","LAC",22,19.5029583333333
"76","Dario Saric","Minnesota Timberwolves","2019-03-29","GSW",12,18.2035833333334
"77","Dario Saric","Minnesota Timberwolves","2019-03-30","PHI",4,17.4050416666667
"78","Dario Saric","Minnesota Timberwolves","2019-04-01","POR",17,15.75775
"79","Dario Saric","Minnesota Timberwolves","2019-04-03","DAL",18,15.8698333333333
"80","Dario Saric","Minnesota Timberwolves","2019-04-05","MIA",23,17.3068333333333
"81","Dario Saric","Minnesota Timberwolves","2019-04-07","OKC",33,18.9692916666667
"82","Dario Saric","Minnesota Timberwolves","2019-04-09","TOR",19,15.3453333333333
