"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Davis","C","New Orleans Pelicans","2018-10-17","HOU",32,NA
"2","Davis","C","New Orleans Pelicans","2018-10-19","SAC",27,26.5437167639193
"3","Davis","C","New Orleans Pelicans","2018-10-23","LAC",38,28.5922284118386
"4","Davis","C","New Orleans Pelicans","2018-10-26","BRK",20,32.4390677430661
"7","Davis","C","New Orleans Pelicans","2018-10-31","GSW",19,31.2244356971524
"9","Davis","C","New Orleans Pelicans","2018-11-03","SAS",17,26.9021575862566
"10","Davis","C","New Orleans Pelicans","2018-11-05","OKC",20,27.538598721834
"11","Davis","C","New Orleans Pelicans","2018-11-07","CHI",36,28.6221013286373
"12","Davis","C","New Orleans Pelicans","2018-11-10","PHO",26,29.9797054937147
"13","Davis","C","New Orleans Pelicans","2018-11-12","TOR",27,27.501958151422
"14","Davis","C","New Orleans Pelicans","2018-11-14","MIN",33,28.0995833223149
"15","Davis","C","New Orleans Pelicans","2018-11-16","NYK",45,30.5123349613397
"16","Davis","C","New Orleans Pelicans","2018-11-17","DEN",40,28.6895838339952
"17","Davis","C","New Orleans Pelicans","2018-11-19","SAS",29,28.2080423609189
"18","Davis","C","New Orleans Pelicans","2018-11-21","PHI",12,25.7098490746898
"19","Davis","C","New Orleans Pelicans","2018-11-23","NYK",35,30.4556508545133
"21","Davis","C","New Orleans Pelicans","2018-11-26","BOS",27,30.6600570480916
"22","Davis","C","New Orleans Pelicans","2018-11-28","WAS",32,28.2029034796194
"23","Davis","C","New Orleans Pelicans","2018-11-30","MIA",45,31.3121966898023
"24","Davis","C","New Orleans Pelicans","2018-12-02","CHO",40,29.6533547376282
"25","Davis","C","New Orleans Pelicans","2018-12-03","LAC",23,30.3515958630549
"26","Davis","C","New Orleans Pelicans","2018-12-05","DAL",31,28.0476032925315
"27","Davis","C","New Orleans Pelicans","2018-12-07","MEM",25,31.5422840977349
"28","Davis","C","New Orleans Pelicans","2018-12-09","DET",6,28.4271248739131
"29","Davis","C","New Orleans Pelicans","2018-12-10","BOS",41,30.1571559504961
"30","Davis","C","New Orleans Pelicans","2018-12-12","OKC",46,28.8865033601529
"31","Davis","C","New Orleans Pelicans","2018-12-16","MIA",31,29.7410588677147
"32","Davis","C","New Orleans Pelicans","2018-12-19","MIL",35,30.6266768079985
"33","Davis","C","New Orleans Pelicans","2018-12-21","LAL",32,32.5916236471906
"34","Davis","C","New Orleans Pelicans","2018-12-23","SAC",28,26.5540760065852
"35","Davis","C","New Orleans Pelicans","2018-12-26","DAL",34,27.9668128369232
"36","Davis","C","New Orleans Pelicans","2018-12-28","DAL",48,29.8851650842796
"37","Davis","C","New Orleans Pelicans","2018-12-29","HOU",26,29.171717515168
"39","Davis","C","New Orleans Pelicans","2019-01-02","BRK",38,31.6631753229224
"40","Davis","C","New Orleans Pelicans","2019-01-05","CLE",20,29.6943730925471
"41","Davis","C","New Orleans Pelicans","2019-01-07","MEM",36,27.6772312683166
"42","Davis","C","New Orleans Pelicans","2019-01-09","CLE",40,29.2164054965539
"43","Davis","C","New Orleans Pelicans","2019-01-12","MIN",34,28.9676657572609
"44","Davis","C","New Orleans Pelicans","2019-01-14","LAC",50,30.9107065461036
"45","Davis","C","New Orleans Pelicans","2019-01-16","GSW",32,29.5290251805893
"46","Davis","C","New Orleans Pelicans","2019-01-18","POR",27,26.3491024442143
"56","Davis","C","New Orleans Pelicans","2019-02-08","MIN",32,27.7389003431674
"57","Davis","C","New Orleans Pelicans","2019-02-09","MEM",14,27.6740690016727
"58","Davis","C","New Orleans Pelicans","2019-02-12","ORL",3,28.3905633282869
"59","Davis","C","New Orleans Pelicans","2019-02-14","OKC",16,31.0890191221179
"60","Davis","C","New Orleans Pelicans","2019-02-22","IND",15,30.0068876009799
"62","Davis","C","New Orleans Pelicans","2019-02-25","PHI",18,26.8525913369232
"63","Davis","C","New Orleans Pelicans","2019-02-27","LAL",22,28.1205776944499
"64","Davis","C","New Orleans Pelicans","2019-03-01","PHO",19,26.7125116776607
"66","Davis","C","New Orleans Pelicans","2019-03-04","UTA",17,28.1394435376658
"67","Davis","C","New Orleans Pelicans","2019-03-06","UTA",16,26.6636825421327
"69","Davis","C","New Orleans Pelicans","2019-03-10","ATL",21,23.736510782216
"70","Davis","C","New Orleans Pelicans","2019-03-12","MIL",23,29.5178140197408
"72","Davis","C","New Orleans Pelicans","2019-03-16","PHO",15,27.8328208659386
"73","Davis","C","New Orleans Pelicans","2019-03-18","DAL",22,29.3974981830277
