"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","DeRozan","C","San Antonio Spurs","2018-10-17","MIN",30,NA
"2","DeRozan","C","San Antonio Spurs","2018-10-20","POR",28,26.541326890148
"3","DeRozan","C","San Antonio Spurs","2018-10-22","LAL",36,24.3193285009548
"4","DeRozan","C","San Antonio Spurs","2018-10-24","IND",18,24.0884121100889
"5","DeRozan","C","San Antonio Spurs","2018-10-27","LAL",30,23.8387954029512
"6","DeRozan","C","San Antonio Spurs","2018-10-29","DAL",34,27.5720790797583
"7","DeRozan","C","San Antonio Spurs","2018-10-31","PHO",25,27.0075417015521
"8","DeRozan","C","San Antonio Spurs","2018-11-03","NOP",26,29.6384747506229
"9","DeRozan","C","San Antonio Spurs","2018-11-04","ORL",27,26.8484410169084
"10","DeRozan","C","San Antonio Spurs","2018-11-07","MIA",20,26.2311322081755
"11","DeRozan","C","San Antonio Spurs","2018-11-10","HOU",13,24.7272964805486
"12","DeRozan","C","San Antonio Spurs","2018-11-12","SAC",23,25.185250322372
"13","DeRozan","C","San Antonio Spurs","2018-11-14","PHO",24,26.0688038817759
"14","DeRozan","C","San Antonio Spurs","2018-11-15","LAC",34,25.8027881084349
"15","DeRozan","C","San Antonio Spurs","2018-11-18","GSW",20,26.9745424746034
"16","DeRozan","C","San Antonio Spurs","2018-11-19","NOP",21,26.2867904056088
"17","DeRozan","C","San Antonio Spurs","2018-11-21","MEM",24,23.5622963382346
"18","DeRozan","C","San Antonio Spurs","2018-11-23","IND",17,25.1829774604166
"19","DeRozan","C","San Antonio Spurs","2018-11-24","MIL",36,27.3015881325408
"20","DeRozan","C","San Antonio Spurs","2018-11-26","CHI",21,26.2766431601966
"21","DeRozan","C","San Antonio Spurs","2018-11-28","MIN",10,25.8521794417174
"22","DeRozan","C","San Antonio Spurs","2018-11-30","HOU",18,27.7300022936089
"23","DeRozan","C","San Antonio Spurs","2018-12-02","POR",36,25.8588140600566
"24","DeRozan","C","San Antonio Spurs","2018-12-04","UTA",16,25.36984469982
"25","DeRozan","C","San Antonio Spurs","2018-12-05","LAL",32,26.9585747403681
"26","DeRozan","C","San Antonio Spurs","2018-12-07","LAL",36,24.0377613737543
"27","DeRozan","C","San Antonio Spurs","2018-12-09","UTA",26,29.200796584792
"28","DeRozan","C","San Antonio Spurs","2018-12-11","PHO",5,26.4565531552067
