"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"4","Dedmon","C","Atlanta Hawks","2018-10-24","DAL",5,NA
"5","Dedmon","C","Atlanta Hawks","2018-10-27","CHI",15,9.82099319727891
"6","Dedmon","C","Atlanta Hawks","2018-10-29","PHI",13,9.60088775510204
"7","Dedmon","C","Atlanta Hawks","2018-10-30","CLE",4,11.115268707483
"8","Dedmon","C","Atlanta Hawks","2018-11-01","SAC",6,13.4117976190476
"9","Dedmon","C","Atlanta Hawks","2018-11-03","MIA",17,9.93632158317873
"10","Dedmon","C","Atlanta Hawks","2018-11-06","CHO",8,9.4976651205937
"11","Dedmon","C","Atlanta Hawks","2018-11-07","NYK",2,11.588129406308
"12","Dedmon","C","Atlanta Hawks","2018-11-09","DET",15,11.0975986394558
"16","Dedmon","C","Atlanta Hawks","2018-11-17","IND",14,11.4128231292517
"17","Dedmon","C","Atlanta Hawks","2018-11-19","LAC",15,13.7711870748299
"18","Dedmon","C","Atlanta Hawks","2018-11-21","TOR",4,12.2265238095238
"19","Dedmon","C","Atlanta Hawks","2018-11-23","BOS",9,10.0248538961039
"20","Dedmon","C","Atlanta Hawks","2018-11-25","CHO",2,9.33458518862091
"21","Dedmon","C","Atlanta Hawks","2018-11-27","MIA",10,8.78977437641723
"22","Dedmon","C","Atlanta Hawks","2018-11-28","CHO",11,12.0407824675325
"23","Dedmon","C","Atlanta Hawks","2018-11-30","OKC",2,11.7692040816327
"24","Dedmon","C","Atlanta Hawks","2018-12-03","GSW",6,9.85943424036281
"25","Dedmon","C","Atlanta Hawks","2018-12-05","WAS",12,8.88125170068027
"26","Dedmon","C","Atlanta Hawks","2018-12-08","DEN",6,12.0441768707483
"27","Dedmon","C","Atlanta Hawks","2018-12-12","DAL",11,11.6751411564626
"28","Dedmon","C","Atlanta Hawks","2018-12-14","BOS",11,10.6826088435374
"29","Dedmon","C","Atlanta Hawks","2018-12-16","BRK",34,10.1010119047619
"30","Dedmon","C","Atlanta Hawks","2018-12-18","WAS",15,10.5387059369202
"31","Dedmon","C","Atlanta Hawks","2018-12-21","NYK",11,12.2930731292517
"32","Dedmon","C","Atlanta Hawks","2018-12-23","DET",13,11.4970255102041
"33","Dedmon","C","Atlanta Hawks","2018-12-26","IND",22,13.6643214285714
"34","Dedmon","C","Atlanta Hawks","2018-12-28","MIN",27,12.6442431972789
"37","Dedmon","C","Atlanta Hawks","2019-01-02","WAS",6,12.0142857142857
"38","Dedmon","C","Atlanta Hawks","2019-01-04","MIL",22,10.342961038961
"39","Dedmon","C","Atlanta Hawks","2019-01-06","MIA",9,8.40163151927437
"40","Dedmon","C","Atlanta Hawks","2019-01-08","TOR",12,10.8493707482993
"41","Dedmon","C","Atlanta Hawks","2019-01-09","BRK",12,11.3976683673469
"42","Dedmon","C","Atlanta Hawks","2019-01-11","PHI",25,11.7378299319728
"45","Dedmon","C","Atlanta Hawks","2019-01-19","BOS",8,11.5741683673469
"46","Dedmon","C","Atlanta Hawks","2019-01-21","ORL",34,9.59872278911565
"47","Dedmon","C","Atlanta Hawks","2019-01-23","CHI",16,11.8088588435374
"48","Dedmon","C","Atlanta Hawks","2019-01-26","POR",13,12.8799166666667
"49","Dedmon","C","Atlanta Hawks","2019-01-28","LAC",15,11.1459489795918
"50","Dedmon","C","Atlanta Hawks","2019-01-30","SAC",7,11.4522517006803
"51","Dedmon","C","Atlanta Hawks","2019-02-01","UTA",21,10.0471396103896
"52","Dedmon","C","Atlanta Hawks","2019-02-02","PHO",17,10.8699865491651
"53","Dedmon","C","Atlanta Hawks","2019-02-04","WAS",12,11.8625714285714
"54","Dedmon","C","Atlanta Hawks","2019-02-07","TOR",14,12.603119047619
"55","Dedmon","C","Atlanta Hawks","2019-02-09","CHO",22,10.2431428571429
"56","Dedmon","C","Atlanta Hawks","2019-02-10","ORL",7,11.0496072974644
"57","Dedmon","C","Atlanta Hawks","2019-02-12","LAL",12,8.71943027210884
"58","Dedmon","C","Atlanta Hawks","2019-02-14","NYK",29,13.9379540816327
"59","Dedmon","C","Atlanta Hawks","2019-02-22","DET",16,12.2406802721088
"60","Dedmon","C","Atlanta Hawks","2019-02-23","PHO",20,9.93701020408163
"61","Dedmon","C","Atlanta Hawks","2019-02-25","HOU",9,12.3869948979592
"62","Dedmon","C","Atlanta Hawks","2019-02-27","MIN",9,13.2037040816326
"63","Dedmon","C","Atlanta Hawks","2019-03-01","CHI",16,12.3353741496599
"64","Dedmon","C","Atlanta Hawks","2019-03-03","CHI",13,11.8391326530612
"65","Dedmon","C","Atlanta Hawks","2019-03-04","MIA",18,10.2120136054422
"68","Dedmon","C","Atlanta Hawks","2019-03-10","NOP",12,11.9858333333333
"69","Dedmon","C","Atlanta Hawks","2019-03-13","MEM",6,12.0014013605442
"70","Dedmon","C","Atlanta Hawks","2019-03-16","BOS",5,12.2724880952381
"71","Dedmon","C","Atlanta Hawks","2019-03-17","ORL",14,10.2035357142857
"72","Dedmon","C","Atlanta Hawks","2019-03-19","HOU",12,11.9908588435374
"73","Dedmon","C","Atlanta Hawks","2019-03-21","UTA",24,8.26769047619047
"74","Dedmon","C","Atlanta Hawks","2019-03-23","PHI",21,11.9724372294372
"75","Dedmon","C","Atlanta Hawks","2019-03-26","NOP",22,11.6028503401361
