,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Derrick Favors,Utah Jazz,F,17/10/2018,SAC,18,NA
2,Derrick Favors,Utah Jazz,F,19/10/2018,GSW,5,12.92266763
3,Derrick Favors,Utah Jazz,F,22/10/2018,MEM,8,12.95836281
4,Derrick Favors,Utah Jazz,F,24/10/2018,HOU,8,12.42479782
5,Derrick Favors,Utah Jazz,F,27/10/2018,NOP,10,13.09215326
7,Derrick Favors,Utah Jazz,F,31/10/2018,MIN,16,12.10043954
8,Derrick Favors,Utah Jazz,F,02/11/2018,MEM,14,10.69359864
9,Derrick Favors,Utah Jazz,F,03/11/2018,DEN,12,14.34717681
10,Derrick Favors,Utah Jazz,F,05/11/2018,TOR,11,12.97826417
11,Derrick Favors,Utah Jazz,F,07/11/2018,DAL,15,11.72209385
12,Derrick Favors,Utah Jazz,F,09/11/2018,BOS,16,12.78290017
13,Derrick Favors,Utah Jazz,F,12/11/2018,MEM,16,11.30617869
14,Derrick Favors,Utah Jazz,F,14/11/2018,DAL,8,10.6740121
15,Derrick Favors,Utah Jazz,F,16/11/2018,PHI,13,10.96464286
16,Derrick Favors,Utah Jazz,F,17/11/2018,BOS,10,14.26999898
17,Derrick Favors,Utah Jazz,F,19/11/2018,IND,5,13.35710178
18,Derrick Favors,Utah Jazz,F,21/11/2018,SAC,8,12.98772472
19,Derrick Favors,Utah Jazz,F,23/11/2018,LAL,10,12.80266272
20,Derrick Favors,Utah Jazz,F,25/11/2018,SAC,11,13.09386224
21,Derrick Favors,Utah Jazz,F,26/11/2018,IND,13,15.71329133
22,Derrick Favors,Utah Jazz,F,28/11/2018,BRK,11,13.81620542
23,Derrick Favors,Utah Jazz,F,30/11/2018,CHO,6,10.18535714
24,Derrick Favors,Utah Jazz,F,02/12/2018,MIA,7,14.47537747
25,Derrick Favors,Utah Jazz,F,04/12/2018,SAS,14,13.4965481
26,Derrick Favors,Utah Jazz,F,06/12/2018,HOU,24,12.3574076
27,Derrick Favors,Utah Jazz,F,09/12/2018,SAS,2,11.0483631
28,Derrick Favors,Utah Jazz,F,10/12/2018,OKC,12,14.29152486
29,Derrick Favors,Utah Jazz,F,12/12/2018,MIA,17,11.88061216
30,Derrick Favors,Utah Jazz,F,15/12/2018,ORL,21,14.89124966
31,Derrick Favors,Utah Jazz,F,17/12/2018,HOU,7,13.43012396
32,Derrick Favors,Utah Jazz,F,19/12/2018,GSW,12,11.73904082
33,Derrick Favors,Utah Jazz,F,21/12/2018,POR,10,11.97423319
34,Derrick Favors,Utah Jazz,F,22/12/2018,OKC,18,11.94306803
35,Derrick Favors,Utah Jazz,F,25/12/2018,POR,7,10.99656718
36,Derrick Favors,Utah Jazz,F,27/12/2018,PHI,4,12.2107585
37,Derrick Favors,Utah Jazz,F,29/12/2018,NYK,16,14.24061111
38,Derrick Favors,Utah Jazz,F,01/01/2019,TOR,21,10.75215337
39,Derrick Favors,Utah Jazz,F,04/01/2019,CLE,10,12.93656103
40,Derrick Favors,Utah Jazz,F,05/01/2019,DET,15,11.91514966
41,Derrick Favors,Utah Jazz,F,07/01/2019,MIL,12,10.83343537
42,Derrick Favors,Utah Jazz,F,09/01/2019,ORL,8,15.8553339
43,Derrick Favors,Utah Jazz,F,11/01/2019,LAL,15,12.63141868
44,Derrick Favors,Utah Jazz,F,12/01/2019,CHI,8,10.66215646
45,Derrick Favors,Utah Jazz,F,14/01/2019,DET,10,12.29773688
46,Derrick Favors,Utah Jazz,F,16/01/2019,LAC,11,13.03411358
47,Derrick Favors,Utah Jazz,F,18/01/2019,CLE,12,13.42813636
48,Derrick Favors,Utah Jazz,F,21/01/2019,POR,12,9.787642857
49,Derrick Favors,Utah Jazz,F,23/01/2019,DEN,0,13.65597129
50,Derrick Favors,Utah Jazz,F,25/01/2019,MIN,15,12.52478912
51,Derrick Favors,Utah Jazz,F,27/01/2019,MIN,13,12.33552551
52,Derrick Favors,Utah Jazz,F,30/01/2019,POR,12,9.931391466
53,Derrick Favors,Utah Jazz,F,01/02/2019,ATL,14,14.05003288
54,Derrick Favors,Utah Jazz,F,02/02/2019,HOU,4,13.33914201
55,Derrick Favors,Utah Jazz,F,06/02/2019,PHO,14,11.76132483
56,Derrick Favors,Utah Jazz,F,09/02/2019,SAS,11,12.37397619
57,Derrick Favors,Utah Jazz,F,12/02/2019,GSW,13,11.32090476
58,Derrick Favors,Utah Jazz,F,22/02/2019,OKC,24,14.34344351
59,Derrick Favors,Utah Jazz,F,23/02/2019,DAL,6,12.04517857
60,Derrick Favors,Utah Jazz,F,27/02/2019,LAC,13,10.64584269
61,Derrick Favors,Utah Jazz,F,28/02/2019,DEN,15,12.21908333
62,Derrick Favors,Utah Jazz,F,02/03/2019,MIL,23,9.859357993
63,Derrick Favors,Utah Jazz,F,04/03/2019,NOP,16,11.63353005
64,Derrick Favors,Utah Jazz,F,06/03/2019,NOP,27,11.6184229
65,Derrick Favors,Utah Jazz,F,08/03/2019,MEM,5,8.721083791
66,Derrick Favors,Utah Jazz,F,11/03/2019,OKC,5,10.84121769
67,Derrick Favors,Utah Jazz,F,13/03/2019,PHO,20,14.54546536
68,Derrick Favors,Utah Jazz,F,14/03/2019,MIN,17,13.97813946
69,Derrick Favors,Utah Jazz,F,16/03/2019,BRK,13,11.93341865
70,Derrick Favors,Utah Jazz,F,18/03/2019,WAS,4,11.68454932
71,Derrick Favors,Utah Jazz,F,20/03/2019,NYK,10,12.38979507
72,Derrick Favors,Utah Jazz,F,21/03/2019,ATL,15,13.75301108
73,Derrick Favors,Utah Jazz,F,23/03/2019,CHI,13,11.6808869
74,Derrick Favors,Utah Jazz,F,25/03/2019,PHO,18,13.14110564
75,Derrick Favors,Utah Jazz,F,27/03/2019,LAL,20,14.64300397
76,Derrick Favors,Utah Jazz,F,29/03/2019,WAS,6,13.25601908
