,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Donovan Mitchell,Utah Jazz,SG,17/10/2018,SAC,30,NA
2,Donovan Mitchell,Utah Jazz,SG,19/10/2018,GSW,27,23.67361343
3,Donovan Mitchell,Utah Jazz,SG,22/10/2018,MEM,16,27.46494142
4,Donovan Mitchell,Utah Jazz,SG,24/10/2018,HOU,46,24.58782599
5,Donovan Mitchell,Utah Jazz,SG,27/10/2018,NOP,28,22.85132898
6,Donovan Mitchell,Utah Jazz,SG,28/10/2018,DAL,20,23.3684172
7,Donovan Mitchell,Utah Jazz,SG,31/10/2018,MIN,32,24.06364528
9,Donovan Mitchell,Utah Jazz,SG,03/11/2018,DEN,16,24.2069538
11,Donovan Mitchell,Utah Jazz,SG,07/11/2018,DAL,29,24.26799733
12,Donovan Mitchell,Utah Jazz,SG,09/11/2018,BOS,23,24.63241798
13,Donovan Mitchell,Utah Jazz,SG,12/11/2018,MEM,12,23.42829131
14,Donovan Mitchell,Utah Jazz,SG,14/11/2018,DAL,12,23.10357393
15,Donovan Mitchell,Utah Jazz,SG,16/11/2018,PHI,33,21.19725326
16,Donovan Mitchell,Utah Jazz,SG,17/11/2018,BOS,38,23.15252936
17,Donovan Mitchell,Utah Jazz,SG,19/11/2018,IND,7,25.49563711
18,Donovan Mitchell,Utah Jazz,SG,21/11/2018,SAC,43,23.37156274
19,Donovan Mitchell,Utah Jazz,SG,23/11/2018,LAL,4,23.12821534
22,Donovan Mitchell,Utah Jazz,SG,28/11/2018,BRK,33,22.68043545
23,Donovan Mitchell,Utah Jazz,SG,30/11/2018,CHO,34,26.18998624
24,Donovan Mitchell,Utah Jazz,SG,02/12/2018,MIA,20,23.92697691
25,Donovan Mitchell,Utah Jazz,SG,04/12/2018,SAS,28,25.46620599
26,Donovan Mitchell,Utah Jazz,SG,06/12/2018,HOU,6,27.69782093
27,Donovan Mitchell,Utah Jazz,SG,09/12/2018,SAS,33,23.8930984
28,Donovan Mitchell,Utah Jazz,SG,10/12/2018,OKC,25,25.02738602
29,Donovan Mitchell,Utah Jazz,SG,12/12/2018,MIA,25,21.6975271
30,Donovan Mitchell,Utah Jazz,SG,15/12/2018,ORL,28,25.91632182
31,Donovan Mitchell,Utah Jazz,SG,17/12/2018,HOU,27,25.49224588
32,Donovan Mitchell,Utah Jazz,SG,19/12/2018,GSW,21,23.13106744
33,Donovan Mitchell,Utah Jazz,SG,21/12/2018,POR,3,24.52651241
34,Donovan Mitchell,Utah Jazz,SG,22/12/2018,OKC,24,21.53136303
35,Donovan Mitchell,Utah Jazz,SG,25/12/2018,POR,23,24.39844576
36,Donovan Mitchell,Utah Jazz,SG,27/12/2018,PHI,29,25.55699502
37,Donovan Mitchell,Utah Jazz,SG,29/12/2018,NYK,19,22.9937459
38,Donovan Mitchell,Utah Jazz,SG,01/01/2019,TOR,23,25.85488918
39,Donovan Mitchell,Utah Jazz,SG,04/01/2019,CLE,24,23.15043507
40,Donovan Mitchell,Utah Jazz,SG,05/01/2019,DET,28,24.26929004
41,Donovan Mitchell,Utah Jazz,SG,07/01/2019,MIL,38,24.03000075
42,Donovan Mitchell,Utah Jazz,SG,09/01/2019,ORL,41,23.46782269
43,Donovan Mitchell,Utah Jazz,SG,11/01/2019,LAL,41,22.34816808
44,Donovan Mitchell,Utah Jazz,SG,12/01/2019,CHI,42,20.79525815
45,Donovan Mitchell,Utah Jazz,SG,14/01/2019,DET,34,23.38072738
46,Donovan Mitchell,Utah Jazz,SG,16/01/2019,LAC,28,26.01727792
47,Donovan Mitchell,Utah Jazz,SG,18/01/2019,CLE,28,22.27353488
48,Donovan Mitchell,Utah Jazz,SG,21/01/2019,POR,40,25.89307945
