"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Drummond","C","Detroit Pistons","2018-10-17","BRK",26,NA
"2","Drummond","C","Detroit Pistons","2018-10-20","CHI",10,16.5642582196224
"3","Drummond","C","Detroit Pistons","2018-10-23","PHI",14,15.8841685398928
"4","Drummond","C","Detroit Pistons","2018-10-25","CLE",26,17.0918039477505
"5","Drummond","C","Detroit Pistons","2018-10-27","BOS",18,13.1750183888694
"6","Drummond","C","Detroit Pistons","2018-10-30","BOS",17,15.4736325773046
"7","Drummond","C","Detroit Pistons","2018-10-31","BRK",24,17.5705103702368
"8","Drummond","C","Detroit Pistons","2018-11-03","PHI",8,14.9198205107874
"9","Drummond","C","Detroit Pistons","2018-11-05","MIA",25,15.3474614711518
"10","Drummond","C","Detroit Pistons","2018-11-07","ORL",25,13.7756249515061
"11","Drummond","C","Detroit Pistons","2018-11-09","ATL",23,15.0740150723397
"12","Drummond","C","Detroit Pistons","2018-11-11","CHO",23,15.2990220482596
"13","Drummond","C","Detroit Pistons","2018-11-14","TOR",11,12.9433790387999
"14","Drummond","C","Detroit Pistons","2018-11-19","CLE",23,16.9768887626777
"15","Drummond","C","Detroit Pistons","2018-11-21","HOU",22,15.0959195045328
"16","Drummond","C","Detroit Pistons","2018-11-23","HOU",23,15.9967099816712
"17","Drummond","C","Detroit Pistons","2018-11-25","PHO",19,12.4468636827414
"18","Drummond","C","Detroit Pistons","2018-11-27","NYK",6,14.8963810962084
"19","Drummond","C","Detroit Pistons","2018-11-30","CHI",19,15.2206886834816
"20","Drummond","C","Detroit Pistons","2018-12-01","GSW",16,13.2901619919337
"21","Drummond","C","Detroit Pistons","2018-12-03","OKC",13,15.0711671617375
"22","Drummond","C","Detroit Pistons","2018-12-05","MIL",10,17.2550087745618
"23","Drummond","C","Detroit Pistons","2018-12-07","PHI",21,15.7858125513681
"24","Drummond","C","Detroit Pistons","2018-12-09","NOP",23,13.7023901621444
"25","Drummond","C","Detroit Pistons","2018-12-10","PHI",21,15.5168577097909
"26","Drummond","C","Detroit Pistons","2018-12-12","CHO",14,12.475202049523
"27","Drummond","C","Detroit Pistons","2018-12-15","BOS",19,16.8819815524565
"28","Drummond","C","Detroit Pistons","2018-12-17","MIL",10,11.6219791578286
"29","Drummond","C","Detroit Pistons","2018-12-19","MIN",18,16.4709371676635
"30","Drummond","C","Detroit Pistons","2018-12-21","CHO",17,13.9895769994685
"31","Drummond","C","Detroit Pistons","2018-12-23","ATL",13,17.7143602586745
"32","Drummond","C","Detroit Pistons","2018-12-26","WAS",16,16.2201277214056
"33","Drummond","C","Detroit Pistons","2018-12-28","IND",12,16.4371273088478
"34","Drummond","C","Detroit Pistons","2018-12-30","ORL",14,16.6372362132577
"35","Drummond","C","Detroit Pistons","2019-01-01","MIL",15,16.5332623121337
"36","Drummond","C","Detroit Pistons","2019-01-02","MEM",11,13.9764684710868
"37","Drummond","C","Detroit Pistons","2019-01-05","UTA",15,16.5735934169778
"38","Drummond","C","Detroit Pistons","2019-01-07","SAS",19,15.6826990976563
"39","Drummond","C","Detroit Pistons","2019-01-09","LAL",6,17.3218256822767
"40","Drummond","C","Detroit Pistons","2019-01-10","SAC",12,15.8481735203496
"41","Drummond","C","Detroit Pistons","2019-01-12","LAC",20,17.8930868053944
"42","Drummond","C","Detroit Pistons","2019-01-14","UTA",15,14.8041995914509
"43","Drummond","C","Detroit Pistons","2019-01-16","ORL",14,17.2286904809842
"44","Drummond","C","Detroit Pistons","2019-01-18","MIA",0,15.2872593181051
"48","Drummond","C","Detroit Pistons","2019-01-25","DAL",23,13.7986561180458
"49","Drummond","C","Detroit Pistons","2019-01-29","MIL",20,12.8162821122272
"50","Drummond","C","Detroit Pistons","2019-01-31","DAL",24,13.3145311182083
"51","Drummond","C","Detroit Pistons","2019-02-02","LAC",12,14.6859137605047
"52","Drummond","C","Detroit Pistons","2019-02-04","DEN",27,17.9238584225844
"53","Drummond","C","Detroit Pistons","2019-02-05","NYK",17,15.7597914203958
"54","Drummond","C","Detroit Pistons","2019-02-08","NYK",29,14.8856769864312
"55","Drummond","C","Detroit Pistons","2019-02-11","WAS",32,13.516322086619
"56","Drummond","C","Detroit Pistons","2019-02-13","BOS",21,13.4012163132306
"57","Drummond","C","Detroit Pistons","2019-02-22","ATL",26,13.1367009477346
"58","Drummond","C","Detroit Pistons","2019-02-23","MIA",12,13.9509267357279
"59","Drummond","C","Detroit Pistons","2019-02-25","IND",26,16.0072050692683
"60","Drummond","C","Detroit Pistons","2019-02-27","SAS",10,14.1782416532174
"61","Drummond","C","Detroit Pistons","2019-03-02","CLE",13,15.5883646788845
"62","Drummond","C","Detroit Pistons","2019-03-03","TOR",15,14.3358790386145
"63","Drummond","C","Detroit Pistons","2019-03-06","MIN",33,14.3599309733799
"64","Drummond","C","Detroit Pistons","2019-03-08","CHI",20,13.6300547819213
"65","Drummond","C","Detroit Pistons","2019-03-10","CHI",16,13.8857126364733
