"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Dudley","F","Brooklyn Nets","2018-10-17","DET",1,NA
"2","Dudley","F","Brooklyn Nets","2018-10-19","NYK",9,5.29370833333333
"3","Dudley","F","Brooklyn Nets","2018-10-20","IND",5,6.24879166666666
"4","Dudley","F","Brooklyn Nets","2018-10-24","CLE",20,6.16833333333333
"5","Dudley","F","Brooklyn Nets","2018-10-26","NOP",15,4.03291666666667
"6","Dudley","F","Brooklyn Nets","2018-10-28","GSW",6,8.113875
"7","Dudley","F","Brooklyn Nets","2018-10-29","NYK",0,9.07441666666667
"8","Dudley","F","Brooklyn Nets","2018-10-31","DET",13,2.50591666666667
"9","Dudley","F","Brooklyn Nets","2018-11-02","HOU",5,8.31004166666667
"10","Dudley","F","Brooklyn Nets","2018-11-04","PHI",4,6.378125
"11","Dudley","F","Brooklyn Nets","2018-11-06","PHO",7,6.914875
"12","Dudley","F","Brooklyn Nets","2018-11-09","DEN",6,4.47958333333333
"13","Dudley","F","Brooklyn Nets","2018-11-10","GSW",0,6.2375
"14","Dudley","F","Brooklyn Nets","2018-11-12","MIN",12,3.677875
"15","Dudley","F","Brooklyn Nets","2018-11-14","MIA",14,6.663625
"16","Dudley","F","Brooklyn Nets","2018-11-16","WAS",7,6.50520833333333
"17","Dudley","F","Brooklyn Nets","2018-11-17","LAC",7,5.80641666666667
"18","Dudley","F","Brooklyn Nets","2018-11-20","MIA",0,9.85670833333333
"19","Dudley","F","Brooklyn Nets","2018-11-21","DAL",2,0.880625
"20","Dudley","F","Brooklyn Nets","2018-11-23","MIN",4,7.18020833333333
"21","Dudley","F","Brooklyn Nets","2018-11-25","PHI",5,5.52270833333333
"22","Dudley","F","Brooklyn Nets","2018-11-28","UTA",0,6.84866666666666
"23","Dudley","F","Brooklyn Nets","2018-11-30","MEM",0,1.332125
"24","Dudley","F","Brooklyn Nets","2018-12-01","WAS",4,2.04775
"25","Dudley","F","Brooklyn Nets","2018-12-03","CLE",3,5.5315
"26","Dudley","F","Brooklyn Nets","2018-12-05","OKC",4,8.91133333333332
"27","Dudley","F","Brooklyn Nets","2018-12-07","TOR",5,8.308
"28","Dudley","F","Brooklyn Nets","2018-12-08","NYK",4,7.83325
"29","Dudley","F","Brooklyn Nets","2018-12-12","PHI",7,7.76975
"30","Dudley","F","Brooklyn Nets","2018-12-14","WAS",11,7.951375
"31","Dudley","F","Brooklyn Nets","2018-12-16","ATL",22,7.242
"32","Dudley","F","Brooklyn Nets","2018-12-18","LAL",15,5.80566666666667
"33","Dudley","F","Brooklyn Nets","2018-12-19","CHI",5,5.651625
"34","Dudley","F","Brooklyn Nets","2018-12-21","IND",16,9.24083333333333
"35","Dudley","F","Brooklyn Nets","2018-12-23","PHO",12,6.527875
"36","Dudley","F","Brooklyn Nets","2018-12-26","CHO",10,5.969375
"37","Dudley","F","Brooklyn Nets","2018-12-28","CHO",2,7.82570833333333
"38","Dudley","F","Brooklyn Nets","2018-12-29","MIL",5,7.698375
"39","Dudley","F","Brooklyn Nets","2019-01-02","NOP",12,5.39429166666666
"40","Dudley","F","Brooklyn Nets","2019-01-04","MEM",0,10.141375
"41","Dudley","F","Brooklyn Nets","2019-01-06","CHI",14,1.018
"42","Dudley","F","Brooklyn Nets","2019-01-07","BOS",0,4.67191666666667
"43","Dudley","F","Brooklyn Nets","2019-01-09","ATL",0,3.50341666666667
"60","Dudley","F","Brooklyn Nets","2019-02-21","POR",0,2.64154166666667
"63","Dudley","F","Brooklyn Nets","2019-02-27","WAS",7,1.07404166666667
"65","Dudley","F","Brooklyn Nets","2019-03-02","MIA",0,7.62575
"66","Dudley","F","Brooklyn Nets","2019-03-04","DAL",0,0.430916666666667
"69","Dudley","F","Brooklyn Nets","2019-03-11","DET",0,4.88991666666667
"70","Dudley","F","Brooklyn Nets","2019-03-13","OKC",10,1.89508333333333
"71","Dudley","F","Brooklyn Nets","2019-03-16","UTA",0,10.04
"73","Dudley","F","Brooklyn Nets","2019-03-19","SAC",10,3.177125
"74","Dudley","F","Brooklyn Nets","2019-03-22","LAL",0,9.17708333333333
"75","Dudley","F","Brooklyn Nets","2019-03-25","POR",19,1.31666666666667
"76","Dudley","F","Brooklyn Nets","2019-03-28","PHI",7,6.27629166666667
"77","Dudley","F","Brooklyn Nets","2019-03-30","BOS",10,8.75108333333333
"78","Dudley","F","Brooklyn Nets","2019-04-01","MIL",2,7.53779166666667
"79","Dudley","F","Brooklyn Nets","2019-04-03","TOR",5,5.15425
"80","Dudley","F","Brooklyn Nets","2019-04-06","MIL",20,10.3349166666667
