"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"3","Dunn","PG","Chicago Bulls","2018-10-22","DAL",11,NA
"28","Dunn","PG","Chicago Bulls","2018-12-10","SAC",9,17.775077236665
"29","Dunn","PG","Chicago Bulls","2018-12-13","ORL",7,15.3402311169186
"30","Dunn","PG","Chicago Bulls","2018-12-15","SAS",24,14.5740033060771
"31","Dunn","PG","Chicago Bulls","2018-12-17","OKC",12,15.9423536487148
"32","Dunn","PG","Chicago Bulls","2018-12-19","BRK",26,16.0501704331867
"33","Dunn","PG","Chicago Bulls","2018-12-21","ORL",12,18.0303629773141
"34","Dunn","PG","Chicago Bulls","2018-12-23","CLE",17,14.8424791121649
"35","Dunn","PG","Chicago Bulls","2018-12-26","MIN",9,16.3022413188121
"36","Dunn","PG","Chicago Bulls","2018-12-28","WAS",15,18.1088653268089
"37","Dunn","PG","Chicago Bulls","2018-12-30","TOR",14,14.3747978278293
"38","Dunn","PG","Chicago Bulls","2019-01-02","ORL",16,17.1457234421391
"39","Dunn","PG","Chicago Bulls","2019-01-04","IND",20,13.4914881015665
"40","Dunn","PG","Chicago Bulls","2019-01-06","BRK",16,15.5634906523945
"41","Dunn","PG","Chicago Bulls","2019-01-09","POR",17,16.2912678945585
"42","Dunn","PG","Chicago Bulls","2019-01-11","GSW",8,15.0433509572276
"43","Dunn","PG","Chicago Bulls","2019-01-12","UTA",10,15.4383645174054
"44","Dunn","PG","Chicago Bulls","2019-01-15","LAL",6,17.4374825977792
"45","Dunn","PG","Chicago Bulls","2019-01-17","DEN",6,17.2513459709457
"46","Dunn","PG","Chicago Bulls","2019-01-19","MIA",6,15.5558639413343
"47","Dunn","PG","Chicago Bulls","2019-01-21","CLE",15,17.787012998642
"48","Dunn","PG","Chicago Bulls","2019-01-23","ATL",18,15.8927230360969
"49","Dunn","PG","Chicago Bulls","2019-01-25","LAC",11,13.7816635083654
"50","Dunn","PG","Chicago Bulls","2019-01-27","CLE",6,17.4147882203789
"51","Dunn","PG","Chicago Bulls","2019-01-29","BRK",19,17.9112160166346
"52","Dunn","PG","Chicago Bulls","2019-01-30","MIA",16,14.4443393488783
"53","Dunn","PG","Chicago Bulls","2019-02-02","CHO",9,16.1720973082256
"54","Dunn","PG","Chicago Bulls","2019-02-06","NOP",22,15.4878961730931
"55","Dunn","PG","Chicago Bulls","2019-02-08","BRK",16,15.4941053457185
"56","Dunn","PG","Chicago Bulls","2019-02-09","WAS",6,17.0999493020077
"57","Dunn","PG","Chicago Bulls","2019-02-11","MIL",2,15.9129010705974
"59","Dunn","PG","Chicago Bulls","2019-02-22","ORL",8,20.6451845718553
"60","Dunn","PG","Chicago Bulls","2019-02-23","BOS",4,14.5597870419633
"62","Dunn","PG","Chicago Bulls","2019-02-27","MEM",11,17.3069599892727
"63","Dunn","PG","Chicago Bulls","2019-03-01","ATL",20,15.2693814988578
"64","Dunn","PG","Chicago Bulls","2019-03-03","ATL",18,14.7475600123203
"65","Dunn","PG","Chicago Bulls","2019-03-05","IND",5,14.8499454640083
"66","Dunn","PG","Chicago Bulls","2019-03-06","PHI",4,17.6315350590405
"67","Dunn","PG","Chicago Bulls","2019-03-08","DET",9,16.2738650083091
"68","Dunn","PG","Chicago Bulls","2019-03-10","DET",9,15.3914001252769
"69","Dunn","PG","Chicago Bulls","2019-03-12","LAL",22,14.9508074507129
"70","Dunn","PG","Chicago Bulls","2019-03-15","LAC",16,15.737816629655
"71","Dunn","PG","Chicago Bulls","2019-03-17","SAC",8,14.5986245561765
"72","Dunn","PG","Chicago Bulls","2019-03-18","PHO",16,18.0859214702873
"73","Dunn","PG","Chicago Bulls","2019-03-20","WAS",32,14.7621758141603
