"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"8","Ellington","SG","Detroit Pistons","2018-11-03","ATL",7,NA
"9","Ellington","SG","Detroit Pistons","2018-11-05","DET",0,8.26925
"10","Ellington","SG","Detroit Pistons","2018-11-07","SAS",32,8.80341666666667
"11","Ellington","SG","Detroit Pistons","2018-11-09","IND",5,18.7712083333333
"12","Ellington","SG","Detroit Pistons","2018-11-10","WAS",24,7.95745833333333
"13","Ellington","SG","Detroit Pistons","2018-11-12","PHI",22,19.4020833333333
"14","Ellington","SG","Detroit Pistons","2018-11-14","BRK",12,19.6524583333333
"15","Ellington","SG","Detroit Pistons","2018-11-16","IND",15,8.536375
"16","Ellington","SG","Detroit Pistons","2018-11-18","LAL",29,11.3204583333333
"17","Ellington","SG","Detroit Pistons","2018-11-20","BRK",13,9.07270833333333
"18","Ellington","SG","Detroit Pistons","2018-11-23","CHI",12,7.31204166666667
"19","Ellington","SG","Detroit Pistons","2018-11-25","TOR",16,4.8415
"20","Ellington","SG","Detroit Pistons","2018-11-27","ATL",25,6.69258333333334
"21","Ellington","SG","Detroit Pistons","2018-11-30","NOP",8,18.9971666666667
"22","Ellington","SG","Detroit Pistons","2018-12-02","UTA",20,24.59725
"23","Ellington","SG","Detroit Pistons","2018-12-04","ORL",10,19.576
"27","Ellington","SG","Detroit Pistons","2018-12-12","UTA",7,20.04225
"28","Ellington","SG","Detroit Pistons","2018-12-14","MEM",0,8.24304166666667
"30","Ellington","SG","Detroit Pistons","2018-12-20","HOU",0,9.16816666666666
"32","Ellington","SG","Detroit Pistons","2018-12-23","ORL",0,10.1181666666667
"42","Ellington","SG","Detroit Pistons","2019-01-15","MIL",15,9.324125
"43","Ellington","SG","Detroit Pistons","2019-01-18","DET",0,10.3114583333333
"48","Ellington","SG","Detroit Pistons","2019-01-27","NYK",27,8.664375
"49","Ellington","SG","Detroit Pistons","2019-01-30","CHI",19,11.2516666666667
"50","Ellington","SG","Detroit Pistons","2019-02-01","OKC",5,25.2029583333333
"54","Ellington","SG","Detroit Pistons","2019-02-11","WAS",2,10.172875
"55","Ellington","SG","Detroit Pistons","2019-02-13","BOS",19,25.574625
"56","Ellington","SG","Detroit Pistons","2019-02-22","ATL",15,11.265375
"57","Ellington","SG","Detroit Pistons","2019-02-23","MIA",10,23.4154583333333
"58","Ellington","SG","Detroit Pistons","2019-02-25","IND",22,21.38825
"59","Ellington","SG","Detroit Pistons","2019-02-27","SAS",17,10.3640416666667
"60","Ellington","SG","Detroit Pistons","2019-03-02","CLE",25,9.12866666666666
"61","Ellington","SG","Detroit Pistons","2019-03-03","TOR",15,4.35320833333333
"62","Ellington","SG","Detroit Pistons","2019-03-06","MIN",17,18.2896666666667
"63","Ellington","SG","Detroit Pistons","2019-03-08","CHI",2,10.4297916666667
"64","Ellington","SG","Detroit Pistons","2019-03-10","CHI",19,6.85879166666667
"65","Ellington","SG","Detroit Pistons","2019-03-11","BRK",10,5.77525
"66","Ellington","SG","Detroit Pistons","2019-03-13","MIA",17,20.14875
"67","Ellington","SG","Detroit Pistons","2019-03-15","LAL",20,8.98204166666667
"68","Ellington","SG","Detroit Pistons","2019-03-17","TOR",11,17.2547916666667
"69","Ellington","SG","Detroit Pistons","2019-03-18","CLE",39,10.8285
"70","Ellington","SG","Detroit Pistons","2019-03-21","PHO",35,9.974625
"71","Ellington","SG","Detroit Pistons","2019-03-23","POR",5,10.90325
"72","Ellington","SG","Detroit Pistons","2019-03-24","GSW",5,6.82091666666667
"73","Ellington","SG","Detroit Pistons","2019-03-26","DEN",20,8.54991666666667
"74","Ellington","SG","Detroit Pistons","2019-03-28","ORL",39,6.56520833333333
"75","Ellington","SG","Detroit Pistons","2019-03-30","POR",7,11.52625
"76","Ellington","SG","Detroit Pistons","2019-04-01","IND",34,29.2848333333333
"77","Ellington","SG","Detroit Pistons","2019-04-03","IND",34,22.0377916666667
"78","Ellington","SG","Detroit Pistons","2019-04-05","OKC",12,15.9799583333333
"79","Ellington","SG","Detroit Pistons","2019-04-07","CHO",20,25.722875
"80","Ellington","SG","Detroit Pistons","2019-04-09","MEM",7,16.665875
