"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Embiid","C","Philadelphia 76ers","2018-10-16","BOS",25,NA
"2","Embiid","C","Philadelphia 76ers","2018-10-18","CHI",30,25.6867777777778
"3","Embiid","C","Philadelphia 76ers","2018-10-20","ORL",38,23.5023239087302
"4","Embiid","C","Philadelphia 76ers","2018-10-23","DET",33,29.0834550070028
"5","Embiid","C","Philadelphia 76ers","2018-10-24","MIL",34,24.6782134395425
"6","Embiid","C","Philadelphia 76ers","2018-10-27","CHO",29,26.2751875
"7","Embiid","C","Philadelphia 76ers","2018-10-29","ATL",10,26.3991113020966
"8","Embiid","C","Philadelphia 76ers","2018-10-30","TOR",37,27.1063428030303
"9","Embiid","C","Philadelphia 76ers","2018-11-01","LAC",47,28.3762119514473
"10","Embiid","C","Philadelphia 76ers","2018-11-03","DET",41,31.1720661181139
"11","Embiid","C","Philadelphia 76ers","2018-11-04","BRK",16,24.3727863562092
"12","Embiid","C","Philadelphia 76ers","2018-11-07","IND",22,23.9041111111111
"13","Embiid","C","Philadelphia 76ers","2018-11-09","CHO",44,23.2337658730159
"14","Embiid","C","Philadelphia 76ers","2018-11-10","MEM",14,25.5787699871615
"15","Embiid","C","Philadelphia 76ers","2018-11-12","MIA",41,26.789353219697
"16","Embiid","C","Philadelphia 76ers","2018-11-14","ORL",27,27.3875133928571
"17","Embiid","C","Philadelphia 76ers","2018-11-16","UTA",25,24.2922450396826
"18","Embiid","C","Philadelphia 76ers","2018-11-17","CHO",37,23.9366765873016
"19","Embiid","C","Philadelphia 76ers","2018-11-19","PHO",33,25.271097718254
"20","Embiid","C","Philadelphia 76ers","2018-11-21","NOP",35,27.6355800070028
"21","Embiid","C","Philadelphia 76ers","2018-11-23","CLE",28,27.9556071428571
"22","Embiid","C","Philadelphia 76ers","2018-11-25","BRK",32,26.4790878427129
"23","Embiid","C","Philadelphia 76ers","2018-11-28","NYK",26,23.4836979166667
"24","Embiid","C","Philadelphia 76ers","2018-11-30","WAS",18,29.3715537624141
"25","Embiid","C","Philadelphia 76ers","2018-12-02","MEM",15,26.4866666666667
"26","Embiid","C","Philadelphia 76ers","2018-12-05","TOR",10,26.1722545093795
"28","Embiid","C","Philadelphia 76ers","2018-12-10","DET",26,25.9349747474748
"29","Embiid","C","Philadelphia 76ers","2018-12-12","BRK",37,23.1743428030303
"30","Embiid","C","Philadelphia 76ers","2018-12-14","IND",42,26.9068359593838
"31","Embiid","C","Philadelphia 76ers","2018-12-16","CLE",24,26.2628675595238
"32","Embiid","C","Philadelphia 76ers","2018-12-17","SAS",13,24.2444756944445
"33","Embiid","C","Philadelphia 76ers","2018-12-19","NYK",24,26.6473541666667
"34","Embiid","C","Philadelphia 76ers","2018-12-22","TOR",27,25.3913349673203
"35","Embiid","C","Philadelphia 76ers","2018-12-25","BOS",38,25.1589416592395
"36","Embiid","C","Philadelphia 76ers","2018-12-27","UTA",27,24.0549386379552
"38","Embiid","C","Philadelphia 76ers","2019-01-01","LAC",32,24.1360104617605
"39","Embiid","C","Philadelphia 76ers","2019-01-02","PHO",44,30.1773735119048
"40","Embiid","C","Philadelphia 76ers","2019-01-05","DAL",27,26.2021241538282
"41","Embiid","C","Philadelphia 76ers","2019-01-08","WAS",24,23.4985506403319
"42","Embiid","C","Philadelphia 76ers","2019-01-09","WAS",37,24.1476617063493
"44","Embiid","C","Philadelphia 76ers","2019-01-13","NYK",26,23.9468318452381
"45","Embiid","C","Philadelphia 76ers","2019-01-15","MIN",39,26.2330069444445
"46","Embiid","C","Philadelphia 76ers","2019-01-17","IND",26,26.4310184990663
"47","Embiid","C","Philadelphia 76ers","2019-01-19","OKC",33,25.1426538149351
"48","Embiid","C","Philadelphia 76ers","2019-01-21","HOU",32,26.0581041666667
"49","Embiid","C","Philadelphia 76ers","2019-01-23","SAS",37,25.8049384920635
"51","Embiid","C","Philadelphia 76ers","2019-01-29","LAL",32,31.5579444444445
"52","Embiid","C","Philadelphia 76ers","2019-01-31","GSW",26,23.886759469697
"53","Embiid","C","Philadelphia 76ers","2019-02-02","SAC",29,24.958248015873
"54","Embiid","C","Philadelphia 76ers","2019-02-05","TOR",43,25.5825500992063
"55","Embiid","C","Philadelphia 76ers","2019-02-08","DEN",15,26.4324187966853
"56","Embiid","C","Philadelphia 76ers","2019-02-10","LAL",41,28.4157768308081
"57","Embiid","C","Philadelphia 76ers","2019-02-12","BOS",27,24.8216320903361
"58","Embiid","C","Philadelphia 76ers","2019-02-13","NYK",26,24.0640634920635
"67","Embiid","C","Philadelphia 76ers","2019-03-10","IND",33,23.2331518308081
"68","Embiid","C","Philadelphia 76ers","2019-03-12","CLE",19,25.9250884395425
"69","Embiid","C","Philadelphia 76ers","2019-03-15","SAC",21,25.514384920635
"70","Embiid","C","Philadelphia 76ers","2019-03-17","MIL",48,25.6250868506494
"72","Embiid","C","Philadelphia 76ers","2019-03-20","BOS",39,26.6695512371615
"73","Embiid","C","Philadelphia 76ers","2019-03-23","ATL",31,26.2878586309524
"74","Embiid","C","Philadelphia 76ers","2019-03-25","ORL",22,25.244665719697
"75","Embiid","C","Philadelphia 76ers","2019-03-28","BRK",45,23.6006527777778
"79","Embiid","C","Philadelphia 76ers","2019-04-04","MIL",40,27.2858612570028
