"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Fournier","SG","Orlando Magic","2018-10-17","MIA",13,NA
"2","Fournier","SG","Orlando Magic","2018-10-19","CHO",16,21.3907258437437
"3","Fournier","SG","Orlando Magic","2018-10-20","PHI",43,25.6740413685029
"4","Fournier","SG","Orlando Magic","2018-10-22","BOS",18,21.179369795849
"5","Fournier","SG","Orlando Magic","2018-10-25","POR",19,22.5221737555894
"6","Fournier","SG","Orlando Magic","2018-10-27","MIL",12,20.7211266141618
"7","Fournier","SG","Orlando Magic","2018-10-30","SAC",11,21.6832421699521
"8","Fournier","SG","Orlando Magic","2018-11-02","LAC",21,22.8766811089161
"9","Fournier","SG","Orlando Magic","2018-11-04","SAS",20,22.8812281670593
"10","Fournier","SG","Orlando Magic","2018-11-05","CLE",19,24.6827919793886
"11","Fournier","SG","Orlando Magic","2018-11-07","DET",33,23.0972635555487
"12","Fournier","SG","Orlando Magic","2018-11-09","WAS",21,23.2253842376531
"13","Fournier","SG","Orlando Magic","2018-11-11","NYK",16,24.7004335490422
"14","Fournier","SG","Orlando Magic","2018-11-12","WAS",26,23.0710940321008
"15","Fournier","SG","Orlando Magic","2018-11-14","PHI",11,22.5043465347855
"16","Fournier","SG","Orlando Magic","2018-11-17","LAL",17,23.3300030596198
"17","Fournier","SG","Orlando Magic","2018-11-18","NYK",23,23.4460102727812
"18","Fournier","SG","Orlando Magic","2018-11-20","TOR",35,20.3770824585237
"19","Fournier","SG","Orlando Magic","2018-11-23","DEN",5,24.1019319261295
"20","Fournier","SG","Orlando Magic","2018-11-25","LAL",6,23.2424043879647
"21","Fournier","SG","Orlando Magic","2018-11-26","GSW",11,22.5387863934702
"22","Fournier","SG","Orlando Magic","2018-11-28","POR",23,23.1673072210539
"23","Fournier","SG","Orlando Magic","2018-11-30","PHO",9,22.5194383817261
"24","Fournier","SG","Orlando Magic","2018-12-04","MIA",19,22.86045903743
"25","Fournier","SG","Orlando Magic","2018-12-05","DEN",38,22.8996949957605
"26","Fournier","SG","Orlando Magic","2018-12-07","IND",11,21.3090758687826
"28","Fournier","SG","Orlando Magic","2018-12-13","CHI",10,22.5598781722947
"29","Fournier","SG","Orlando Magic","2018-12-15","UTA",28,22.5823583454429
"30","Fournier","SG","Orlando Magic","2018-12-19","SAS",16,22.7461249532116
"31","Fournier","SG","Orlando Magic","2018-12-21","CHI",34,24.8153665518562
"32","Fournier","SG","Orlando Magic","2018-12-23","MIA",23,21.5247833389955
"33","Fournier","SG","Orlando Magic","2018-12-26","PHO",24,22.1440730289682
"34","Fournier","SG","Orlando Magic","2018-12-28","TOR",9,24.2543001057286
"35","Fournier","SG","Orlando Magic","2018-12-30","DET",15,24.5984564361876
"36","Fournier","SG","Orlando Magic","2018-12-31","CHO",13,24.1263850325899
"37","Fournier","SG","Orlando Magic","2019-01-02","CHI",19,23.1708572903159
"38","Fournier","SG","Orlando Magic","2019-01-04","MIN",25,23.7830532139563
"39","Fournier","SG","Orlando Magic","2019-01-06","LAC",14,22.0825582486076
"40","Fournier","SG","Orlando Magic","2019-01-07","SAC",23,22.6064415510621
"41","Fournier","SG","Orlando Magic","2019-01-09","UTA",1,21.1749351765449
"42","Fournier","SG","Orlando Magic","2019-01-12","BOS",22,21.2356547951972
"43","Fournier","SG","Orlando Magic","2019-01-13","HOU",21,23.0808521630301
"44","Fournier","SG","Orlando Magic","2019-01-16","DET",24,23.0287218430539
"45","Fournier","SG","Orlando Magic","2019-01-18","BRK",18,23.4263881721583
"46","Fournier","SG","Orlando Magic","2019-01-19","MIL",11,23.0707071834193
"47","Fournier","SG","Orlando Magic","2019-01-21","ATL",35,23.1337643455243
"48","Fournier","SG","Orlando Magic","2019-01-23","BRK",9,23.0749147210658
"49","Fournier","SG","Orlando Magic","2019-01-25","WAS",2,20.9116633093463
"50","Fournier","SG","Orlando Magic","2019-01-27","HOU",22,23.4640287939337
"51","Fournier","SG","Orlando Magic","2019-01-29","OKC",21,24.4622421324754
"52","Fournier","SG","Orlando Magic","2019-01-31","IND",9,23.2601331195927
"53","Fournier","SG","Orlando Magic","2019-02-02","BRK",22,24.1875429795839
"54","Fournier","SG","Orlando Magic","2019-02-05","OKC",33,22.6936984947947
"55","Fournier","SG","Orlando Magic","2019-02-07","MIN",20,24.0577307009441
"56","Fournier","SG","Orlando Magic","2019-02-09","MIL",9,21.728804471054
"57","Fournier","SG","Orlando Magic","2019-02-10","ATL",19,24.6564242734352
"58","Fournier","SG","Orlando Magic","2019-02-12","NOP",28,21.9529761247474
"59","Fournier","SG","Orlando Magic","2019-02-14","CHO",14,22.9420573259731
"60","Fournier","SG","Orlando Magic","2019-02-22","CHI",28,24.9139442773024
"61","Fournier","SG","Orlando Magic","2019-02-24","TOR",15,21.1286605008916
"62","Fournier","SG","Orlando Magic","2019-02-26","NYK",15,23.1383825922281
"63","Fournier","SG","Orlando Magic","2019-02-28","GSW",12,23.2306210454957
"64","Fournier","SG","Orlando Magic","2019-03-02","IND",25,23.7741451692416
"65","Fournier","SG","Orlando Magic","2019-03-03","CLE",17,21.3410225805587
"66","Fournier","SG","Orlando Magic","2019-03-05","PHI",35,24.756601223008
"67","Fournier","SG","Orlando Magic","2019-03-08","DAL",12,20.6131066344466
"68","Fournier","SG","Orlando Magic","2019-03-10","MEM",0,22.733255712618
"69","Fournier","SG","Orlando Magic","2019-03-13","WAS",12,24.0201361153993
"70","Fournier","SG","Orlando Magic","2019-03-14","CLE",14,25.0622664251652
"71","Fournier","SG","Orlando Magic","2019-03-17","ATL",13,25.5475500658972
"72","Fournier","SG","Orlando Magic","2019-03-20","NOP",28,23.5225664209025
"73","Fournier","SG","Orlando Magic","2019-03-22","MEM",33,23.8377493857605
"74","Fournier","SG","Orlando Magic","2019-03-25","PHI",28,20.4718191015802
"75","Fournier","SG","Orlando Magic","2019-03-26","MIA",15,22.619437436673
"76","Fournier","SG","Orlando Magic","2019-03-28","DET",15,23.5398984598934
"77","Fournier","SG","Orlando Magic","2019-03-30","IND",11,23.1613041230888
"78","Fournier","SG","Orlando Magic","2019-04-01","TOR",23,23.4412299700233
"79","Fournier","SG","Orlando Magic","2019-04-03","NYK",21,22.1706572750021
"80","Fournier","SG","Orlando Magic","2019-04-05","ATL",27,21.5378318052016
"81","Fournier","SG","Orlando Magic","2019-04-07","BOS",30,21.7549179128814
