"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Gallinari","F","Los Angeles Clippers","2018-10-17","DEN",24,NA
"2","Gallinari","F","Los Angeles Clippers","2018-10-19","OKC",34,23.568648035298
"3","Gallinari","F","Los Angeles Clippers","2018-10-21","HOU",22,22.2529502719503
"4","Gallinari","F","Los Angeles Clippers","2018-10-23","NOP",26,22.9106567654568
"5","Gallinari","F","Los Angeles Clippers","2018-10-26","HOU",18,22.1971116716617
"6","Gallinari","F","Los Angeles Clippers","2018-10-28","WAS",13,21.8671271117771
"7","Gallinari","F","Los Angeles Clippers","2018-10-30","OKC",33,21.6897966366966
"8","Gallinari","F","Los Angeles Clippers","2018-11-01","PHI",33,21.9070175879676
"9","Gallinari","F","Los Angeles Clippers","2018-11-02","ORL",15,22.7977707625708
"10","Gallinari","F","Los Angeles Clippers","2018-11-05","MIN",26,21.4500321567322
"11","Gallinari","F","Los Angeles Clippers","2018-11-08","POR",30,23.1127005605506
"12","Gallinari","F","Los Angeles Clippers","2018-11-10","MIL",15,24.0447302863803
"13","Gallinari","F","Los Angeles Clippers","2018-11-12","GSW",18,20.7235989010989
"14","Gallinari","F","Los Angeles Clippers","2018-11-15","SAS",23,20.3643874292374
"15","Gallinari","F","Los Angeles Clippers","2018-11-17","BRK",38,21.9142509213009
"17","Gallinari","F","Los Angeles Clippers","2018-11-20","WAS",3,22.2043812021312
"18","Gallinari","F","Los Angeles Clippers","2018-11-23","MEM",30,22.0864661893662
"19","Gallinari","F","Los Angeles Clippers","2018-11-25","POR",21,22.1454886557887
"20","Gallinari","F","Los Angeles Clippers","2018-11-28","PHO",36,22.8665377122877
"21","Gallinari","F","Los Angeles Clippers","2018-11-29","SAC",20,21.2183553169053
"22","Gallinari","F","Los Angeles Clippers","2018-12-02","DAL",25,22.1440693195693
"23","Gallinari","F","Los Angeles Clippers","2018-12-03","NOP",28,22.1978809357309
"24","Gallinari","F","Los Angeles Clippers","2018-12-05","MEM",23,21.8877164335664
"25","Gallinari","F","Los Angeles Clippers","2018-12-08","MIA",14,20.2855455100455
"26","Gallinari","F","Los Angeles Clippers","2018-12-10","PHO",29,18.0151298479298
"27","Gallinari","F","Los Angeles Clippers","2018-12-11","TOR",13,22.961142984793
"28","Gallinari","F","Los Angeles Clippers","2018-12-13","SAS",19,19.5661418969919
"29","Gallinari","F","Los Angeles Clippers","2018-12-15","OKC",36,20.3735267510267
"30","Gallinari","F","Los Angeles Clippers","2018-12-17","POR",26,22.3803227827728
"31","Gallinari","F","Los Angeles Clippers","2018-12-20","DAL",38,21.6903942113442
"32","Gallinari","F","Los Angeles Clippers","2018-12-22","DEN",27,22.1449723498724
"33","Gallinari","F","Los Angeles Clippers","2018-12-23","GSW",35,21.8833775391275
"34","Gallinari","F","Los Angeles Clippers","2018-12-26","SAC",16,20.5599475968476
"35","Gallinari","F","Los Angeles Clippers","2018-12-28","LAL",21,22.6347481740482
"36","Gallinari","F","Los Angeles Clippers","2018-12-29","SAS",25,22.4102874292374
"37","Gallinari","F","Los Angeles Clippers","2019-01-01","PHI",25,23.1101424797425
"38","Gallinari","F","Los Angeles Clippers","2019-01-04","PHO",23,23.4506452214452
"39","Gallinari","F","Los Angeles Clippers","2019-01-06","ORL",17,22.8965813630814
"40","Gallinari","F","Los Angeles Clippers","2019-01-08","CHO",28,20.3418863469863
"41","Gallinari","F","Los Angeles Clippers","2019-01-10","DEN",24,22.2082134032634
"42","Gallinari","F","Los Angeles Clippers","2019-01-12","DET",29,21.5122872127872
"43","Gallinari","F","Los Angeles Clippers","2019-01-14","NOP",37,24.2112854811855
"44","Gallinari","F","Los Angeles Clippers","2019-01-16","UTA",13,21.0366164335664
"45","Gallinari","F","Los Angeles Clippers","2019-01-18","GSW",1,21.5101165778666
"56","Gallinari","F","Los Angeles Clippers","2019-02-07","IND",20,19.047563042513
"57","Gallinari","F","Los Angeles Clippers","2019-02-09","BOS",23,21.9336225663226
"58","Gallinari","F","Los Angeles Clippers","2019-02-11","MIN",14,20.0317233544233
"59","Gallinari","F","Los Angeles Clippers","2019-02-13","PHO",28,18.9469066156066
"60","Gallinari","F","Los Angeles Clippers","2019-02-22","MEM",25,22.1476701132201
"61","Gallinari","F","Los Angeles Clippers","2019-02-24","DEN",19,21.1944953657454
"62","Gallinari","F","Los Angeles Clippers","2019-02-25","DAL",28,22.041712032412
"63","Gallinari","F","Los Angeles Clippers","2019-02-27","UTA",18,21.7757350482851
"64","Gallinari","F","Los Angeles Clippers","2019-03-01","SAC",21,21.3610245865246
"65","Gallinari","F","Los Angeles Clippers","2019-03-03","NYK",26,22.8894069097569
"66","Gallinari","F","Los Angeles Clippers","2019-03-04","LAL",29,23.083746953047
"67","Gallinari","F","Los Angeles Clippers","2019-03-08","OKC",38,22.4607248751249
"68","Gallinari","F","Los Angeles Clippers","2019-03-11","BOS",33,23.3242912531913
"70","Gallinari","F","Los Angeles Clippers","2019-03-15","CHI",35,22.6804279054279
"71","Gallinari","F","Los Angeles Clippers","2019-03-17","BRK",22,22.2636836052836
"72","Gallinari","F","Los Angeles Clippers","2019-03-19","IND",32,20.0402151126651
"73","Gallinari","F","Los Angeles Clippers","2019-03-22","CLE",29,22.3693874292374
"74","Gallinari","F","Los Angeles Clippers","2019-03-24","NYK",32,21.3272461593962
"75","Gallinari","F","Los Angeles Clippers","2019-03-26","MIN",37,23.0111654956155
"76","Gallinari","F","Los Angeles Clippers","2019-03-28","MIL",16,20.9638364191364
"78","Gallinari","F","Los Angeles Clippers","2019-03-31","MEM",29,20.3263564768565
"79","Gallinari","F","Los Angeles Clippers","2019-04-03","HOU",18,19.7315027195027
"80","Gallinari","F","Los Angeles Clippers","2019-04-05","LAL",33,21.1464711954712
