,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Garry Harris,Denver Nuggets,SG,17/10/2018,LAC,25,NA
2,Garry Harris,Denver Nuggets,SG,20/10/2018,PHO,18,27.14721429
41,Garry Harris,Denver Nuggets,SG,12/01/2019,PHO,8,23.63412857
42,Garry Harris,Denver Nuggets,SG,13/01/2019,POR,9,27.31811429
43,Garry Harris,Denver Nuggets,SG,15/01/2019,GSW,17,19.47548095
45,Garry Harris,Denver Nuggets,SG,19/01/2019,CLE,7,28.16743333
46,Garry Harris,Denver Nuggets,SG,23/01/2019,UTA,30,19.88516429
47,Garry Harris,Denver Nuggets,SG,25/01/2019,PHO,16,25.30135495
48,Garry Harris,Denver Nuggets,SG,26/01/2019,PHI,18,25.45158095
49,Garry Harris,Denver Nuggets,SG,28/01/2019,MEM,24,22.37528095
50,Garry Harris,Denver Nuggets,SG,30/01/2019,NOP,8,23.76709762
51,Garry Harris,Denver Nuggets,SG,01/02/2019,HOU,9,21.17624762
52,Garry Harris,Denver Nuggets,SG,02/02/2019,MIN,26,20.52007857
53,Garry Harris,Denver Nuggets,SG,04/02/2019,DET,12,21.55344762
54,Garry Harris,Denver Nuggets,SG,06/02/2019,BRK,5,24.74392619
55,Garry Harris,Denver Nuggets,SG,08/02/2019,PHI,14,23.12178095
56,Garry Harris,Denver Nuggets,SG,11/02/2019,MIA,12,26.62291429
57,Garry Harris,Denver Nuggets,SG,13/02/2019,SAC,15,25.07524524
58,Garry Harris,Denver Nuggets,SG,22/02/2019,DAL,14,23.83810952
59,Garry Harris,Denver Nuggets,SG,24/02/2019,LAC,5,20.9746619
60,Garry Harris,Denver Nuggets,SG,26/02/2019,OKC,25,23.23252857
61,Garry Harris,Denver Nuggets,SG,28/02/2019,UTA,23,21.78391429
62,Garry Harris,Denver Nuggets,SG,02/03/2019,NOP,12,22.83158571
63,Garry Harris,Denver Nuggets,SG,04/03/2019,SAS,16,26.76926429
64,Garry Harris,Denver Nuggets,SG,06/03/2019,LAL,33,27.15622619
65,Garry Harris,Denver Nuggets,SG,08/03/2019,GSW,7,21.68851685
66,Garry Harris,Denver Nuggets,SG,12/03/2019,MIN,6,27.04744524
67,Garry Harris,Denver Nuggets,SG,14/03/2019,DAL,13,27.36809286
68,Garry Harris,Denver Nuggets,SG,16/03/2019,IND,25,21.51482857
69,Garry Harris,Denver Nuggets,SG,18/03/2019,BOS,24,28.29290256
70,Garry Harris,Denver Nuggets,SG,21/03/2019,WAS,15,18.77698095
71,Garry Harris,Denver Nuggets,SG,22/03/2019,NYK,16,24.32368095
72,Garry Harris,Denver Nuggets,SG,24/03/2019,IND,21,26.87339762
73,Garry Harris,Denver Nuggets,SG,26/03/2019,DET,14,20.17828571
74,Garry Harris,Denver Nuggets,SG,28/03/2019,HOU,2,26.07626667
75,Garry Harris,Denver Nuggets,SG,29/03/2019,OKC,16,22.66818095
76,Garry Harris,Denver Nuggets,SG,31/03/2019,WAS,14,14.72225
77,Garry Harris,Denver Nuggets,SG,02/04/2019,GSW,10,21.38979286
78,Garry Harris,Denver Nuggets,SG,03/04/2019,SAS,17,25.11917857
79,Garry Harris,Denver Nuggets,SG,05/04/2019,POR,4,20.89019524
80,Garry Harris,Denver Nuggets,SG,07/04/2019,POR,11,20.67543095
81,Garry Harris,Denver Nuggets,SG,09/04/2019,UTA,0,26.82709524
