"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Gasol","C","Memphis Grizzlies","2018-10-17","IND",17,NA
"2","Gasol","C","Memphis Grizzlies","2018-10-19","ATL",15,19.278625
"3","Gasol","C","Memphis Grizzlies","2018-10-22","UTA",24,20.6183333333333
"4","Gasol","C","Memphis Grizzlies","2018-10-24","SAC",12,21.7165416666667
"5","Gasol","C","Memphis Grizzlies","2018-10-27","PHO",25,19.55275
"6","Gasol","C","Memphis Grizzlies","2018-10-30","WAS",23,22.6009166666667
"7","Gasol","C","Memphis Grizzlies","2018-11-02","UTA",21,19.923625
"8","Gasol","C","Memphis Grizzlies","2018-11-04","PHO",7,23.6668333333333
"9","Gasol","C","Memphis Grizzlies","2018-11-05","GSW",8,18.6315833333333
"10","Gasol","C","Memphis Grizzlies","2018-11-07","DEN",22,18.3805833333333
"11","Gasol","C","Memphis Grizzlies","2018-11-10","PHI",24,24.7698333333333
"12","Gasol","C","Memphis Grizzlies","2018-11-12","UTA",16,21.6127083333333
"13","Gasol","C","Memphis Grizzlies","2018-11-14","MIL",41,22.39775
"14","Gasol","C","Memphis Grizzlies","2018-11-16","SAC",23,20.06925
"15","Gasol","C","Memphis Grizzlies","2018-11-18","MIN",34,26.5979583333333
"16","Gasol","C","Memphis Grizzlies","2018-11-19","DAL",17,23.334875
"17","Gasol","C","Memphis Grizzlies","2018-11-21","SAS",20,16.2165833333333
"18","Gasol","C","Memphis Grizzlies","2018-11-23","LAC",29,21.7520833333333
"19","Gasol","C","Memphis Grizzlies","2018-11-25","NYK",33,17.0450833333333
"20","Gasol","C","Memphis Grizzlies","2018-11-27","TOR",35,20.9695833333333
"21","Gasol","C","Memphis Grizzlies","2018-11-30","BRK",19,18.0649166666667
"22","Gasol","C","Memphis Grizzlies","2018-12-02","PHI",16,22.5593333333333
"23","Gasol","C","Memphis Grizzlies","2018-12-05","LAC",4,21.0487916666667
"24","Gasol","C","Memphis Grizzlies","2018-12-07","NOP",17,19.9297916666667
"25","Gasol","C","Memphis Grizzlies","2018-12-08","LAL",13,19.6917083333333
"26","Gasol","C","Memphis Grizzlies","2018-12-10","DEN",9,20.8112916666667
"27","Gasol","C","Memphis Grizzlies","2018-12-12","POR",11,19.1852916666667
"28","Gasol","C","Memphis Grizzlies","2018-12-14","MIA",16,17.6997916666667
"29","Gasol","C","Memphis Grizzlies","2018-12-15","HOU",19,19.805375
"30","Gasol","C","Memphis Grizzlies","2018-12-17","GSW",17,22.0066666666667
