"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Gay","F","San Antonio Spurs","2018-10-17","MIN",20,NA
"2","Gay","F","San Antonio Spurs","2018-10-20","POR",16,11.0600242539273
"3","Gay","F","San Antonio Spurs","2018-10-22","LAL",20,12.7519534627688
"4","Gay","F","San Antonio Spurs","2018-10-24","IND",13,11.8699861799975
"5","Gay","F","San Antonio Spurs","2018-10-27","LAL",16,15.8582217903769
"6","Gay","F","San Antonio Spurs","2018-10-29","DAL",19,11.8140647487783
"7","Gay","F","San Antonio Spurs","2018-10-31","PHO",14,12.0787434468389
"8","Gay","F","San Antonio Spurs","2018-11-03","NOP",6,15.1175793220265
"12","Gay","F","San Antonio Spurs","2018-11-12","SAC",18,13.609971235915
"14","Gay","F","San Antonio Spurs","2018-11-15","LAC",21,13.4694495622739
"15","Gay","F","San Antonio Spurs","2018-11-18","GSW",25,11.7604786067768
"16","Gay","F","San Antonio Spurs","2018-11-19","NOP",17,13.8793499106821
"17","Gay","F","San Antonio Spurs","2018-11-21","MEM",23,13.313587908166
"18","Gay","F","San Antonio Spurs","2018-11-23","IND",15,12.4255000724869
"19","Gay","F","San Antonio Spurs","2018-11-24","MIL",10,11.975964217085
"20","Gay","F","San Antonio Spurs","2018-11-26","CHI",12,14.0147157757535
"21","Gay","F","San Antonio Spurs","2018-11-28","MIN",5,12.1574279564476
"22","Gay","F","San Antonio Spurs","2018-11-30","HOU",11,13.0092783000584
"23","Gay","F","San Antonio Spurs","2018-12-02","POR",26,13.1132304681585
"24","Gay","F","San Antonio Spurs","2018-12-04","UTA",0,13.3163927845117
"25","Gay","F","San Antonio Spurs","2018-12-05","LAL",35,14.3417924170216
"26","Gay","F","San Antonio Spurs","2018-12-07","LAL",14,10.7174328459949
"27","Gay","F","San Antonio Spurs","2018-12-09","UTA",23,14.3313401116919
"28","Gay","F","San Antonio Spurs","2018-12-11","PHO",15,11.3086168369806
"29","Gay","F","San Antonio Spurs","2018-12-13","LAC",23,15.0461547499998
"30","Gay","F","San Antonio Spurs","2018-12-15","CHI",12,12.1482704126318
"31","Gay","F","San Antonio Spurs","2018-12-17","PHI",23,12.851435333881
"32","Gay","F","San Antonio Spurs","2018-12-19","ORL",14,11.8297224562633
"33","Gay","F","San Antonio Spurs","2018-12-21","MIN",18,11.9158077592944
"34","Gay","F","San Antonio Spurs","2018-12-22","HOU",17,10.9373193352443
"35","Gay","F","San Antonio Spurs","2018-12-26","DEN",6,11.3944837014405
"36","Gay","F","San Antonio Spurs","2018-12-28","DEN",8,13.4936310563603
"37","Gay","F","San Antonio Spurs","2018-12-29","LAC",12,14.4011889272175
"39","Gay","F","San Antonio Spurs","2019-01-03","TOR",15,12.7113122981714
"40","Gay","F","San Antonio Spurs","2019-01-05","MEM",11,14.8165624733583
"46","Gay","F","San Antonio Spurs","2019-01-16","DAL",14,12.156857384169
"47","Gay","F","San Antonio Spurs","2019-01-18","MIN",22,15.7999117310796
"48","Gay","F","San Antonio Spurs","2019-01-20","LAC",21,11.745315821376
"49","Gay","F","San Antonio Spurs","2019-01-23","PHI",17,11.9229350088105
"50","Gay","F","San Antonio Spurs","2019-01-26","NOP",26,13.8737727461737
"51","Gay","F","San Antonio Spurs","2019-01-27","WAS",11,11.1223791376881
"52","Gay","F","San Antonio Spurs","2019-01-29","PHO",16,15.9087134899913
"53","Gay","F","San Antonio Spurs","2019-01-31","BRK",17,14.814981672167
"54","Gay","F","San Antonio Spurs","2019-02-02","NOP",23,14.1588659570289
"55","Gay","F","San Antonio Spurs","2019-02-04","SAC",11,13.2137004034305
"56","Gay","F","San Antonio Spurs","2019-02-06","GSW",17,13.7402788053407
"57","Gay","F","San Antonio Spurs","2019-02-07","POR",35,14.8578593721295
"59","Gay","F","San Antonio Spurs","2019-02-12","MEM",19,11.3776626850962
"60","Gay","F","San Antonio Spurs","2019-02-22","TOR",14,12.8840883938877
"61","Gay","F","San Antonio Spurs","2019-02-24","NYK",12,16.0096485815337
"62","Gay","F","San Antonio Spurs","2019-02-25","BRK",15,15.6409097077931
"63","Gay","F","San Antonio Spurs","2019-02-27","DET",4,13.8380752218991
"64","Gay","F","San Antonio Spurs","2019-03-02","OKC",26,10.5099592829411
"65","Gay","F","San Antonio Spurs","2019-03-04","DEN",16,10.6787586427565
"66","Gay","F","San Antonio Spurs","2019-03-06","ATL",12,12.9803997931414
"69","Gay","F","San Antonio Spurs","2019-03-15","NYK",14,15.4874566765442
"70","Gay","F","San Antonio Spurs","2019-03-16","POR",17,11.7388898721489
"71","Gay","F","San Antonio Spurs","2019-03-18","GSW",19,14.0260690660888
"72","Gay","F","San Antonio Spurs","2019-03-20","MIA",19,14.131598623609
"73","Gay","F","San Antonio Spurs","2019-03-22","HOU",7,11.7132229187024
"74","Gay","F","San Antonio Spurs","2019-03-24","BOS",9,10.5742416501748
"75","Gay","F","San Antonio Spurs","2019-03-26","CHO",20,12.9707323589578
"76","Gay","F","San Antonio Spurs","2019-03-28","CLE",16,12.7765273492624
"77","Gay","F","San Antonio Spurs","2019-03-31","SAC",22,15.7025957872692
"78","Gay","F","San Antonio Spurs","2019-04-02","ATL",6,11.4155542863286
"79","Gay","F","San Antonio Spurs","2019-04-03","DEN",9,14.0476588475311
"80","Gay","F","San Antonio Spurs","2019-04-05","WAS",20,11.3223603605159
"81","Gay","F","San Antonio Spurs","2019-04-07","CLE",8,10.1289929954145
