"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Gordon","F","Houston Rockets","2018-10-17","NOP",25,NA
"2","Gordon","F","Houston Rockets","2018-10-20","LAL",9,23.4601666666667
"3","Gordon","F","Houston Rockets","2018-10-21","LAC",31,17.9467916666667
"4","Gordon","F","Houston Rockets","2018-10-24","UTA",13,27.5788333333333
"5","Gordon","F","Houston Rockets","2018-10-26","LAC",12,21.7635
"6","Gordon","F","Houston Rockets","2018-10-30","POR",16,18.7235
"7","Gordon","F","Houston Rockets","2018-11-02","BRK",25,19.3000833333333
"11","Gordon","F","Houston Rockets","2018-11-10","SAS",29,25.4287083333333
"12","Gordon","F","Houston Rockets","2018-11-11","IND",13,22.84675
"13","Gordon","F","Houston Rockets","2018-11-13","DEN",15,18.1904166666667
"14","Gordon","F","Houston Rockets","2018-11-15","GSW",23,20.6034583333333
"15","Gordon","F","Houston Rockets","2018-11-17","SAC",17,26.067625
"16","Gordon","F","Houston Rockets","2018-11-21","DET",9,21.6201666666667
"17","Gordon","F","Houston Rockets","2018-11-23","DET",13,21.0410833333333
"18","Gordon","F","Houston Rockets","2018-11-24","CLE",38,16.9135
"19","Gordon","F","Houston Rockets","2018-11-26","WAS",52,25.911375
"20","Gordon","F","Houston Rockets","2018-11-28","DAL",23,23.147125
"21","Gordon","F","Houston Rockets","2018-11-30","SAS",40,27.155
"22","Gordon","F","Houston Rockets","2018-12-01","CHI",21,23.50225
"23","Gordon","F","Houston Rockets","2018-12-03","MIN",14,26.2290833333333
"24","Gordon","F","Houston Rockets","2018-12-06","UTA",10,18.057875
"25","Gordon","F","Houston Rockets","2018-12-08","DAL",16,19.8990833333333
"26","Gordon","F","Houston Rockets","2018-12-11","POR",14,19.3669583333333
"27","Gordon","F","Houston Rockets","2018-12-13","LAL",15,23.1458333333333
"28","Gordon","F","Houston Rockets","2018-12-15","MEM",4,22.192875
"29","Gordon","F","Houston Rockets","2018-12-17","UTA",16,17.9495
"30","Gordon","F","Houston Rockets","2018-12-19","WAS",24,20.9514166666667
"31","Gordon","F","Houston Rockets","2018-12-20","MIA",30,26.6045
"32","Gordon","F","Houston Rockets","2018-12-22","SAS",26,30.532375
"33","Gordon","F","Houston Rockets","2018-12-25","OKC",23,28.8100833333333
"34","Gordon","F","Houston Rockets","2018-12-27","BOS",24,27.8102916666667
"35","Gordon","F","Houston Rockets","2018-12-29","NOP",25,23.8098333333333
"44","Gordon","F","Houston Rockets","2019-01-16","BRK",28,25.363
"45","Gordon","F","Houston Rockets","2019-01-19","LAL",40,23.5979583333333
"46","Gordon","F","Houston Rockets","2019-01-21","PHI",12,28.4118333333333
"47","Gordon","F","Houston Rockets","2019-01-23","NYK",26,17.4144166666667
"48","Gordon","F","Houston Rockets","2019-01-25","TOR",28,28.0098333333333
"49","Gordon","F","Houston Rockets","2019-01-27","ORL",24,24.0452916666667
"50","Gordon","F","Houston Rockets","2019-01-29","NOP",25,29.4452083333333
"51","Gordon","F","Houston Rockets","2019-02-01","DEN",21,24.991375
"52","Gordon","F","Houston Rockets","2019-02-02","UTA",11,24.9707083333333
"54","Gordon","F","Houston Rockets","2019-02-06","SAC",28,19.6179583333333
"55","Gordon","F","Houston Rockets","2019-02-09","OKC",19,27.0185416666667
"56","Gordon","F","Houston Rockets","2019-02-11","DAL",26,25.9294583333334
"57","Gordon","F","Houston Rockets","2019-02-13","MIN",19,27.5453333333333
"58","Gordon","F","Houston Rockets","2019-02-21","LAL",22,28.121
"59","Gordon","F","Houston Rockets","2019-02-23","GSW",33,26.800375
"60","Gordon","F","Houston Rockets","2019-02-25","ATL",24,26.4105
"61","Gordon","F","Houston Rockets","2019-02-27","CHO",6,28.4615
"63","Gordon","F","Houston Rockets","2019-03-03","BOS",48,18.3898333333333
"64","Gordon","F","Houston Rockets","2019-03-05","TOR",19,18.43125
"65","Gordon","F","Houston Rockets","2019-03-08","PHI",27,28.0356666666667
"66","Gordon","F","Houston Rockets","2019-03-10","DAL",36,25.8858333333333
"67","Gordon","F","Houston Rockets","2019-03-11","CHO",32,24.2959583333333
"68","Gordon","F","Houston Rockets","2019-03-13","GSW",23,28.8524166666667
"69","Gordon","F","Houston Rockets","2019-03-15","PHO",25,27.9739583333333
"70","Gordon","F","Houston Rockets","2019-03-17","MIN",20,27.4970833333333
"71","Gordon","F","Houston Rockets","2019-03-19","ATL",20,23.8665
"73","Gordon","F","Houston Rockets","2019-03-22","SAS",18,25.487875
"74","Gordon","F","Houston Rockets","2019-03-24","NOP",30,22.946875
"75","Gordon","F","Houston Rockets","2019-03-26","MIL",0,23.7635833333333
"76","Gordon","F","Houston Rockets","2019-03-28","DEN",26,17.8255416666667
"77","Gordon","F","Houston Rockets","2019-03-30","SAC",27,23.2445416666667
"78","Gordon","F","Houston Rockets","2019-04-02","SAC",29,25.60725
"79","Gordon","F","Houston Rockets","2019-04-03","LAC",25,24.5847916666667
"80","Gordon","F","Houston Rockets","2019-04-05","NYK",19,27.1330416666667
"81","Gordon","F","Houston Rockets","2019-04-07","PHO",42,23.0708333333333
