"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Gortat","C","Los Angeles Clippers","17-10-18","DEN",6,NA
"2","Gortat","C","Los Angeles Clippers","19-10-18","OKC",4,7.60935181794553
"3","Gortat","C","Los Angeles Clippers","21-10-18","HOU",8,7.06100004857051
"4","Gortat","C","Los Angeles Clippers","23-10-18","NOP",0,7.00603447940924
"5","Gortat","C","Los Angeles Clippers","26-10-18","HOU",0,7.69739515226537
"6","Gortat","C","Los Angeles Clippers","28-10-18","WAS",4,8.24729017480591
"7","Gortat","C","Los Angeles Clippers","30-10-18","OKC",7,7.91709229036696
"8","Gortat","C","Los Angeles Clippers","01-11-18","PHI",0,7.07580963250162
"12","Gortat","C","Los Angeles Clippers","10-11-18","MIL",6,9.08612177461072
"13","Gortat","C","Los Angeles Clippers","12-11-18","GSW",12,7.37725281553421
"14","Gortat","C","Los Angeles Clippers","15-11-18","SAS",7,7.46726744139669
"15","Gortat","C","Los Angeles Clippers","17-11-18","BRK",10,6.98328126443897
"16","Gortat","C","Los Angeles Clippers","19-11-18","ATL",5,7.95205426239133
"17","Gortat","C","Los Angeles Clippers","20-11-18","WAS",9,7.39504096918291
"18","Gortat","C","Los Angeles Clippers","23-11-18","MEM",6,7.78559406442118
"19","Gortat","C","Los Angeles Clippers","25-11-18","POR",6,7.43629714651968
"21","Gortat","C","Los Angeles Clippers","29-11-18","SAC",9,7.32371240210159
"22","Gortat","C","Los Angeles Clippers","02-12-18","DAL",4,7.47059464239106
"23","Gortat","C","Los Angeles Clippers","03-12-18","NOP",4,7.44044032125645
"24","Gortat","C","Los Angeles Clippers","05-12-18","MEM",2,7.0977710244847
"27","Gortat","C","Los Angeles Clippers","11-12-18","TOR",7,8.13109618426318
"28","Gortat","C","Los Angeles Clippers","13-12-18","SAS",2,6.73748981727529
"29","Gortat","C","Los Angeles Clippers","15-12-18","OKC",5,7.0099966968787
"30","Gortat","C","Los Angeles Clippers","17-12-18","POR",0,7.82451916591582
"31","Gortat","C","Los Angeles Clippers","20-12-18","DAL",4,7.63038153918864
"32","Gortat","C","Los Angeles Clippers","22-12-18","DEN",4,8.0352665652302
"33","Gortat","C","Los Angeles Clippers","23-12-18","GSW",2,7.70306011502293
"35","Gortat","C","Los Angeles Clippers","28-12-18","LAL",2,6.79102040486082
"36","Gortat","C","Los Angeles Clippers","29-12-18","SAS",2,8.20904617947413
"37","Gortat","C","Los Angeles Clippers","01-01-19","PHI",6,7.3927553727097
"38","Gortat","C","Los Angeles Clippers","04-01-19","PHO",18,7.01669263565169
"39","Gortat","C","Los Angeles Clippers","06-01-19","ORL",8,8.52675589927717
"40","Gortat","C","Los Angeles Clippers","08-01-19","CHO",4,8.47085207554564
"41","Gortat","C","Los Angeles Clippers","10-01-19","DEN",6,8.43894243364204
"42","Gortat","C","Los Angeles Clippers","12-01-19","DET",4,8.07524305885682
"43","Gortat","C","Los Angeles Clippers","14-01-19","NOP",7,7.4950634695674
"44","Gortat","C","Los Angeles Clippers","16-01-19","UTA",4,7.08658940955866
"45","Gortat","C","Los Angeles Clippers","18-01-19","GSW",6,8.02930165682006
"46","Gortat","C","Los Angeles Clippers","20-01-19","SAS",3,7.63440531996735
"47","Gortat","C","Los Angeles Clippers","22-01-19","DAL",0,6.40090778092879
"48","Gortat","C","Los Angeles Clippers","23-01-19","MIA",10,7.24528159648398
"49","Gortat","C","Los Angeles Clippers","25-01-19","CHI",4,7.65237724835261
"50","Gortat","C","Los Angeles Clippers","27-01-19","SAC",4,6.95259276287219
"51","Gortat","C","Los Angeles Clippers","28-01-19","ATL",10,7.65027156382975
"52","Gortat","C","Los Angeles Clippers","31-01-19","LAL",2,8.13161401214319
"53","Gortat","C","Los Angeles Clippers","02-02-19","DET",0,8.55127200862245
