"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Graham","SG","Brooklyn Nets","2018-10-17","DET",0,NA
"2","Graham","SG","Brooklyn Nets","2018-10-19","NYK",0,7.14275
"40","Graham","SG","Brooklyn Nets","2019-01-04","MEM",2,3.15079166666667
"41","Graham","SG","Brooklyn Nets","2019-01-06","CHI",0,3.9585
"42","Graham","SG","Brooklyn Nets","2019-01-07","BOS",11,2.85508333333333
"43","Graham","SG","Brooklyn Nets","2019-01-09","ATL",5,5.29216666666667
"44","Graham","SG","Brooklyn Nets","2019-01-11","TOR",7,6.89683333333333
"45","Graham","SG","Brooklyn Nets","2019-01-14","BOS",0,2.628375
"46","Graham","SG","Brooklyn Nets","2019-01-16","HOU",27,3.67283333333333
"47","Graham","SG","Brooklyn Nets","2019-01-18","ORL",8,9.50925
"48","Graham","SG","Brooklyn Nets","2019-01-21","SAC",10,3.846125
"49","Graham","SG","Brooklyn Nets","2019-01-23","ORL",7,11.3327083333333
"50","Graham","SG","Brooklyn Nets","2019-01-25","NYK",7,4.322625
"52","Graham","SG","Brooklyn Nets","2019-01-29","CHI",3,4.76029166666667
"53","Graham","SG","Brooklyn Nets","2019-01-31","SAS",3,4.96020833333334
"54","Graham","SG","Brooklyn Nets","2019-02-02","ORL",5,3.11791666666667
"55","Graham","SG","Brooklyn Nets","2019-02-04","MIL",9,3.01041666666667
"56","Graham","SG","Brooklyn Nets","2019-02-06","DEN",24,5.11116666666667
"57","Graham","SG","Brooklyn Nets","2019-02-08","CHI",10,5.152
"58","Graham","SG","Brooklyn Nets","2019-02-11","TOR",10,3.65675
"60","Graham","SG","Brooklyn Nets","2019-02-21","POR",0,3.00783333333333
"61","Graham","SG","Brooklyn Nets","2019-02-23","CHO",9,2.51358333333333
"62","Graham","SG","Brooklyn Nets","2019-02-25","SAS",10,3.14625
"63","Graham","SG","Brooklyn Nets","2019-02-27","WAS",6,5.025375
"64","Graham","SG","Brooklyn Nets","2019-03-01","CHO",7,3.543875
"65","Graham","SG","Brooklyn Nets","2019-03-02","MIA",12,2.491375
"71","Graham","SG","Brooklyn Nets","2019-03-16","UTA",5,6.41858333333333
"72","Graham","SG","Brooklyn Nets","2019-03-17","LAC",2,3.31416666666667
"73","Graham","SG","Brooklyn Nets","2019-03-19","SAC",0,4.023875
"76","Graham","SG","Brooklyn Nets","2019-03-28","PHI",2,4.26229166666667
"77","Graham","SG","Brooklyn Nets","2019-03-30","BOS",7,4.06083333333333
"79","Graham","SG","Brooklyn Nets","2019-04-03","TOR",5,5.37066666666667
"80","Graham","SG","Brooklyn Nets","2019-04-06","MIL",15,3.16420833333333
"81","Graham","SG","Brooklyn Nets","2019-04-07","IND",15,8.32254166666666
