"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Green","SG","Toronto Raptors","2018-10-17","CLE",17,NA
"2","Green","SG","Toronto Raptors","2018-10-19","BOS",22,12.1271245186376
"3","Green","SG","Toronto Raptors","2018-10-20","WAS",7,10.684371540325
"4","Green","SG","Toronto Raptors","2018-10-22","CHO",24,11.695630711759
"5","Green","SG","Toronto Raptors","2018-10-24","MIN",10,10.8096687614318
"6","Green","SG","Toronto Raptors","2018-10-26","DAL",23,12.6552400536555
"7","Green","SG","Toronto Raptors","2018-10-29","MIL",12,11.2600810435941
"8","Green","SG","Toronto Raptors","2018-10-30","PHI",14,8.84763884930429
"9","Green","SG","Toronto Raptors","2018-11-02","PHO",12,10.3158109288033
"10","Green","SG","Toronto Raptors","2018-11-04","LAL",25,12.123781634024
"11","Green","SG","Toronto Raptors","2018-11-05","UTA",9,10.7896170687203
"12","Green","SG","Toronto Raptors","2018-11-07","SAC",10,10.6160562097407
"13","Green","SG","Toronto Raptors","2018-11-10","NYK",15,11.429272799934
"14","Green","SG","Toronto Raptors","2018-11-12","NOP",5,11.1570449872485
"15","Green","SG","Toronto Raptors","2018-11-14","DET",7,10.5540137857788
"16","Green","SG","Toronto Raptors","2018-11-16","BOS",17,9.06183343834845
"17","Green","SG","Toronto Raptors","2018-11-17","CHI",23,11.7783863470869
"18","Green","SG","Toronto Raptors","2018-11-20","ORL",19,9.58692846950695
"19","Green","SG","Toronto Raptors","2018-11-21","ATL",10,11.2986414211191
"20","Green","SG","Toronto Raptors","2018-11-23","WAS",15,11.6352669887162
"21","Green","SG","Toronto Raptors","2018-11-25","MIA",4,13.051816535145
"22","Green","SG","Toronto Raptors","2018-11-27","MEM",22,12.4729014259164
"23","Green","SG","Toronto Raptors","2018-11-29","GSW",19,9.3041519561049
"24","Green","SG","Toronto Raptors","2018-12-01","CLE",21,15.0435248571879
"25","Green","SG","Toronto Raptors","2018-12-03","DEN",15,10.6390118743374
"26","Green","SG","Toronto Raptors","2018-12-05","PHI",7,13.9881501390411
"27","Green","SG","Toronto Raptors","2018-12-07","BRK",2,10.5912233587351
"28","Green","SG","Toronto Raptors","2018-12-09","MIL",12,13.6077568081074
"29","Green","SG","Toronto Raptors","2018-12-11","LAC",9,11.4967370223376
"30","Green","SG","Toronto Raptors","2018-12-12","GSW",17,11.1784131453374
"31","Green","SG","Toronto Raptors","2018-12-14","POR",29,13.423499732824
"32","Green","SG","Toronto Raptors","2018-12-16","DEN",9,12.6810491703747
"33","Green","SG","Toronto Raptors","2018-12-19","IND",9,14.1183851413969
"35","Green","SG","Toronto Raptors","2018-12-22","PHI",11,12.1744592940145
"36","Green","SG","Toronto Raptors","2018-12-26","MIA",26,11.557105999121
"37","Green","SG","Toronto Raptors","2018-12-28","ORL",2,11.4723978730609
"38","Green","SG","Toronto Raptors","2018-12-30","CHI",14,10.6570602523483
"39","Green","SG","Toronto Raptors","2019-01-01","UTA",2,12.546982240594
"40","Green","SG","Toronto Raptors","2019-01-03","SAS",0,11.3123905512161
"41","Green","SG","Toronto Raptors","2019-01-05","MIL",16,11.4595562743818
"42","Green","SG","Toronto Raptors","2019-01-06","IND",25,9.80722532898706
"44","Green","SG","Toronto Raptors","2019-01-11","BRK",12,12.4122442509477
"45","Green","SG","Toronto Raptors","2019-01-13","WAS",22,9.85239423831
"46","Green","SG","Toronto Raptors","2019-01-16","BOS",21,12.5803220387101
"47","Green","SG","Toronto Raptors","2019-01-17","PHO",11,10.690122447098
"48","Green","SG","Toronto Raptors","2019-01-19","MEM",40,13.3506291238721
"49","Green","SG","Toronto Raptors","2019-01-22","SAC",10,9.15858706812512
"50","Green","SG","Toronto Raptors","2019-01-23","IND",14,11.4005970450019
"51","Green","SG","Toronto Raptors","2019-01-25","HOU",34,11.7245640031265
"52","Green","SG","Toronto Raptors","2019-01-27","DAL",14,13.5599021836054
"53","Green","SG","Toronto Raptors","2019-01-31","MIL",0,10.4773716132583
"54","Green","SG","Toronto Raptors","2019-02-03","LAC",4,11.9097451344951
"55","Green","SG","Toronto Raptors","2019-02-05","PHI",2,11.8389506960907
"56","Green","SG","Toronto Raptors","2019-02-07","ATL",14,11.5189419247694
"57","Green","SG","Toronto Raptors","2019-02-09","NYK",22,10.9915685319797
"58","Green","SG","Toronto Raptors","2019-02-11","BRK",15,9.4646948507103
"59","Green","SG","Toronto Raptors","2019-02-13","WAS",14,11.2317346031881
"60","Green","SG","Toronto Raptors","2019-02-22","SAS",27,11.2265311340208
"61","Green","SG","Toronto Raptors","2019-02-24","ORL",14,9.48138779490378
"62","Green","SG","Toronto Raptors","2019-02-26","BOS",10,10.7994619257237
"63","Green","SG","Toronto Raptors","2019-03-01","POR",17,11.0700754115026
"64","Green","SG","Toronto Raptors","2019-03-03","DET",10,10.4998101503261
"65","Green","SG","Toronto Raptors","2019-03-05","HOU",22,9.90595721719689
"66","Green","SG","Toronto Raptors","2019-03-08","NOP",19,10.6085666948792
"67","Green","SG","Toronto Raptors","2019-03-10","MIA",25,10.8225482940665
"68","Green","SG","Toronto Raptors","2019-03-11","CLE",7,12.5543306648062
"69","Green","SG","Toronto Raptors","2019-03-14","LAL",5,11.4260172647485
"70","Green","SG","Toronto Raptors","2019-03-17","DET",20,12.1113524033016
"71","Green","SG","Toronto Raptors","2019-03-18","NYK",19,8.96355426490721
"72","Green","SG","Toronto Raptors","2019-03-20","OKC",27,9.72983943344237
"73","Green","SG","Toronto Raptors","2019-03-22","OKC",31,12.7401090714841
"74","Green","SG","Toronto Raptors","2019-03-24","CHO",2,12.5623232531358
"75","Green","SG","Toronto Raptors","2019-03-26","CHI",12,10.9352685861928
"76","Green","SG","Toronto Raptors","2019-03-28","NYK",25,10.4570631276618
"77","Green","SG","Toronto Raptors","2019-03-30","CHI",12,11.2406976239636
"78","Green","SG","Toronto Raptors","2019-04-01","ORL",43,10.7650731927386
"79","Green","SG","Toronto Raptors","2019-04-03","BRK",2,9.628790947579
"80","Green","SG","Toronto Raptors","2019-04-05","CHO",12,11.0346558930994
"81","Green","SG","Toronto Raptors","2019-04-07","MIA",31,10.8971432672579
