"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Griffin","F","Detroit Pistons","2018-10-17","BRK",28,NA
"2","Griffin","F","Detroit Pistons","2018-10-20","CHI",43,24.2294591462856
"3","Griffin","F","Detroit Pistons","2018-10-23","PHI",60,26.0009314547703
"4","Griffin","F","Detroit Pistons","2018-10-25","CLE",34,24.6895474422642
"5","Griffin","F","Detroit Pistons","2018-10-27","BOS",7,26.5779889219708
"6","Griffin","F","Detroit Pistons","2018-10-30","BOS",24,22.0818486410029
"7","Griffin","F","Detroit Pistons","2018-10-31","BRK",33,23.1057981280114
"8","Griffin","F","Detroit Pistons","2018-11-03","PHI",42,27.7308498373111
"9","Griffin","F","Detroit Pistons","2018-11-05","MIA",28,25.210218350662
"10","Griffin","F","Detroit Pistons","2018-11-07","ORL",22,25.5429515842909
"11","Griffin","F","Detroit Pistons","2018-11-09","ATL",8,26.9283688919596
"12","Griffin","F","Detroit Pistons","2018-11-11","CHO",10,23.5543107519617
"13","Griffin","F","Detroit Pistons","2018-11-14","TOR",36,21.48623087386
"14","Griffin","F","Detroit Pistons","2018-11-19","CLE",25,26.6743946231698
"15","Griffin","F","Detroit Pistons","2018-11-21","HOU",49,27.5696223736546
"16","Griffin","F","Detroit Pistons","2018-11-23","HOU",32,24.963875610955
"17","Griffin","F","Detroit Pistons","2018-11-25","PHO",20,25.3321852545507
"18","Griffin","F","Detroit Pistons","2018-11-27","NYK",30,25.0469866453152
"19","Griffin","F","Detroit Pistons","2018-11-30","CHI",24,22.9614156217312
"20","Griffin","F","Detroit Pistons","2018-12-01","GSW",30,23.2661461970072
"21","Griffin","F","Detroit Pistons","2018-12-03","OKC",26,25.1775667915543
"22","Griffin","F","Detroit Pistons","2018-12-05","MIL",39,25.1300110883326
"23","Griffin","F","Detroit Pistons","2018-12-07","PHI",31,25.4391214115668
"24","Griffin","F","Detroit Pistons","2018-12-09","NOP",43,23.6903807535367
"26","Griffin","F","Detroit Pistons","2018-12-12","CHO",32,27.8484823137038
"27","Griffin","F","Detroit Pistons","2018-12-15","BOS",29,24.8747294524439
"28","Griffin","F","Detroit Pistons","2018-12-17","MIL",23,25.4950660554712
"29","Griffin","F","Detroit Pistons","2018-12-19","MIN",44,25.2461739335519
"30","Griffin","F","Detroit Pistons","2018-12-21","CHO",23,25.8152019556329
"31","Griffin","F","Detroit Pistons","2018-12-23","ATL",17,23.9844341843383
"32","Griffin","F","Detroit Pistons","2018-12-26","WAS",31,24.2002756471023
"33","Griffin","F","Detroit Pistons","2018-12-28","IND",24,27.4631994747983
"34","Griffin","F","Detroit Pistons","2018-12-30","ORL",17,24.3876030892415
"35","Griffin","F","Detroit Pistons","2019-01-01","MIL",37,24.8059081395616
"36","Griffin","F","Detroit Pistons","2019-01-02","MEM",30,26.8721896417332
"37","Griffin","F","Detroit Pistons","2019-01-05","UTA",40,26.452182891159
"38","Griffin","F","Detroit Pistons","2019-01-07","SAS",38,27.3410198362295
"39","Griffin","F","Detroit Pistons","2019-01-09","LAL",20,25.2300482816709
"41","Griffin","F","Detroit Pistons","2019-01-12","LAC",54,23.9514240382932
"42","Griffin","F","Detroit Pistons","2019-01-14","UTA",25,25.814751573732
"43","Griffin","F","Detroit Pistons","2019-01-16","ORL",32,26.2118123024155
"44","Griffin","F","Detroit Pistons","2019-01-18","MIA",38,24.5281418772047
"45","Griffin","F","Detroit Pistons","2019-01-19","SAC",40,25.829442252381
"46","Griffin","F","Detroit Pistons","2019-01-21","WAS",37,25.4384106253957
"47","Griffin","F","Detroit Pistons","2019-01-23","NOP",45,26.3617270910162
"48","Griffin","F","Detroit Pistons","2019-01-25","DAL",41,26.7325528308791
"49","Griffin","F","Detroit Pistons","2019-01-29","MIL",24,26.3045355992301
"50","Griffin","F","Detroit Pistons","2019-01-31","DAL",28,23.9602693517958
