"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Hardaway","SG","New York Knicks","2018-10-17","ATL",37,NA
"2","Hardaway","SG","New York Knicks","2018-10-19","BRK",35,22.0807006641278
"3","Hardaway","SG","New York Knicks","2018-10-20","BOS",34,20.4349104518289
"4","Hardaway","SG","New York Knicks","2018-10-22","MIL",30,21.485606162465
"5","Hardaway","SG","New York Knicks","2018-10-24","MIA",18,21.7365272037045
"6","Hardaway","SG","New York Knicks","2018-10-26","GSW",32,22.6632724589136
"7","Hardaway","SG","New York Knicks","2018-10-29","BRK",31,19.0628703545852
"8","Hardaway","SG","New York Knicks","2018-10-31","IND",51,23.0324091769599
"9","Hardaway","SG","New York Knicks","2018-11-02","DAL",26,17.9233733766234
"10","Hardaway","SG","New York Knicks","2018-11-04","WAS",9,25.6588786760024
"12","Hardaway","SG","New York Knicks","2018-11-07","ATL",38,23.787144169659
"13","Hardaway","SG","New York Knicks","2018-11-10","TOR",31,19.768342597925
"14","Hardaway","SG","New York Knicks","2018-11-11","ORL",7,23.110453608672
"15","Hardaway","SG","New York Knicks","2018-11-14","OKC",26,20.9520790352063
"16","Hardaway","SG","New York Knicks","2018-11-16","NOP",38,22.7683385717482
"17","Hardaway","SG","New York Knicks","2018-11-18","ORL",42,22.18512394348
"18","Hardaway","SG","New York Knicks","2018-11-20","POR",38,18.9068586227498
"19","Hardaway","SG","New York Knicks","2018-11-21","BOS",29,21.8798789321789
"20","Hardaway","SG","New York Knicks","2018-11-23","NOP",9,22.1933741861338
"21","Hardaway","SG","New York Knicks","2018-11-25","MEM",28,22.7940860124396
"22","Hardaway","SG","New York Knicks","2018-11-27","DET",23,21.8644538720309
"23","Hardaway","SG","New York Knicks","2018-11-28","PHI",5,19.8154495874267
"24","Hardaway","SG","New York Knicks","2018-12-01","MIL",27,20.8892634976994
"25","Hardaway","SG","New York Knicks","2018-12-03","WAS",28,23.3077164957849
"26","Hardaway","SG","New York Knicks","2018-12-06","BOS",34,18.6319292516565
"27","Hardaway","SG","New York Knicks","2018-12-08","BRK",7,17.1579422502334
"28","Hardaway","SG","New York Knicks","2018-12-09","CHO",27,21.7319311320259
"29","Hardaway","SG","New York Knicks","2018-12-12","CLE",28,21.7357782035818
"30","Hardaway","SG","New York Knicks","2018-12-14","CHO",14,22.9985607635055
"31","Hardaway","SG","New York Knicks","2018-12-16","IND",21,25.4367823474771
"33","Hardaway","SG","New York Knicks","2018-12-19","PHI",33,19.7643887371658
"34","Hardaway","SG","New York Knicks","2018-12-21","ATL",17,24.1385693731965
"35","Hardaway","SG","New York Knicks","2018-12-25","MIL",16,24.8118177627326
"37","Hardaway","SG","New York Knicks","2018-12-29","UTA",22,24.2674466025203
"38","Hardaway","SG","New York Knicks","2019-01-01","DEN",18,18.2178548055144
"39","Hardaway","SG","New York Knicks","2019-01-04","LAL",28,19.8548517684929
"40","Hardaway","SG","New York Knicks","2019-01-07","POR",7,20.5289271467095
"41","Hardaway","SG","New York Knicks","2019-01-08","GSW",17,24.1303167287992
"42","Hardaway","SG","New York Knicks","2019-01-11","IND",16,21.1724361674273
"44","Hardaway","SG","New York Knicks","2019-01-17","WAS",12,25.3767832021779
"45","Hardaway","SG","New York Knicks","2019-01-21","OKC",31,20.1792088871912
"46","Hardaway","SG","New York Knicks","2019-01-23","HOU",29,20.9127102667199
"47","Hardaway","SG","New York Knicks","2019-01-25","BRK",10,21.2618504607364
"48","Hardaway","SG","New York Knicks","2019-01-27","MIA",26,25.5920016511524
"49","Hardaway","SG","New York Knicks","2019-01-28","CHO",21,23.4479625858661
"50","Hardaway","SG","New York Knicks","2019-01-30","DAL",8,21.9798207577768
"52","Hardaway","SG","New York Knicks","2019-02-06","CHO",16,24.7424530398566
"53","Hardaway","SG","New York Knicks","2019-02-08","MIL",14,25.1144541431049
"54","Hardaway","SG","New York Knicks","2019-02-10","POR",28,22.3876997196646
"55","Hardaway","SG","New York Knicks","2019-02-11","HOU",14,23.1867312250873
"56","Hardaway","SG","New York Knicks","2019-02-13","MIA",28,24.957862121298
"57","Hardaway","SG","New York Knicks","2019-02-22","DEN",17,22.1001977347214
"58","Hardaway","SG","New York Knicks","2019-02-23","UTA",25,23.5999216034224
"59","Hardaway","SG","New York Knicks","2019-02-25","LAC",28,21.7436762183121
"60","Hardaway","SG","New York Knicks","2019-02-27","IND",28,22.531474682507
"61","Hardaway","SG","New York Knicks","2019-03-02","MEM",14,23.2289931161202
"62","Hardaway","SG","New York Knicks","2019-03-04","BRK",7,23.2242594885507
"63","Hardaway","SG","New York Knicks","2019-03-06","WAS",21,25.6361619744892
"64","Hardaway","SG","New York Knicks","2019-03-08","ORL",17,24.5919454002138
"65","Hardaway","SG","New York Knicks","2019-03-10","HOU",15,24.0175888825485
"66","Hardaway","SG","New York Knicks","2019-03-12","SAS",14,22.78572927908
"67","Hardaway","SG","New York Knicks","2019-03-14","DEN",23,25.6042110270706
"68","Hardaway","SG","New York Knicks","2019-03-16","CLE",30,24.4448178072186
"69","Hardaway","SG","New York Knicks","2019-03-18","NOP",27,23.4176401432761
