"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Harden","SG","Houston Rockets","2018-10-17","NOP",24,NA
"2","Harden","SG","Houston Rockets","2018-10-20","LAL",46,37.9197324519674
"3","Harden","SG","Houston Rockets","2018-10-21","LAC",39,38.4294822260029
"4","Harden","SG","Houston Rockets","2018-10-24","UTA",35,38.8986168672597
"8","Harden","SG","Houston Rockets","2018-11-03","CHI",35,37.8539471539321
"9","Harden","SG","Houston Rockets","2018-11-05","IND",38,37.5317854526426
"10","Harden","SG","Houston Rockets","2018-11-08","OKC",27,36.8690016570731
"11","Harden","SG","Houston Rockets","2018-11-10","SAS",27,38.9701324091531
"12","Harden","SG","Houston Rockets","2018-11-11","IND",56,35.7495851806923
"13","Harden","SG","Houston Rockets","2018-11-13","DEN",26,35.8447513426423
"14","Harden","SG","Houston Rockets","2018-11-15","GSW",35,36.2754385831379
"15","Harden","SG","Houston Rockets","2018-11-17","SAC",42,36.8390160157303
"16","Harden","SG","Houston Rockets","2018-11-21","DET",51,37.4301834157906
"17","Harden","SG","Houston Rockets","2018-11-23","DET",39,36.8494680152763
"18","Harden","SG","Houston Rockets","2018-11-24","CLE",50,36.5309183969748
"19","Harden","SG","Houston Rockets","2018-11-26","WAS",68,36.2019149361499
"20","Harden","SG","Houston Rockets","2018-11-28","DAL",33,38.439548411071
"21","Harden","SG","Houston Rockets","2018-11-30","SAS",29,33.7140874144653
"22","Harden","SG","Houston Rockets","2018-12-01","CHI",42,34.5462891385974
"23","Harden","SG","Houston Rockets","2018-12-03","MIN",35,39.2556303854875
"24","Harden","SG","Houston Rockets","2018-12-06","UTA",19,36.7762519571072
"25","Harden","SG","Houston Rockets","2018-12-08","DAL",47,39.9370817019239
"26","Harden","SG","Houston Rockets","2018-12-11","POR",37,35.8730696790678
"27","Harden","SG","Houston Rockets","2018-12-13","LAL",58,35.9385529311958
"28","Harden","SG","Houston Rockets","2018-12-15","MEM",38,39.6191183478176
"29","Harden","SG","Houston Rockets","2018-12-17","UTA",55,40.1893164177093
"30","Harden","SG","Houston Rockets","2018-12-19","WAS",47,38.2030103098656
"31","Harden","SG","Houston Rockets","2018-12-20","MIA",47,37.4157924642192
"32","Harden","SG","Houston Rockets","2018-12-22","SAS",53,37.7539836266491
"33","Harden","SG","Houston Rockets","2018-12-25","OKC",51,34.8168785333297
"34","Harden","SG","Houston Rockets","2018-12-27","BOS",63,38.2545434993161
"35","Harden","SG","Houston Rockets","2018-12-29","NOP",55,37.2683349824779
"36","Harden","SG","Houston Rockets","2018-12-31","MEM",55,35.8144784282134
"37","Harden","SG","Houston Rockets","2019-01-03","GSW",64,36.4036290130087
"38","Harden","SG","Houston Rockets","2019-01-05","POR",48,38.5294945561957
"39","Harden","SG","Houston Rockets","2019-01-07","DEN",44,36.3717837638552
"40","Harden","SG","Houston Rockets","2019-01-09","MIL",54,37.8963498644213
"41","Harden","SG","Houston Rockets","2019-01-11","CLE",59,37.0277724239003
"42","Harden","SG","Houston Rockets","2019-01-13","ORL",40,40.56970995671
"43","Harden","SG","Houston Rockets","2019-01-14","MEM",69,37.6813778792219
"44","Harden","SG","Houston Rockets","2019-01-16","BRK",68,38.7435931956515
"45","Harden","SG","Houston Rockets","2019-01-19","LAL",64,38.9566155133505
"46","Harden","SG","Houston Rockets","2019-01-21","PHI",49,39.7806764801615
"47","Harden","SG","Houston Rockets","2019-01-23","NYK",71,36.6495266141545
"48","Harden","SG","Houston Rockets","2019-01-25","TOR",39,38.5794635859129
"49","Harden","SG","Houston Rockets","2019-01-27","ORL",48,36.9651054448893
"50","Harden","SG","Houston Rockets","2019-01-29","NOP",49,35.7115639775847
