"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Harris","F","Brooklyn Nets","2018-10-17","DET",15,NA
"2","Harris","F","Brooklyn Nets","2018-10-19","NYK",17,13.9276384005679
"3","Harris","F","Brooklyn Nets","2018-10-20","IND",29,13.1550600314229
"4","Harris","F","Brooklyn Nets","2018-10-24","CLE",24,13.7061344316191
"5","Harris","F","Brooklyn Nets","2018-10-26","NOP",9,13.2407816781874
"6","Harris","F","Brooklyn Nets","2018-10-28","GSW",11,12.4617055129532
"7","Harris","F","Brooklyn Nets","2018-10-29","NYK",17,11.3661365082567
"8","Harris","F","Brooklyn Nets","2018-10-31","DET",31,14.5416106373313
"9","Harris","F","Brooklyn Nets","2018-11-02","HOU",26,12.9660846187911
"10","Harris","F","Brooklyn Nets","2018-11-04","PHI",17,12.8356883534158
"11","Harris","F","Brooklyn Nets","2018-11-06","PHO",13,12.8144010460384
"12","Harris","F","Brooklyn Nets","2018-11-09","DEN",15,13.2636491330039
"13","Harris","F","Brooklyn Nets","2018-11-10","GSW",32,12.275007591013
"14","Harris","F","Brooklyn Nets","2018-11-12","MIN",12,13.228998358835
"15","Harris","F","Brooklyn Nets","2018-11-14","MIA",13,12.1783735400257
"16","Harris","F","Brooklyn Nets","2018-11-16","WAS",11,14.008348871447
"17","Harris","F","Brooklyn Nets","2018-11-17","LAC",23,12.1783652251051
"18","Harris","F","Brooklyn Nets","2018-11-20","MIA",11,14.0096910275264
"19","Harris","F","Brooklyn Nets","2018-11-21","DAL",10,12.8227836209279
"20","Harris","F","Brooklyn Nets","2018-11-23","MIN",26,13.7343767279136
"21","Harris","F","Brooklyn Nets","2018-11-25","PHI",11,12.4465911608231
"22","Harris","F","Brooklyn Nets","2018-11-28","UTA",12,10.8668505008271
"26","Harris","F","Brooklyn Nets","2018-12-05","OKC",25,12.7884791484504
"27","Harris","F","Brooklyn Nets","2018-12-07","TOR",8,12.4846699229734
"28","Harris","F","Brooklyn Nets","2018-12-08","NYK",15,12.6566221283185
"29","Harris","F","Brooklyn Nets","2018-12-12","PHI",18,11.9140624117369
"30","Harris","F","Brooklyn Nets","2018-12-14","WAS",25,12.3442533908241
"31","Harris","F","Brooklyn Nets","2018-12-16","ATL",22,13.234395670766
"32","Harris","F","Brooklyn Nets","2018-12-18","LAL",25,12.0749121022672
"33","Harris","F","Brooklyn Nets","2018-12-19","CHI",17,12.7022841566428
"34","Harris","F","Brooklyn Nets","2018-12-21","IND",19,11.8157499225212
