"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Hezonja","F","New York Knicks","2018-10-17","ATL",21,NA
"2","Hezonja","F","New York Knicks","2018-10-19","BRK",2,16.78575
"3","Hezonja","F","New York Knicks","2018-10-20","BOS",2,9.73591666666667
"4","Hezonja","F","New York Knicks","2018-10-22","MIL",22,5.24916666666667
"5","Hezonja","F","New York Knicks","2018-10-24","MIA",17,12.9062916666667
"6","Hezonja","F","New York Knicks","2018-10-26","GSW",6,12.904625
"7","Hezonja","F","New York Knicks","2018-10-29","BRK",13,12.3785833333333
"8","Hezonja","F","New York Knicks","2018-10-31","IND",3,11.9822916666667
"9","Hezonja","F","New York Knicks","2018-11-02","DAL",13,6.753375
"10","Hezonja","F","New York Knicks","2018-11-04","WAS",14,9.43725
"11","Hezonja","F","New York Knicks","2018-11-05","CHI",17,16.7124583333333
"12","Hezonja","F","New York Knicks","2018-11-07","ATL",1,16.476
"13","Hezonja","F","New York Knicks","2018-11-10","TOR",13,7.66087500000001
"14","Hezonja","F","New York Knicks","2018-11-11","ORL",16,6.572375
"15","Hezonja","F","New York Knicks","2018-11-14","OKC",6,16.3280416666667
"18","Hezonja","F","New York Knicks","2018-11-20","POR",2,12.3672083333333
"19","Hezonja","F","New York Knicks","2018-11-21","BOS",5,6.17216666666667
"20","Hezonja","F","New York Knicks","2018-11-23","NOP",2,11.3586666666667
"21","Hezonja","F","New York Knicks","2018-11-25","MEM",4,8.85754166666666
"22","Hezonja","F","New York Knicks","2018-11-27","DET",7,7.89725
"23","Hezonja","F","New York Knicks","2018-11-28","PHI",21,10.8998333333333
"24","Hezonja","F","New York Knicks","2018-12-01","MIL",2,15.65225
"25","Hezonja","F","New York Knicks","2018-12-03","WAS",11,7.892375
"26","Hezonja","F","New York Knicks","2018-12-06","BOS",3,12.569875
"27","Hezonja","F","New York Knicks","2018-12-08","BRK",18,8.66854166666667
"28","Hezonja","F","New York Knicks","2018-12-09","CHO",0,13.1242083333333
"29","Hezonja","F","New York Knicks","2018-12-12","CLE",2,6.34891666666667
"30","Hezonja","F","New York Knicks","2018-12-14","CHO",7,3.92529166666667
"31","Hezonja","F","New York Knicks","2018-12-16","IND",2,8.78729166666666
"32","Hezonja","F","New York Knicks","2018-12-17","PHO",16,6.814
"33","Hezonja","F","New York Knicks","2018-12-19","PHI",2,10.9068333333333
"37","Hezonja","F","New York Knicks","2018-12-29","UTA",0,6.61679166666667
"39","Hezonja","F","New York Knicks","2019-01-04","LAL",12,2.97295833333333
"40","Hezonja","F","New York Knicks","2019-01-07","POR",14,11.8369166666667
"41","Hezonja","F","New York Knicks","2019-01-08","GSW",21,12.5959583333333
"42","Hezonja","F","New York Knicks","2019-01-11","IND",12,14.67025
"43","Hezonja","F","New York Knicks","2019-01-13","PHI",9,16.8605416666667
"44","Hezonja","F","New York Knicks","2019-01-17","WAS",0,9.46316666666666
"45","Hezonja","F","New York Knicks","2019-01-21","OKC",5,8.87179166666667
"48","Hezonja","F","New York Knicks","2019-01-27","MIA",14,6.9565
"49","Hezonja","F","New York Knicks","2019-01-28","CHO",9,13.745
"50","Hezonja","F","New York Knicks","2019-01-30","DAL",15,13.0075
"51","Hezonja","F","New York Knicks","2019-02-01","BOS",10,12.471875
"52","Hezonja","F","New York Knicks","2019-02-03","MEM",18,11.3195833333333
"54","Hezonja","F","New York Knicks","2019-02-08","DET",8,10.743875
"55","Hezonja","F","New York Knicks","2019-02-09","TOR",9,11.0997916666667
"56","Hezonja","F","New York Knicks","2019-02-11","CLE",7,11.446125
"57","Hezonja","F","New York Knicks","2019-02-13","PHI",0,11.859875
"70","Hezonja","F","New York Knicks","2019-03-17","LAL",19,6.07554166666667
"71","Hezonja","F","New York Knicks","2019-03-18","TOR",8,17.39275
"72","Hezonja","F","New York Knicks","2019-03-20","UTA",31,11.7015
"73","Hezonja","F","New York Knicks","2019-03-22","DEN",7,14.7840833333333
"74","Hezonja","F","New York Knicks","2019-03-24","LAC",6,12.33225
"75","Hezonja","F","New York Knicks","2019-03-28","TOR",8,12.036625
"78","Hezonja","F","New York Knicks","2019-04-03","ORL",31,12.1195833333333
"79","Hezonja","F","New York Knicks","2019-04-05","HOU",16,13.90625
"80","Hezonja","F","New York Knicks","2019-04-07","WAS",36,12.1425
