"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Hield","SG","Sacramento Kings","2018-10-17","UTA",21,NA
"2","Hield","SG","Sacramento Kings","2018-10-19","NOP",23,18.29825
"3","Hield","SG","Sacramento Kings","2018-10-21","OKC",21,NA
"4","Hield","SG","Sacramento Kings","2018-10-23","DEN",7,19.3653333333333
"5","Hield","SG","Sacramento Kings","2018-10-24","MEM",29,NA
"6","Hield","SG","Sacramento Kings","2018-10-26","WAS",26,NA
"7","Hield","SG","Sacramento Kings","2018-10-29","MIA",31,18.4129583333333
"8","Hield","SG","Sacramento Kings","2018-10-30","ORL",27,19.4011666666667
"9","Hield","SG","Sacramento Kings","2018-11-01","ATL",37,19.8197916666667
"10","Hield","SG","Sacramento Kings","2018-11-04","MIL",23,17.2556666666667
"11","Hield","SG","Sacramento Kings","2018-11-07","TOR",30,13.2580833333333
"12","Hield","SG","Sacramento Kings","2018-11-09","MIN",21,15.2345416666667
"13","Hield","SG","Sacramento Kings","2018-11-10","LAL",14,NA
"14","Hield","SG","Sacramento Kings","2018-11-12","SAS",18,14.68775
"15","Hield","SG","Sacramento Kings","2018-11-16","MEM",20,16.9439583333333
"16","Hield","SG","Sacramento Kings","2018-11-17","HOU",29,16.7094166666667
"17","Hield","SG","Sacramento Kings","2018-11-19","OKC",35,NA
"18","Hield","SG","Sacramento Kings","2018-11-21","UTA",14,18.6555416666667
"19","Hield","SG","Sacramento Kings","2018-11-24","GSW",36,NA
"20","Hield","SG","Sacramento Kings","2018-11-25","UTA",16,11.39975
"21","Hield","SG","Sacramento Kings","2018-11-29","LAC",10,NA
"22","Hield","SG","Sacramento Kings","2018-12-01","IND",22,12.0520416666667
"23","Hield","SG","Sacramento Kings","2018-12-04","PHO",26,14.8411666666667
"24","Hield","SG","Sacramento Kings","2018-12-07","CLE",35,15.4273333333333
"25","Hield","SG","Sacramento Kings","2018-12-08","IND",28,17.3342083333333
"26","Hield","SG","Sacramento Kings","2018-12-10","CHI",22,NA
"27","Hield","SG","Sacramento Kings","2018-12-12","MIN",30,NA
"28","Hield","SG","Sacramento Kings","2018-12-14","GSW",37,14.0630833333333
"29","Hield","SG","Sacramento Kings","2018-12-16","DAL",34,NA
"30","Hield","SG","Sacramento Kings","2018-12-17","MIN",31,16.9944166666667
"31","Hield","SG","Sacramento Kings","2018-12-19","OKC",51,14.3848333333333
"32","Hield","SG","Sacramento Kings","2018-12-21","MEM",40,12.4519583333333
"33","Hield","SG","Sacramento Kings","2018-12-23","NOP",40,13.1409583333333
"34","Hield","SG","Sacramento Kings","2018-12-26","LAC",11,18.2428333333333
"35","Hield","SG","Sacramento Kings","2018-12-27","LAL",6,14.1414166666667
"36","Hield","SG","Sacramento Kings","2018-12-30","LAL",29,18.02975
"37","Hield","SG","Sacramento Kings","2019-01-01","POR",37,16.1795
"38","Hield","SG","Sacramento Kings","2019-01-03","DEN",39,NA
"39","Hield","SG","Sacramento Kings","2019-01-05","GSW",48,NA
"40","Hield","SG","Sacramento Kings","2019-01-07","ORL",19,NA
"41","Hield","SG","Sacramento Kings","2019-01-08","PHO",22,NA
"42","Hield","SG","Sacramento Kings","2019-01-10","DET",22,16.0916666666667
"43","Hield","SG","Sacramento Kings","2019-01-12","CHO",31,NA
"44","Hield","SG","Sacramento Kings","2019-01-14","POR",23,NA
"45","Hield","SG","Sacramento Kings","2019-01-17","CHO",36,12.2245416666667
"46","Hield","SG","Sacramento Kings","2019-01-19","DET",49,NA
"47","Hield","SG","Sacramento Kings","2019-01-21","BRK",17,12.3176666666667
"48","Hield","SG","Sacramento Kings","2019-01-22","TOR",19,NA
"49","Hield","SG","Sacramento Kings","2019-01-25","MEM",38,15.0955416666667
"50","Hield","SG","Sacramento Kings","2019-01-27","LAC",20,14.3055
"51","Hield","SG","Sacramento Kings","2019-01-30","ATL",26,13.4797083333333
"52","Hield","SG","Sacramento Kings","2019-02-02","PHI",48,18.1395833333333
