"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Holiday","SG","New Orleans Pelicans","2018-10-17","HOU",10,NA
"2","Holiday","SG","New Orleans Pelicans","2018-10-19","SAC",15,18.0382158605721
"3","Holiday","SG","New Orleans Pelicans","2018-10-23","LAC",8,23.5814309714313
"4","Holiday","SG","New Orleans Pelicans","2018-10-26","BRK",32,20.5735390847214
"5","Holiday","SG","New Orleans Pelicans","2018-10-27","UTA",18,24.2804057506997
"6","Holiday","SG","New Orleans Pelicans","2018-10-29","DEN",20,23.5532250807255
"7","Holiday","SG","New Orleans Pelicans","2018-10-31","GSW",32,21.7453384922123
"8","Holiday","SG","New Orleans Pelicans","2018-11-01","POR",19,22.4890581693769
"9","Holiday","SG","New Orleans Pelicans","2018-11-03","SAS",29,22.7769186258658
"10","Holiday","SG","New Orleans Pelicans","2018-11-05","OKC",24,22.3242250058529
"11","Holiday","SG","New Orleans Pelicans","2018-11-07","CHI",19,21.7416553008512
"12","Holiday","SG","New Orleans Pelicans","2018-11-10","PHO",25,22.5728437543438
"13","Holiday","SG","New Orleans Pelicans","2018-11-12","TOR",35,24.6175051796083
"14","Holiday","SG","New Orleans Pelicans","2018-11-14","MIN",14,24.2063659638352
"15","Holiday","SG","New Orleans Pelicans","2018-11-16","NYK",30,18.2355692114357
"16","Holiday","SG","New Orleans Pelicans","2018-11-17","DEN",23,25.3056971646449
"17","Holiday","SG","New Orleans Pelicans","2018-11-19","SAS",25,21.9089509787253
"18","Holiday","SG","New Orleans Pelicans","2018-11-21","PHI",32,25.2787927133144
"19","Holiday","SG","New Orleans Pelicans","2018-11-23","NYK",22,21.5489159397098
"20","Holiday","SG","New Orleans Pelicans","2018-11-24","WAS",18,21.2412579318945
"21","Holiday","SG","New Orleans Pelicans","2018-11-26","BOS",15,22.2323708199511
"22","Holiday","SG","New Orleans Pelicans","2018-11-28","WAS",35,23.1138770898377
"23","Holiday","SG","New Orleans Pelicans","2018-11-30","MIA",21,24.7926987620949
"24","Holiday","SG","New Orleans Pelicans","2018-12-02","CHO",21,23.7540982464439
"25","Holiday","SG","New Orleans Pelicans","2018-12-03","LAC",40,22.5313293591452
"26","Holiday","SG","New Orleans Pelicans","2018-12-05","DAL",19,23.9966246097654
"27","Holiday","SG","New Orleans Pelicans","2018-12-07","MEM",20,22.4068427659397
"28","Holiday","SG","New Orleans Pelicans","2018-12-09","DET",49,23.4536969985088
"29","Holiday","SG","New Orleans Pelicans","2018-12-10","BOS",9,22.4007710875431
"30","Holiday","SG","New Orleans Pelicans","2018-12-12","OKC",22,19.609120406562
"31","Holiday","SG","New Orleans Pelicans","2018-12-16","MIA",30,22.435854977376
"32","Holiday","SG","New Orleans Pelicans","2018-12-19","MIL",35,25.7479074678427
"33","Holiday","SG","New Orleans Pelicans","2018-12-21","LAL",22,22.955443439645
"34","Holiday","SG","New Orleans Pelicans","2018-12-23","SAC",29,23.6519049819168
"35","Holiday","SG","New Orleans Pelicans","2018-12-26","DAL",31,23.0983978532185
"36","Holiday","SG","New Orleans Pelicans","2018-12-28","DAL",18,23.6792105022462
"37","Holiday","SG","New Orleans Pelicans","2018-12-29","HOU",22,22.2702871649987
"38","Holiday","SG","New Orleans Pelicans","2018-12-31","MIN",30,21.1668704897097
"39","Holiday","SG","New Orleans Pelicans","2019-01-02","BRK",26,23.2293630362245
"40","Holiday","SG","New Orleans Pelicans","2019-01-05","CLE",30,23.3180807605022
"41","Holiday","SG","New Orleans Pelicans","2019-01-07","MEM",17,20.7663111753551
"42","Holiday","SG","New Orleans Pelicans","2019-01-09","CLE",18,23.086788323338
"43","Holiday","SG","New Orleans Pelicans","2019-01-12","MIN",25,21.1724452412983
"44","Holiday","SG","New Orleans Pelicans","2019-01-14","LAC",23,20.3550008880917
"45","Holiday","SG","New Orleans Pelicans","2019-01-16","GSW",33,23.0282356068869
"46","Holiday","SG","New Orleans Pelicans","2019-01-18","POR",20,25.0035688466452
"47","Holiday","SG","New Orleans Pelicans","2019-01-21","MEM",23,21.4703848670552
"48","Holiday","SG","New Orleans Pelicans","2019-01-23","DET",29,22.0020966751897
"49","Holiday","SG","New Orleans Pelicans","2019-01-24","OKC",28,19.5484827733775
"50","Holiday","SG","New Orleans Pelicans","2019-01-26","SAS",35,23.4585751996554
"51","Holiday","SG","New Orleans Pelicans","2019-01-29","HOU",23,23.6687520912308
"52","Holiday","SG","New Orleans Pelicans","2019-01-30","DEN",28,24.0244446859271
"53","Holiday","SG","New Orleans Pelicans","2019-02-02","SAS",17,24.668690702486
"54","Holiday","SG","New Orleans Pelicans","2019-02-04","IND",19,21.9008236631886
"55","Holiday","SG","New Orleans Pelicans","2019-02-06","CHI",24,23.2842658122267
"56","Holiday","SG","New Orleans Pelicans","2019-02-08","MIN",29,24.2585293419977
