"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Hood","SG","Cleveland Cavaliers","2018-10-17","TOR",12,NA
"2","Hood","SG","Cleveland Cavaliers","2018-10-19","MIN",10,12.3302083333333
"3","Hood","SG","Cleveland Cavaliers","2018-10-21","ATL",15,13.7454166666667
"4","Hood","SG","Cleveland Cavaliers","2018-10-24","BRK",10,13.42825
"5","Hood","SG","Cleveland Cavaliers","2018-10-25","DET",10,15.409875
"6","Hood","SG","Cleveland Cavaliers","2018-10-27","IND",19,15.4528333333333
"7","Hood","SG","Cleveland Cavaliers","2018-10-30","ATL",34,13.127875
"8","Hood","SG","Cleveland Cavaliers","2018-11-01","DEN",8,13.4625833333333
"9","Hood","SG","Cleveland Cavaliers","2018-11-03","CHO",9,17.713875
"10","Hood","SG","Cleveland Cavaliers","2018-11-05","ORL",13,23.8462083333333
"11","Hood","SG","Cleveland Cavaliers","2018-11-07","OKC",15,14.322125
"12","Hood","SG","Cleveland Cavaliers","2018-11-10","CHI",24,15.7286666666667
"13","Hood","SG","Cleveland Cavaliers","2018-11-13","CHO",20,14.0260833333333
"14","Hood","SG","Cleveland Cavaliers","2018-11-14","WAS",10,11.483125
"15","Hood","SG","Cleveland Cavaliers","2018-11-19","DET",16,13.9067083333333
"16","Hood","SG","Cleveland Cavaliers","2018-11-21","LAL",9,16.4419583333333
"17","Hood","SG","Cleveland Cavaliers","2018-11-23","PHI",35,14.9190833333333
"18","Hood","SG","Cleveland Cavaliers","2018-11-24","HOU",13,18.669375
"19","Hood","SG","Cleveland Cavaliers","2018-11-26","MIN",24,21.4536666666667
"20","Hood","SG","Cleveland Cavaliers","2018-11-28","OKC",14,14.411875
"21","Hood","SG","Cleveland Cavaliers","2018-11-30","BOS",12,13.5555
"22","Hood","SG","Cleveland Cavaliers","2018-12-01","TOR",15,13.3812916666667
"23","Hood","SG","Cleveland Cavaliers","2018-12-03","BRK",9,16.4670416666667
"24","Hood","SG","Cleveland Cavaliers","2018-12-05","GSW",19,15.302875
"25","Hood","SG","Cleveland Cavaliers","2018-12-07","SAC",4,18.2975833333333
"27","Hood","SG","Cleveland Cavaliers","2018-12-10","MIL",5,18.8517916666667
"28","Hood","SG","Cleveland Cavaliers","2018-12-12","NYK",27,19.0110833333333
"29","Hood","SG","Cleveland Cavaliers","2018-12-14","MIL",25,14.5147916666667
"30","Hood","SG","Cleveland Cavaliers","2018-12-16","PHI",17,12.7865833333333
"31","Hood","SG","Cleveland Cavaliers","2018-12-18","IND",19,13.4974583333333
"32","Hood","SG","Cleveland Cavaliers","2018-12-19","CHO",14,11.8409166666667
"33","Hood","SG","Cleveland Cavaliers","2018-12-21","TOR",6,15.9700833333333
"38","Hood","SG","Cleveland Cavaliers","2019-01-02","MIA",19,20.2553333333333
"39","Hood","SG","Cleveland Cavaliers","2019-01-04","UTA",16,15.9662083333333
"43","Hood","SG","Cleveland Cavaliers","2019-01-11","HOU",6,17.212625
"44","Hood","SG","Cleveland Cavaliers","2019-01-13","LAL",20,16.7309166666667
"45","Hood","SG","Cleveland Cavaliers","2019-01-16","POR",20,15.9295416666667
"46","Hood","SG","Cleveland Cavaliers","2019-01-18","UTA",4,14.0380416666667
"47","Hood","SG","Cleveland Cavaliers","2019-01-19","DEN",22,16.3277083333333
"48","Hood","SG","Cleveland Cavaliers","2019-01-21","CHI",4,17.2071666666667
"49","Hood","SG","Cleveland Cavaliers","2019-01-23","BOS",5,15.8195
"50","Hood","SG","Cleveland Cavaliers","2019-01-25","MIA",14,14.8805
"51","Hood","SG","Cleveland Cavaliers","2019-01-27","CHI",18,13.41325
"52","Hood","SG","Cleveland Cavaliers","2019-01-29","WAS",9,14.5955416666667
"53","Hood","SG","Cleveland Cavaliers","2019-02-02","DAL",8,14.2704166666667
"55","Hood","SG","Cleveland Cavaliers","2019-02-07","SAS",18,16.77575
"56","Hood","SG","Cleveland Cavaliers","2019-02-10","DAL",12,15.0673333333333
"57","Hood","SG","Cleveland Cavaliers","2019-02-11","OKC",11,12.7833333333333
"58","Hood","SG","Cleveland Cavaliers","2019-02-13","GSW",10,22.2897083333333
"59","Hood","SG","Cleveland Cavaliers","2019-02-21","BRK",4,16.1632916666667
"60","Hood","SG","Cleveland Cavaliers","2019-02-23","PHI",9,16.1895416666667
"61","Hood","SG","Cleveland Cavaliers","2019-02-25","CLE",2,16.093125
"62","Hood","SG","Cleveland Cavaliers","2019-02-27","BOS",0,14.809125
"63","Hood","SG","Cleveland Cavaliers","2019-03-01","TOR",3,14.0909583333333
"64","Hood","SG","Cleveland Cavaliers","2019-03-03","CHO",33,15.1791666666667
"65","Hood","SG","Cleveland Cavaliers","2019-03-05","MEM",7,15.875875
"66","Hood","SG","Cleveland Cavaliers","2019-03-07","OKC",14,21.116875
"67","Hood","SG","Cleveland Cavaliers","2019-03-09","PHO",4,15.776125
"69","Hood","SG","Cleveland Cavaliers","2019-03-15","NOP",21,18.206625
"70","Hood","SG","Cleveland Cavaliers","2019-03-16","SAS",19,14.3514583333333
"71","Hood","SG","Cleveland Cavaliers","2019-03-18","IND",13,15.3839166666667
"72","Hood","SG","Cleveland Cavaliers","2019-03-20","DAL",8,15.835375
"73","Hood","SG","Cleveland Cavaliers","2019-03-23","DET",5,19.7794583333333
"74","Hood","SG","Cleveland Cavaliers","2019-03-25","BRK",20,17.6257083333333
"75","Hood","SG","Cleveland Cavaliers","2019-03-27","CHI",19,12.5034166666667
"76","Hood","SG","Cleveland Cavaliers","2019-03-29","ATL",7,16.3539166666667
"77","Hood","SG","Cleveland Cavaliers","2019-03-30","DET",7,19.6174583333333
"78","Hood","SG","Cleveland Cavaliers","2019-04-01","MIN",27,17.7825416666667
"79","Hood","SG","Cleveland Cavaliers","2019-04-03","MEM",11,15.9833333333333
"80","Hood","SG","Cleveland Cavaliers","2019-04-05","DEN",19,17.3312083333333
"81","Hood","SG","Cleveland Cavaliers","2019-04-07","DEN",13,11.95025
