"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Horford","C","Boston Celtics","2018-10-16","PHI",9,NA
"2","Horford","C","Boston Celtics","2018-10-19","TOR",20,15.9026277170788
"3","Horford","C","Boston Celtics","2018-10-20","NYK",12,14.907486101058
"4","Horford","C","Boston Celtics","2018-10-22","ORL",17,14.157958111209
"5","Horford","C","Boston Celtics","2018-10-25","OKC",25,15.2263365939862
"6","Horford","C","Boston Celtics","2018-10-27","DET",4,13.9172314604088
"7","Horford","C","Boston Celtics","2018-10-30","DET",11,14.6848922100491
"8","Horford","C","Boston Celtics","2018-11-01","MIL",26,19.0209937066202
"9","Horford","C","Boston Celtics","2018-11-03","IND",16,17.0882524090535
"10","Horford","C","Boston Celtics","2018-11-05","DEN",12,14.0627976151262
"11","Horford","C","Boston Celtics","2018-11-08","PHO",9,17.3072034626854
"12","Horford","C","Boston Celtics","2018-11-09","UTA",15,14.4653552907838
"13","Horford","C","Boston Celtics","2018-11-11","POR",10,18.9375116594152
"14","Horford","C","Boston Celtics","2018-11-14","CHI",14,13.5732574561306
"15","Horford","C","Boston Celtics","2018-11-16","TOR",13,16.8768366465626
"16","Horford","C","Boston Celtics","2018-11-17","UTA",11,17.0660265905809
"17","Horford","C","Boston Celtics","2018-11-19","CHO",8,17.6387230621476
"18","Horford","C","Boston Celtics","2018-11-21","NYK",23,15.7326084262105
"20","Horford","C","Boston Celtics","2018-11-24","DAL",12,14.8375400232367
"21","Horford","C","Boston Celtics","2018-11-26","NOP",26,12.6283210194996
"23","Horford","C","Boston Celtics","2018-12-01","MIN",17,14.9299619462629
"24","Horford","C","Boston Celtics","2018-12-06","NYK",19,17.6008524100045
"32","Horford","C","Boston Celtics","2018-12-23","CHO",10,14.3763961630379
"33","Horford","C","Boston Celtics","2018-12-25","PHI",4,16.3482355932454
"34","Horford","C","Boston Celtics","2018-12-27","HOU",17,13.0576060418846
"35","Horford","C","Boston Celtics","2018-12-29","MEM",28,15.4646296377501
"36","Horford","C","Boston Celtics","2018-12-31","SAS",11,14.549207596556
"37","Horford","C","Boston Celtics","2019-01-02","MIN",17,15.1613290347299
"38","Horford","C","Boston Celtics","2019-01-04","DAL",14,19.2615238929517
"39","Horford","C","Boston Celtics","2019-01-07","BRK",12,14.6052783076792
"40","Horford","C","Boston Celtics","2019-01-09","IND",6,16.3116455727241
"41","Horford","C","Boston Celtics","2019-01-10","MIA",2,14.7006130240636
"42","Horford","C","Boston Celtics","2019-01-12","ORL",10,14.8933586827921
"43","Horford","C","Boston Celtics","2019-01-14","BRK",8,15.1844586513122
"44","Horford","C","Boston Celtics","2019-01-16","TOR",30,14.1400550940851
"45","Horford","C","Boston Celtics","2019-01-18","MEM",22,13.4763290976959
"46","Horford","C","Boston Celtics","2019-01-19","ATL",15,16.2256620624865
"47","Horford","C","Boston Celtics","2019-01-21","MIA",16,14.4200798923545
"49","Horford","C","Boston Celtics","2019-01-26","GSW",26,12.8096624169404
"50","Horford","C","Boston Celtics","2019-01-28","BRK",14,13.7573527904259
"51","Horford","C","Boston Celtics","2019-01-30","CHO",14,15.1501914177832
"52","Horford","C","Boston Celtics","2019-02-01","NYK",14,15.0664397621702
"53","Horford","C","Boston Celtics","2019-02-03","OKC",19,16.6158605074626
"54","Horford","C","Boston Celtics","2019-02-05","CLE",11,17.0309733511978
"55","Horford","C","Boston Celtics","2019-02-07","LAL",14,16.1046582276916
"56","Horford","C","Boston Celtics","2019-02-09","LAC",6,18.0356894727967
"57","Horford","C","Boston Celtics","2019-02-12","PHI",29,14.1080656181225
"58","Horford","C","Boston Celtics","2019-02-13","DET",23,13.8371696385705
"59","Horford","C","Boston Celtics","2019-02-21","MIL",25,15.8757593127852
"60","Horford","C","Boston Celtics","2019-02-23","CHI",21,12.3460671988388
"61","Horford","C","Boston Celtics","2019-02-26","TOR",8,16.0046625581896
"62","Horford","C","Boston Celtics","2019-02-27","POR",15,14.7841250124021
"63","Horford","C","Boston Celtics","2019-03-01","WAS",18,14.9833545121791
"64","Horford","C","Boston Celtics","2019-03-03","HOU",21,16.0396721522188
"65","Horford","C","Boston Celtics","2019-03-05","GSW",7,15.997970585297
"66","Horford","C","Boston Celtics","2019-03-06","SAC",23,15.4383779118087
"67","Horford","C","Boston Celtics","2019-03-09","LAL",10,16.1799095142576
"68","Horford","C","Boston Celtics","2019-03-11","LAC",10,16.1909302669798
"69","Horford","C","Boston Celtics","2019-03-14","SAC",14,13.9536022568106
"70","Horford","C","Boston Celtics","2019-03-16","ATL",9,20.2780844186859
"71","Horford","C","Boston Celtics","2019-03-18","DEN",28,15.0008540111849
"72","Horford","C","Boston Celtics","2019-03-20","PHI",26,14.4365669372712
"75","Horford","C","Boston Celtics","2019-03-26","CLE",19,15.4867147046156
"76","Horford","C","Boston Celtics","2019-03-29","IND",21,15.5837905480387
"78","Horford","C","Boston Celtics","2019-04-01","MIA",19,13.9302182802454
"79","Horford","C","Boston Celtics","2019-04-03","MIA",23,13.2745646366161
"80","Horford","C","Boston Celtics","2019-04-05","IND",13,15.8809440900748
