"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Ibaka","C","Toronto Raptors","2018-10-17","CLE",11,NA
"2","Ibaka","C","Toronto Raptors","2018-10-19","BOS",23,14.6353448650684
"3","Ibaka","C","Toronto Raptors","2018-10-20","WAS",16,16.9001189327112
"4","Ibaka","C","Toronto Raptors","2018-10-22","CHO",15,15.3175200425179
"5","Ibaka","C","Toronto Raptors","2018-10-24","MIN",15,16.9786837971266
"6","Ibaka","C","Toronto Raptors","2018-10-26","DAL",11,17.0562278940867
"7","Ibaka","C","Toronto Raptors","2018-10-29","MIL",34,15.9255402591073
"8","Ibaka","C","Toronto Raptors","2018-10-30","PHI",16,15.8859791856779
"9","Ibaka","C","Toronto Raptors","2018-11-02","PHO",14,17.4528636450317
"10","Ibaka","C","Toronto Raptors","2018-11-04","LAL",36,19.106146838256
"11","Ibaka","C","Toronto Raptors","2018-11-05","UTA",19,14.9871035872831
"12","Ibaka","C","Toronto Raptors","2018-11-07","SAC",18,18.1897248410249
"13","Ibaka","C","Toronto Raptors","2018-11-10","NYK",14,17.9051852215729
"14","Ibaka","C","Toronto Raptors","2018-11-12","NOP",23,15.2661166115344
"16","Ibaka","C","Toronto Raptors","2018-11-16","BOS",25,15.5549917490444
"17","Ibaka","C","Toronto Raptors","2018-11-17","CHI",16,18.5838749444175
"18","Ibaka","C","Toronto Raptors","2018-11-20","ORL",14,18.6303174121265
"19","Ibaka","C","Toronto Raptors","2018-11-21","ATL",21,16.0607220634986
"20","Ibaka","C","Toronto Raptors","2018-11-23","WAS",14,16.2364782756185
"21","Ibaka","C","Toronto Raptors","2018-11-25","MIA",8,18.18989779483
"22","Ibaka","C","Toronto Raptors","2018-11-27","MEM",16,14.8136102771835
"23","Ibaka","C","Toronto Raptors","2018-11-29","GSW",22,16.0089457509749
"24","Ibaka","C","Toronto Raptors","2018-12-01","CLE",10,17.5635925410315
"25","Ibaka","C","Toronto Raptors","2018-12-03","DEN",17,13.7444781421688
"26","Ibaka","C","Toronto Raptors","2018-12-05","PHI",18,17.3324587363096
"27","Ibaka","C","Toronto Raptors","2018-12-07","BRK",8,16.1590966161668
"28","Ibaka","C","Toronto Raptors","2018-12-09","MIL",30,15.1578719523848
