"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Ingram","F","Los Angeles Lakers","2018-10-18","POR",16,NA
"2","Ingram","F","Los Angeles Lakers","2018-10-20","HOU",12,15.6338284632035
"7","Ingram","F","Los Angeles Lakers","2018-10-29","MIN",30,16.0843552489178
"8","Ingram","F","Los Angeles Lakers","2018-10-31","DAL",19,17.3364207251082
"9","Ingram","F","Los Angeles Lakers","2018-11-03","POR",8,16.7058106060606
"10","Ingram","F","Los Angeles Lakers","2018-11-04","TOR",16,16.0255345071595
"11","Ingram","F","Los Angeles Lakers","2018-11-07","MIN",24,18.0025670995671
"12","Ingram","F","Los Angeles Lakers","2018-11-10","SAC",12,16.3604926948052
"13","Ingram","F","Los Angeles Lakers","2018-11-11","ATL",10,16.8074523809524
"14","Ingram","F","Los Angeles Lakers","2018-11-14","POR",19,15.7178671536797
"15","Ingram","F","Los Angeles Lakers","2018-11-17","ORL",17,16.1617540584416
"16","Ingram","F","Los Angeles Lakers","2018-11-18","MIA",13,16.1694004329004
"17","Ingram","F","Los Angeles Lakers","2018-11-21","CLE",16,15.3495803571429
"18","Ingram","F","Los Angeles Lakers","2018-11-23","UTA",28,19.7348230519481
"19","Ingram","F","Los Angeles Lakers","2018-11-25","ORL",17,17.1320665584416
"20","Ingram","F","Los Angeles Lakers","2018-11-27","DEN",14,15.2116617965368
"21","Ingram","F","Los Angeles Lakers","2018-11-29","IND",14,18.2873790584416
"22","Ingram","F","Los Angeles Lakers","2018-11-30","DAL",19,15.8552808441558
"23","Ingram","F","Los Angeles Lakers","2018-12-02","PHO",17,18.3629315476191
"24","Ingram","F","Los Angeles Lakers","2018-12-05","SAS",5,19.8686588203463
"32","Ingram","F","Los Angeles Lakers","2018-12-21","NOP",18,15.45825
"33","Ingram","F","Los Angeles Lakers","2018-12-23","MEM",22,15.2150029761905
"34","Ingram","F","Los Angeles Lakers","2018-12-25","GSW",16,18.1021290584416
"35","Ingram","F","Los Angeles Lakers","2018-12-27","SAC",24,16.7247034632035
"36","Ingram","F","Los Angeles Lakers","2018-12-28","LAC",19,17.351012987013
"37","Ingram","F","Los Angeles Lakers","2018-12-30","SAC",23,18.1079761904762
"38","Ingram","F","Los Angeles Lakers","2019-01-02","OKC",17,17.9662654220779
"39","Ingram","F","Los Angeles Lakers","2019-01-04","NYK",21,18.0131856060606
"40","Ingram","F","Los Angeles Lakers","2019-01-06","MIN",13,14.8227083333333
"41","Ingram","F","Los Angeles Lakers","2019-01-07","DAL",29,15.0259415584416
"42","Ingram","F","Los Angeles Lakers","2019-01-09","DET",10,17.0217351190476
"43","Ingram","F","Los Angeles Lakers","2019-01-11","UTA",17,16.5060803571429
"44","Ingram","F","Los Angeles Lakers","2019-01-13","CLE",24,17.1902957251082
"45","Ingram","F","Los Angeles Lakers","2019-01-15","CHI",16,15.8043779761905
"46","Ingram","F","Los Angeles Lakers","2019-01-17","OKC",8,16.5153303571429
"47","Ingram","F","Los Angeles Lakers","2019-01-19","HOU",23,17.3446011904762
"48","Ingram","F","Los Angeles Lakers","2019-01-21","GSW",19,19.1856707251082
"49","Ingram","F","Los Angeles Lakers","2019-01-24","MIN",20,17.0879415584416
"50","Ingram","F","Los Angeles Lakers","2019-01-27","PHO",24,15.9825357142857
"51","Ingram","F","Los Angeles Lakers","2019-01-29","PHI",36,18.8973106060606
"52","Ingram","F","Los Angeles Lakers","2019-01-31","LAC",19,16.306625
"53","Ingram","F","Los Angeles Lakers","2019-02-02","GSW",20,20.46875
"54","Ingram","F","Los Angeles Lakers","2019-02-05","IND",12,15.9209742965368
"55","Ingram","F","Los Angeles Lakers","2019-02-07","BOS",13,15.2816201298701
"56","Ingram","F","Los Angeles Lakers","2019-02-10","PHI",19,17.5671350108225
"57","Ingram","F","Los Angeles Lakers","2019-02-12","ATL",19,17.6795767149517
"58","Ingram","F","Los Angeles Lakers","2019-02-21","HOU",27,15.3157213203463
"59","Ingram","F","Los Angeles Lakers","2019-02-23","NOP",35,15.472931547619
"60","Ingram","F","Los Angeles Lakers","2019-02-25","MEM",38,18.2331488095238
"61","Ingram","F","Los Angeles Lakers","2019-02-27","NOP",23,17.0815446428572
"62","Ingram","F","Los Angeles Lakers","2019-03-01","MIL",33,15.9049117965368
