"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Irving","PG","Boston Celtics","2018-10-16","PHI",9,NA
"2","Irving","PG","Boston Celtics","2018-10-19","TOR",23,31.5145416666667
"3","Irving","PG","Boston Celtics","2018-10-20","NYK",16,29.7042509920635
"4","Irving","PG","Boston Celtics","2018-10-22","ORL",26,30.0318472222222
"5","Irving","PG","Boston Celtics","2018-10-25","OKC",19,28.2153759920635
"6","Irving","PG","Boston Celtics","2018-10-27","DET",5,32.0703333333333
"7","Irving","PG","Boston Celtics","2018-10-30","DET",39,29.577375
"8","Irving","PG","Boston Celtics","2018-11-01","MIL",40,31.7452242063492
"9","Irving","PG","Boston Celtics","2018-11-03","IND",26,27.6370843253968
"10","Irving","PG","Boston Celtics","2018-11-05","DEN",39,31.5386361416362
"11","Irving","PG","Boston Celtics","2018-11-08","PHO",51,32.0141746031746
"13","Irving","PG","Boston Celtics","2018-11-11","POR",27,32.6076041666666
"14","Irving","PG","Boston Celtics","2018-11-14","CHI",19,28.9607083333333
"15","Irving","PG","Boston Celtics","2018-11-16","TOR",49,32.993
"16","Irving","PG","Boston Celtics","2018-11-17","UTA",22,33.3759583333333
"17","Irving","PG","Boston Celtics","2018-11-19","CHO",29,24.7103253968254
"18","Irving","PG","Boston Celtics","2018-11-21","NYK",26,27.9965069444445
"19","Irving","PG","Boston Celtics","2018-11-23","ATL",19,28.0807648809524
"20","Irving","PG","Boston Celtics","2018-11-24","DAL",19,32.666007936508
"21","Irving","PG","Boston Celtics","2018-11-26","NOP",36,30.154806547619
"22","Irving","PG","Boston Celtics","2018-11-30","CLE",39,27.2861676587301
"23","Irving","PG","Boston Celtics","2018-12-01","MIN",25,34.0230992063492
"24","Irving","PG","Boston Celtics","2018-12-06","NYK",28,31.7528333333333
"25","Irving","PG","Boston Celtics","2018-12-08","CHI",17,31.3866607142857
"27","Irving","PG","Boston Celtics","2018-12-12","WAS",46,30.4141190476191
"28","Irving","PG","Boston Celtics","2018-12-14","ATL",32,29.3697986111111
"29","Irving","PG","Boston Celtics","2018-12-15","DET",30,31.2466190476191
"30","Irving","PG","Boston Celtics","2018-12-19","PHO",37,26.5035277777778
"31","Irving","PG","Boston Celtics","2018-12-21","MIL",17,30.6714454365079
"32","Irving","PG","Boston Celtics","2018-12-23","CHO",33,27.3171666666667
"33","Irving","PG","Boston Celtics","2018-12-25","PHI",50,35.5542242063492
"34","Irving","PG","Boston Celtics","2018-12-27","HOU",27,27.9176329365079
"35","Irving","PG","Boston Celtics","2018-12-29","MEM",30,32.927244047619
"36","Irving","PG","Boston Celtics","2018-12-31","SAS",18,26.3326547619047
"39","Irving","PG","Boston Celtics","2019-01-07","BRK",19,31.2505
"40","Irving","PG","Boston Celtics","2019-01-09","IND",14,28.4249642857143
"41","Irving","PG","Boston Celtics","2019-01-10","MIA",26,29.4501964285714
"42","Irving","PG","Boston Celtics","2019-01-12","ORL",25,31.2371200396826
"44","Irving","PG","Boston Celtics","2019-01-16","TOR",33,29.5802083333333
"45","Irving","PG","Boston Celtics","2019-01-18","MEM",46,29.8873422619048
"46","Irving","PG","Boston Celtics","2019-01-19","ATL",42,33.776119047619
"47","Irving","PG","Boston Celtics","2019-01-21","MIA",30,30.3643075396825
"49","Irving","PG","Boston Celtics","2019-01-26","GSW",40,29.0747152777778
"52","Irving","PG","Boston Celtics","2019-02-01","NYK",27,26.7897708333333
"53","Irving","PG","Boston Celtics","2019-02-03","OKC",32,27.6318412698413
"55","Irving","PG","Boston Celtics","2019-02-07","LAL",28,31.6057787698413
"56","Irving","PG","Boston Celtics","2019-02-09","LAC",16,23.7570416666667
"59","Irving","PG","Boston Celtics","2019-02-21","MIL",30,31.9407301587301
"60","Irving","PG","Boston Celtics","2019-02-23","CHI",43,31.1414047619048
"61","Irving","PG","Boston Celtics","2019-02-26","TOR",9,30.3433561507936
"62","Irving","PG","Boston Celtics","2019-02-27","POR",37,29.309125
"63","Irving","PG","Boston Celtics","2019-03-01","WAS",15,30.0288422619048
"64","Irving","PG","Boston Celtics","2019-03-03","HOU",30,29.5528392857143
"65","Irving","PG","Boston Celtics","2019-03-05","GSW",23,33.6522857142857
"67","Irving","PG","Boston Celtics","2019-03-09","LAL",40,27.2432996031746
"68","Irving","PG","Boston Celtics","2019-03-11","LAC",22,28.9391319444444
"69","Irving","PG","Boston Celtics","2019-03-14","SAC",33,28.8392380952381
"70","Irving","PG","Boston Celtics","2019-03-16","ATL",38,29.6374652777778
"71","Irving","PG","Boston Celtics","2019-03-18","DEN",34,28.7732926587302
"72","Irving","PG","Boston Celtics","2019-03-20","PHI",42,31.4598680555556
"73","Irving","PG","Boston Celtics","2019-03-23","CHO",39,26.8081736111111
"74","Irving","PG","Boston Celtics","2019-03-24","SAS",13,26.8400892857143
"76","Irving","PG","Boston Celtics","2019-03-29","IND",36,29.2175833333333
"78","Irving","PG","Boston Celtics","2019-04-01","MIA",35,28.3327291666667
"79","Irving","PG","Boston Celtics","2019-04-03","MIA",29,26.7417083333333
"80","Irving","PG","Boston Celtics","2019-04-05","IND",19,31.5452532051282
